Programme,Sub-Programme,"Approved Estimates FY
2024/25 (Kshs.)",col_3,"Actual Expenditure as at
30th Sept. 2024 (Kshs.)",col_5,"Absorption
Rate %",col_7,page_number,table_index,col_8
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,273,0,
Finance and Economic Planning,,,,,,,,273,0,
703003061,703023060,"42,172,249",,"8,621,850",,20,,273,0,
704003061,704013060,"112,874,541",,"57,897,531",,51,,273,0,
,704043060,"293,727,551",,"4,018,664",,1,,273,0,
,710013060,"8,238,882",,-,,0,,273,0,
710003061,711013060,"2,950,000",,-,,0,,273,0,
,710013060,,"10,000,000",,-,,0,273,0,
711003061,711023060,"3,010,688",,-,,0,,273,0,
,711033060,"4,237,500",,-,,0,,273,0,
Total,,"467,211,410","10,000,000","70,538,045",-,15,0,273,0,
Agriculture livestock and fisheries,,,,,,,,273,0,
"General adminis-
tration and support
services",102053060,"87,205,712",-,"50,734,006",-,5818,,273,0,
"Crop Production
and Food Security",107013060,"2,135,000","107,586,552",-,"42,081,662",-,3911,273,0,
"Dairy and Meat
Production",108023060,"1,980,000","10,315,000",-,-,-,-,273,0,
"Fish production
Management",109013060,"2,085,000","12,200,000","70,211",-,337,-,273,0,
"Livestock Disease
Control",108033060,"2,091,201","17,450,000","99,800",-,477,-,273,0,
"Farm Land Utiliza-
tion,Mechanization
and Crop Storage",107033060,"8,426,711","9,600,000","100,350","5,350,000",119,5573,273,0,
"Agricultural exten-
sion,Research and
Training",107023060,"1,120,000",-,-,,-,,273,0,
Grand Total,,"105,043,623","157,151,552","51,004,367","47,431,662",4856,30,273,0,
Department: Environment and Natural Resources,,,,,,,,273,0,
102003063,,,,,,,,273,0,
,"102063060 - Personnel
Services","15,982,512",-,"17,023,612",-,107,0,273,0,
,"Urban Development Sup-
port Services (102073060)","17,500,000",-,"296,700",-,2,0,273,0,
,"General administration
and support services
(102053060)","10,921,633","65,594,486",-,-,0,0,273,0,
,Sub Total,"44,404,145","65,594,486","17,320,312",-,39,0,273,0,
249,,,,,,,,273,0,
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,274,0,
105003063,,,,,,,,274,0,
,"Establishment of squat-
ter settlement schemes
(105013060)","7,750,000","40,000,000",-,-,0,0,274,0,
,"Identification and acqui-
sition of land for develop-
ment (105033060)",-,"4,000,000",-,-,0,0,274,0,
,Sub-Total,"7,750,000","44,000,000",-,-,0,0,274,0,
106003063,,,,,,,,274,0,
,"County Environmen-
tal Awareness Initiative
(106023060)","4,600,000","54,467,725",-,,0,0,274,0,
,Sub-Total,"4,600,000","54,467,725",-,-,0,0,274,0,
Grand Total,,"56,754,145","164,062,211","17,320,312",-,39,0,274,0,
Department Health Services,,,,,,,,274,0,
402003064,,,,-,-,0,0,274,0,
,"402023060-Operational
Rural Health Facilities","4,400,000","11,000,000",-,-,0,0,274,0,
,"402043060-Medical Health
Drugs","105,000,000",-,-,-,0,0,274,0,
403003064,,,,"637,777,088",-,,,274,0,
,"403023060-Operational
Research",-,-,-,-,,,274,0,
,"403013060-General Ad-
ministration","73,091,777",-,"7,613,890",-,1040,,274,0,
,"403053060-Personnel
Services","977,282,197",-,"630,163,198",-,6450,,274,0,
,403043060-HMIS,-,-,-,,,,274,0,
,,,-,"637,777,088",-,,,274,0,
405003064,,,,-,-,0,0,274,0,
,"405013060-Msambweni
hospital","42,000,000","8,815,299",-,-,0,0,274,0,
406003064,,,,-,-,0,0,274,0,
,"406013060-Kinango
Hospital","17,500,000","25,554,631",-,-,0,0,274,0,
407003064,,,,-,-,0,0,274,0,
,407013060-Kwale Hospital,"20,000,000","11,100,000",-,-,0,0,274,0,
408003064,,,,,,,,274,0,
,Tiwi Rural Health Facility,,,,,,,274,0,
409003064,,,,-,-,0,0,274,0,
,"409013060-Samburu
Hospital","12,500,000","13,900,000",-,-,0,0,274,0,
410003064,,,,-,-,0,0,274,0,
,"410013060-Lunga Lunga
Hospital","12,500,000","12,500,000",-,-,0,0,274,0,
Grand Total,,"1,264,273,974","82,869,930","637,777,088",-,5040,0,274,0,
County Assembly,,,,,,,,274,0,
704003065,,"248,998,585","71,500,000","45,962,955",-,18,0,274,0,
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,275,0,
,704013060 Audit Services,"154,306,384",-,"45,952,105",-,30,,275,0,
,"704043060 General Ad-
ministration","94,692,202","71,500,000","10,850",-,0,0,275,0,
705003065,,"93,752,063","49,500,000",-,-,0,0,275,0,
,"705013060 Oversight and
legislation of county affairs","93,752,063","49,500,000",-,-,0,0,275,0,
,"705023060 General Ad-
ministration and Support
Services",-,-,-,-,,,275,0,
Grand Total,Sub Total,"342,750,648","121,000,000","45,962,955",-,13,0,275,0,
"Trade, Investment and Co-operative Development",,,,,,,,275,0,
301003066,,,,,,,,275,0,
,"301013060-Building capac-
ity for traders","5,099,750","1,600,000","221,078",-,430,-,275,0,
,301023060,-,-,-,-,-,-,275,0,
,"301043060-Enforcement of
weights & measures Act","1,691,965","1,000,000","1,000",-,10,-,275,0,
,Sub Total,"6,791,715","2,600,000","222,078",-,330,-,275,0,
302003066,,,,,,-,-,275,0,
,"302023060-Investment
publicity & promotion","3,006,000",-,"12,000",-,40,-,275,0,
,Sub Total,"3,006,000",-,"12,000",-,40,-,275,0,
305003066,,,,,,-,-,275,0,
,"305013060-Personnel
services","21,632,905",-,"12,809,308",-,5920,-,275,0,
,"305023060-Administration
services","9,130,652",-,"730,566",-,800,-,275,0,
,Sub Total,"30,763,557",-,"13,539,874",-,4400,-,275,0,
306003066,,,,,,-,-,275,0,
,"306013060-Rehabilitation
of existing markets","2,248,500","22,224,143","24,000",-,110,-,275,0,
,306023060,,,,,-,-,275,0,
,Sub Total,"2,248,500","22,224,143","24,000",-,110,-,275,0,
307003066,,,,,,-,-,275,0,
,"307013060-Investment
promotion","2,980,804","276,836,115",-,-,-,-,275,0,
,Sub Total,"2,980,804","276,836,115",-,-,-,-,275,0,
TOTAL,,"45,790,575","301,660,257","13,797,952",-,3010,-,275,0,
Community Development,,,,,,,,275,0,
Programme 1,social services 0903013060,"1,750,000","14,000,000",,,-,,275,0,
,"Community Development
0903023060","2,610,000","4,760,873","74,000",,284,,275,0,
,"Drug and substance abuse
management 0903033060","3,000,000",-,-,,-,,275,0,
,Subtotal,"7,360,000","18,760,873","74,000",,,,275,0,
Programme 2,,,,,,,,275,0,
,"Protection and promotion
of positive culture and
heritage 0904013060","7,855,000",,,,-,,275,0,
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,276,0,
,Sub-Total,"7,855,000",,,,-,,276,0,
Programme 3,"Youth sporting talent
search and development
0905013060","4,855,000",,,,-,,276,0,
,"Sports development pro-
gram 0905023060",-,"98,329,013",,"56,155,203",,5700,276,0,
,Sub-Total,"4,855,000","98,329,013",-,"56,155,203",-,5700,276,0,
Programme 4,"Personnel Services
0906013060","21,270,721",,"13,115,547",,6166,,276,0,
,"Administration Services
0906023060","15,578,133",,"1,096,660",,704,,276,0,
,Sub-Total,"36,848,854",,"14,212,207",,3857,,276,0,
Grand Total,,"56,918,854","117,089,886","14,286,207","56,155,203",2510,4800,276,0,
Executive services,,,,,,,,276,0,
702003068,,,,-,,0,,276,0,
,"702013060 County Coordi-
nation Services","3,522,200",,-,,0,,276,0,
704003068,,,,-,,0,,276,0,
,704013060 Audit Services,"40,425,043",,"25,441,100",,63,,276,0,
,"704043060 General Ad-
ministration","30,517,950",,-,,0,,276,0,
707003068,,,,-,,0,,276,0,
,"707033060 Media and
Communication Services","3,080,000",,-,,0,,276,0,
Grand Total,,"77,545,193",,"25,441,100",,33,,276,0,
Education,,,,,,,,276,0,
"Programme
1:502003069-Ad-
ministration","502023060-Personel
services","350,429,408",-,"200,094,968",-,57,,276,0,
,"502013060-Planning and
Support","18,225,000",-,"321,671",-,2,,276,0,
,Sub Total,"368,654,408",-,"200,416,639",-,,,276,0,
"Programme
2:501003069-Early
Childhood Develop-
ment Education","501013060-Planning and
Support-ECDEs","28,466,250",-,-,,0,,276,0,
,"501043060-Infrastructure
Development",-,"52,446,528",-,-,,0,276,0,
,Sub-Total,"28,466,250","52,446,528",-,-,,,276,0,
"Programme
3:503003069-Village
polytechnic","503013060-Planning and
Support-VTCs","9,000,000",-,"39,200",-,0,,276,0,
,"503023060-Infrastructure
Development",-,"106,946,141",-,-,,0,276,0,
,Sub-Total,"9,000,000","106,946,141","39,200",-,,,276,0,
"Programme
4:504003069-Bur-
sary",504013060-Scholarship,"250,000,000",-,"50,000,000",-,20,,276,0,
,Sub-Total,"250,000,000",-,"50,000,000",-,,,276,0,
Grand Total,,"656,120,658","159,392,669","250,455,839",-,,,276,0,
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,277,0,
Water Services,,,,,,,,277,0,
11E+09,"Construction and
maintenance of water
pipeline supply systems
(1001023060)","25,961,065","69,385,000","15,385,871",,0,0,277,0,
,"Construction and main-
tenance of water pipeline
supply systems","23,312,642","61,466,227","7,154,626",,0,0,277,0,
,"Development of Borehole
water supply systems",,"67,767,500",,,0,0,277,0,
,"Development/Construction
of Surface water supply
systems",,"8,600,000",,,0,0,277,0,
12E+09,Community Water Project,,,,,0,0,277,0,
,"Administration Services
(1002023060)",,"502,000,000",,"214,830,000",0,43,277,0,
TOTAL,,"49,273,706","709,218,727","22,540,497","214,830,000",46,30,277,0,
Roads and Public Works,,,,,,,,277,0,
"Rehabilitation
of Roads, Drain-
age and Bridges
(202003071)",202013060,,"513,083,007",,-,,0,277,0,
"Installation of
Street Lighting Fa-
cilities (203003071)",203013060,,"22,603,505",,-,,0,277,0,
"Administra-
tion Services
(305003071)",305013060,"18,890,277",-,-,-,0,0,277,0,
,305023060,"31,206,719",-,"21,305,596",,68,0,277,0,
,,,,,-,100,-,277,0,
TOTAL,,"50,096,995","535,686,512","21,305,596",-,100,-,277,0,
Tourism and ICT,,,,,,,,277,0,
304003072,"Tourism Promotion
{0304013060}","2,691,375","10,500,000","543,380",-,20,0,277,0,
305003072,"Personnel services
{0305013060}","13,833,933",-,"8,446,800",-,61,0,277,0,
305003072,"Admnistration services
{0305023060}","11,278,231",-,"150,000",-,1,0,277,0,
308003072,"Local area network in-
stallation and ict support
{0308013060}","3,991,826","2,400,000",-,-,0,0,277,0,
TOTAL,,"31,795,363","12,900,000","9,140,180",-,29,0,277,0,
County Public Service Board,,,,,,,,277,0,
7.06E+09,,,,,,,,277,0,
,"706013060- Human Re-
source Planning","18,177,500","7,500,000","1,115,260",,6,0,277,0,
,"706023060-Transformation
of service delivery in the
public service","3,500,000",,-,,0,0,277,0,
,"706043060-Compensation
to employees","17,925,438",,"10,643,655",,59,0,277,0,
,"706053060-Human Re-
source Planning","1,500,000",,-,,0,0,277,0,
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,,278,0,Dev
,"706063060-Staff Rational-
ization","1,500,000",,-,,0,,278,0,0
TOTAL,,"42,602,938","7,500,000","11,758,915",-,28,,278,0,0
Public Service and Administration,,,,,,,,278,0,
704003074,,,,,,,,278,0,
,Audit Services (704013060),"109,217,509",,"67,447,159",,62,,278,0,
,"General Administration
(704043060)","24,483,494","7,548,105",,,0,,278,0,
,sub total,"133,701,003","7,548,105","67,447,159",,50,,278,0,
708003074,,-,,,,,,278,0,
,"County compliance and
enforcement (708033060)","2,150,600",,,,0,,278,0,
,sub total,"2,150,600",,,,0,,278,0,
712003074,,-,,,,,,278,0,
,"Sub County Admin
Msambweni (712013060)","3,600,000",,,,0,,278,0,
,"Sub County Admin Lunga
Lunga (712023060)","4,288,000",,,,0,,278,0,
,"Sub County Admin Matuga
(712033060)","3,622,500",,,,0,,278,0,
,"Sub County Admin Kinan-
go (712043060)","2,390,000",,,,0,,278,0,
,sub total,"13,900,500",,,,0,,278,0,
713003074,,-,,,,,,278,0,
,"County garbage and Clean-
ing Services (713013060)","3,100,000",,,,0,,278,0,
,sub total,"3,100,000",,,,0,,278,0,
714003074,,-,,,,,,278,0,
,"General Administration
Livestock Development","3,024,124",,,,0,,278,0,
,sub total,"3,024,124",,,,0,,278,0,
Grand Total,,"155,876,227","7,548,105","67,447,159",,43,,278,0,
Kwale Municipality,,,,,,,,278,0,
102003078,"General administration
and Support services
(0102053060)","3,909,444",,"1,091,810",,28,,278,0,
,"Personnel Ser-
vices(0102063060)",,-,-,-,,,278,0,
‘0111003078,"kwale municap-
ilty(0111013060)",,"28,000,000",-,"6,055,678",,,278,0,22
,,-,,-,-,,,278,0,
,,"3,909,444","28,000,000","1,091,810","6,055,678",28,,278,0,22
Diani Municipality,,,,,,,,278,0,
102003076,,,,,,0,,278,0,
,"0102053060-General
administration and support
services",,,"2,163,260","8,745,118",,,278,0,
,"0112013060-Diani Munic-
ipality","19,859,728",,-,,,,278,0,
,,,,,,,254,278,0,
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,279,0,
112003076,,-,,-,"8,745,118",-,-,279,0,
,"0112013060-Diani Munic-
ipality",-,"56,000,000",-,"8,745,118",,,279,0,
TOTAL,,"19,859,728","56,000,000","2,163,260","8,745,118",11,16,279,0,
County Attorney,,,,,,,,279,0,
704003077,,,,,,-,,279,0,
,Personel services,"6,723,475",,-,,0,,279,0,
,Administration,"23,942,129",,"96,670",,0,,279,0,
Grand Total,,"30,665,604",-,"96,670",-,0,,279,0,
Lunga Lunga Municipality,,,,,,,,279,0,
704003078,,,,,,,,279,0,
,102053060,"5,790,842",,"1,458,330",-,25,,279,0,
,102073060,,,-,,,,279,0,
102003078,,,,-,-,,,279,0,
,102053060,,"18,080,000",-,,0,,279,0,
,,,-,-,-,,,279,0,
Grand Total,,"5,790,842","18,080,000","1,458,330",-,8,,279,0,
Kinango Municipality,,,,,,,,279,0,
704003079,,,,,,,,279,0,
,102053060,,"20,200,000",-,-,0,,279,0,
102003079,102053060,"1,240,146",,"235,260",,,,279,0,
,102073060,"1,240,146",-,-,-,0,,279,0,
,TOTAL,"2,480,292","20,200,000","235,260",-,0,,279,0,
Health Preventive Services,,,,,,,,279,0,
401003080,,,,,,,,279,0,
,"401033060 TB/HIV/
Malaria",-,-,-,-,-,0,279,0,
,"401043060 Neglected trop-
ical diseases",-,-,-,-,-,0,279,0,
,"401063060 Healthcare
Waste Management",-,-,-,-,-,0,279,0,
,"401013060 Community
health strategy",-,-,-,-,-,0,279,0,
,"401053060 Public health
Hygiene","4,294,900",-,"448,000",-,1043,0,279,0,
,"401073060 Epidermics
Control",-,-,-,-,-,0,279,0,
,Sub total,"4,294,900",-,-,-,-,0,279,0,
402003080,"402023060 Operational
Rural facilities","2,460,000",,,,,,279,0,
,Sub total,"2,460,000",,,,,,279,0,
403003080,"403013060 General admi-
nitration",-,-,,-,,0,279,0,
,Sub total,-,-,,-,,0,279,0,
408003080,"408013060 Tiwi Rural
Health Facility","2,100,000","7,512,410",-,-,-,0,279,0,
