Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of
30 September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,377,0
Department of County Executive,,,,,,,,377,0
"General ad-
ministration &
support services","General
Administration (Office
of The Governor)","174,065,257","140,000,000","28,024,784","1,499,961",16.1,1.1,377,0
,"Administrative
services (County
Secretary)","33,900,000",,"2,050,000",,6.0,-,377,0
,"Administrative
services (Deputy
Governor)","31,000,000",,"2,050,000",,6.6,-,377,0
,"General administra-
tion services (ICT)","40,000,000",,"252,291",,0.6,-,377,0
,"Administrative &
support services
(Special Programs)","20,050,000",-,-,-,-,-,377,0
"Governance &
Administration
Services","Governor’s Statehouse
Services","22,000,000",-,-,-,-,-,377,0
,"Co-ordination and
Supervision Services","16,000,000",-,-,-,-,-,377,0
,"Lake Region Economic
Bloc","5,000,000",-,-,-,-,-,377,0
,Council of Governors,"5,000,000",-,-,-,-,-,377,0
,Liaison office - Nairobi,"5,000,000",-,-,-,-,-,377,0
,Chief of Staff,"5,000,000",-,-,-,-,-,377,0
,Protocol Office,"5,000,000",-,-,-,-,-,377,0
,Security Services,"7,000,000",-,-,-,-,-,377,0
,"Communication and
Press","6,000,000",-,-,-,-,-,377,0
,Political Advisor,"5,000,000",-,-,-,-,-,377,0
,Economic Advisor,"5,000,000",-,-,-,-,-,377,0
,Security Services,"1,000,000",-,-,-,-,-,377,0
"County secretary
services","County secretary
service.","21,600,000",-,-,-,-,-,377,0
"Cohesion &
Peacebuilding","Peace Building
Initiatives","8,000,000",-,-,-,-,-,377,0
,"Conflict management
& resolution","10,000,000",-,-,-,-,-,377,0
"Research &
Education","Research & Education
Services","2,000,000",-,-,-,-,-,377,0
"Geospatial infor-
mation services.","Geospatial informa-
tion services","5,000,000",-,-,-,-,-,377,0
"Performance
management
services","Performance
Management services.","4,000,000",-,-,-,-,-,377,0
"ICT
Infrastructure","ICT infrastructure &
connectivity","12,000,000",-,-,-,-,-,377,0
"Communication
services","Communication
services","10,000,000",-,-,-,-,-,377,0
E-governance,Automation services,"5,254,743",-,-,-,-,-,377,0
E-learning,"Digital curriculum
integration &
development.","1,200,000",-,-,-,-,-,377,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,378,0
"Digital innova-
tion",Innovation services,"1,600,000",,,,-,-,378,0
"Resource Mobili-
sation Services","Resource Mobilisation
services","12,550,000",,,,-,-,378,0
"Cohesion &
Peacebuilding",Civic Education,"4,900,000",,,,-,-,378,0
,"Peace Building
Initiatives","12,400,000",,,,-,-,378,0
"External
partnerships &
affairs","External partners’
relations management","55,100,000",,,,-,-,378,0
Sub-Total,,"551,620,000","140,000,000","32,377,075","1,499,961",5.9,1.1,378,0
Office of the County Attorney,,,,,,,,378,0
"General ad-
ministration &
support services","Finance &
Administration","29,278,400",-,-,-,-,-,378,0
Legal Services,"Advisory & Research
services","2,900,000",-,-,-,-,-,378,0
,Staff Development,"1,700,000",-,-,-,-,-,378,0
,"Legal compliance
services","94,121,600",-,-,-,-,-,378,0
Sub-Total,,"128,000,000",-,-,-,-,-,378,0
"Department of Public Service Management, Monitoring and Evaluation and Performance Contracting",,,,,,,,378,0
"General Ad-
ministration &
Support Services","Administrative Sup-
port Services (PSM)","574,727,694",,"52,872,841",,9.2,-,378,0
,"General Administra-
tion Services (PSB)","57,600,000",,"5,743,186",,10.0,-,378,0
,"Administrative Sup-
port Services (M&E)","5,400,000",,,,-,-,378,0
,"Efficient Monitoring &
Evaluation","7,600,000",,,,-,-,378,0
"Human Capital
Management &
Development
Services","Human Resource
Management Services","6,355,162",,,,-,-,378,0
