Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 30th
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Rec,Dev,396,0
THE EXECUTIVE,,,,,,,,396,0
Programme 1,"General Administration and
Human Resource Planning
Services","154,760,063",0,"25,002,890",0,16,0,396,0
,"Governor’s and Deputy Gover-
nor’s Affairs","49,500,000","15,000,000",,0,0,0,396,0
,"Protocol, Hospitality and Com-
munication","23,000,000","20,000,000","3,482,120",0,15,0,396,0
,"Governor’s Advisory Council
and special programs","10,000,000",0,,0,0,0,396,0
,County Secretary’s Affairs,"9,000,000","2,000,000",,0,0,0,396,0
,"Cabinet affairs, Service delivery
Unit, Intergovernmental and
Public service Transformation","7,200,000",0,,,,,396,0
,Sub Total,"253,460,063","37,000,000","28,485,010",0,11,0,396,0
COUNTY ASSEMBLY,,,,,,,,396,0
Programme 2,"General Administration and
Planning","670,164,171","80,000,000","48,609,799",0,7,0,396,0
,"Legislation, Oversight and
Representation","143,571,762",,"7,467,200",0,5,,396,0
,Sub-Total,"813,735,933","80,000,000","56,076,999",0,7,0,396,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,396,0
Programme 3,Administration Unit,"131,692,825","10,000,000","14,368,405",0,11,0,396,0
,Sub-Total,"131,692,825","10,000,000","14,368,405",0,11,0,396,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,396,0
Programme 4,Administration Unit,"731,605,778",0,"75,385,493","947,129",10,0,396,0
,"Financial Management Ser-
vices-Accounting Unit","260,195,498","366,129,808",,,0,0,396,0
,Planning and Monitoring Unit,"111,806,607","23,000,000",,,0,0,396,0
,Digital Transformation,"26,876,558","53,383,192","629,973","3,973,434",,,396,0
,Sub-Total,"1,130,484,441","442,513,000","76,015,466","4,920,563",7,1,396,0
ENVIRONMENT & GOVERNANCE,,,,,,,,396,0
Programme 5,"Administration, Planning and
Support Services","739,535,878",,"110,460,070",,15,0,396,0
,"Environment Compliance and
Enforcement","18,700,000","21,800,000",,,0,0,396,0
,Solid Waste Management,"19,660,000","169,000,000",,,0,0,396,0
,"Public Affairs and Empower-
ment Programs","108,750,000",,,,,,396,0
,"County Administration and
Serikali Mitaani","10,370,000","40,000,000",,,,,396,0
,"Inspectorate, Enforcement and
compliance","7,450,000","17,000,000",,,,,396,0
,Sub-Total,"904,465,878","247,800,000","110,460,070",0,12,0,396,0
EDUCATION,,,,,,,,396,0
Programme 6,"General Administration, Plan-
ning and Support Services","343,676,025","44,000,000","49,879,170",,15,0,396,0
,Early Childhood Education,"15,500,000","84,000,000",,,0,0,396,0
,Vocational Training & Education,"3,000,000","12,000,000",,,0,0,396,0
,Child Care,"3,000,000","11,000,000",,,0,0,396,0
,Elimu Fund,"499,200,000",0,,,0,0,396,0
,Sub-Total,"864,376,025","151,000,000","49,879,170",0,6,0,396,0
HEALTH SERVICES,,,,,,,,396,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,397,0
Programme 7,Administration Unit,"3,285,636,744","178,374,932","503,396,856",,15,0,397,0
,"Preventive and Promotive
Health services","157,680,000","27,000,000",,,0,0,397,0
,"Curative/Clinical Health
Services","132,000,000","59,625,068",,,0,0,397,0
,Special Programs,"12,000,000",0,,0,0,0,397,0
,"Coast General Teaching and
Referral Hospital","650,000,000","335,000,000",,,,,397,0
,Sub-Total,"4,237,316,744","600,000,000","503,396,856",0,12,0,397,0
"WATER, NATURAL RESOURCES & CLIMATE CHANGE RESILIENCE",,,,,,,,397,0
Programme 8,Administration unit,"170,042,057","1,000,000,000","21,824,662","234,539,000",13,23,397,0
,Natural Resources Management,"7,443,830","2,000,000",,,0,0,397,0
,"Sanitation Services and Man-
agement","7,700,000",0,,,0,0,397,0
,Water Supply and Management,"12,200,000",0,,,0,0,397,0
,"Climate Change & Renewable
Energy","19,850,000","102,050,260",,,0,0,397,0
