Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2024",col_5,Absorption Rate (),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,407,1
"Governorship, County Coordination And Administration",,,,,,,,407,1
"Monitoring and
Evaluation","101024010 Project
Co-ordination and
Monitoring","84,404,600",-,"1,000,000",-,1.2,,407,1
"County Co-ordi-
nation","705024010 Office
Administration and
Support Services","97,530,000","15,000,000","573,460",-,0.6,0.0,407,1
"Administration and
Support","706014010 County
Executive and
Coordination","181,091,609",-,"15,078,323",-,8.3,,407,1
Disaster Program,"902044010 Disaster
Response and
Mitigation","19,500,000",-,"672,640",-,3.4,,407,1
"Communication and
Information Services","203014010 Commu-
nication","26,800,000",-,"495,000",-,1.8,,407,1
Sub Total,,"409,326,209","15,000,000","17,819,423",-,4.4,0.0,407,1
Finance And Economic Planning,,,,,,,,407,1
Revenue Program,"108014010 Local
Revenue Mobilisation","35,000,000",-,"3,058,650",-,8.7,,407,1
ICT Program,"703014010
Automation and
Revenue System",-,-,-,-,,,407,1
"Financial
Management
Program","703024010 Budget
Formulation
Coordination and
Management","6,850,000",-,"1,500,000",-,21.9,,407,1
,"703034010 Economic
Planning and CIDP
Review","9,600,000",-,"500,000",-,5.2,,407,1
,"101134010
Procurement","8,000,000",-,-,-,0.0,,407,1
,705014010 Budget,"6,270,000",-,"300,000",-,4.8,,407,1
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,408,0
,"705034010 Public
Participation","43,700,000",-,-,-,0.0,,408,0
,"730014010 Monitoring
and Evaluation","3,320,000",-,"700,000",-,21.1,,408,0
"Internal Audit
Program","Internal Audit
Program 718014010","6,000,000",-,"500,000",-,8.3,,408,0
"Administration and
Support","706014010 General
Administration
Planning and Support
Services","242,268,543","46,000,000","32,002,720",-,13.2,0.0,408,0
Sub Total,,"361,008,543","46,000,000","38,561,370",-,10.7,0.0,408,0
"Agriculture, Livestock And Fisheries",,,,,,,,408,0
Food Security,"101014010 Land and
Crops Development","1,970,000",-,"450,400",-,22.9,,408,0
,"101024010 Promotion
Food Security","2,700,000","100,000,000",-,"84,702,320",0.0,84.7,408,0
,"103084010 Veterinary
Services","3,670,000","17,700,000",-,-,0.0,0.0,408,0
,"107024010 Livestock
and Fisheries
Development","2,050,000","5,300,000",-,-,0.0,0.0,408,0
"Administration and
Support","706014010 General
Administration
Planning and Support
Services","276,624,150","392,434,071","48,512,727",-,17.5,0.0,408,0
