Programme,Sub Programme,Approved Estimates (Kshs.),col_3,Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,436,0
"DEPARTMENT OF AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,436,0
"Programme 1:
Administration,
planning and
support services","SP 1.1: Administration plan-
ning and support services","29,883,621","152,835,721","420,406.70",0,1,0,436,0
,SP 1.2: Human Resource,"391,341,414",0,"76,181,342.90",0,19,,436,0
"Programme
2: Livestock
resource man-
agement and
development","SP 2.1: Livestock production
and management","40,714,667","900,037",0,0,0,0,436,0
,"SP 2.2: Promotion of value
addition of livestock and
livestock products",0,0,0,0,,,436,0
,"SP 2.3: Livestock extension
service delivery",0,"24,002,611",0,0,,0,436,0
,"SP 2.4: Food safety and live-
stock products development",0,"8,110,067",0,0,,0,436,0
,"SP 2.5: livestock diseases
management and control",0,"13,377,352",0,0,,0,436,0
"Programme 3;
Fisheries devel-
opment","SP 3.1: Aquaculture devel-
opment",0,0,0,0,,,436,0
,"SP 3.2: development of cap-
ture fisheries resources",0,0,0,0,,,436,0
,"SP 3.3 Fish quality assurance
value addition and marketing","5,081,390",0,0,0,0,,436,0
"Programme 4:
Crop devel-
opment and
management","SP 4.1 Agriculture extension
research and training",,"2,437,402",0,0,,0,436,0
,"SP 4.2 crop production and
food security","17,572,537","493,567,379",0,0,0,0,436,0
,"SP 4.3 farmland utilisation,
conservation and mechani-
sation",0,0,0,0,,,436,0
,"SP 4.4 Agribusiness develop-
ment and marketing",0,"1,462,441",0,0,,0,436,0
,SP 4.5 Agri-Nutrition,0,"1,431,138",0,0,,0,436,0
,Sub Total,"484,593,629",698124148,"76,601,749",0,16,0,436,0
NAIVASHA MUNICIPALITY,,,,,,,,436,0
"Programme 1:
Administration
and planning
and support
services","SP 1.1 Administration and
Planning","16,099,243",0,0,,0,,436,0
,SP 1.2; personnel services,"14,072,662",0,"1,383,241.37",,10,,436,0
,SP 1.3 financial services,0,0,0,0,,,436,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,437,0
"Programme 2;
Naivasha munic-
ipal services","SP 2.1 planning and infra-
structure",0,"36,000,000",0,0,,0,437,0
,"SP 2.2 environmental man-
agement and sanitation",0,"27,000,000",0,0,,0,437,0
,"SP 2.3 Naivasha Social
Services","8,055,408",0,0,0,0,,437,0
,"SP 2.4 tourism investment
and trade","7,000,000",0,0,0,0,,437,0
,Sub-Total,"45,227,313","63,000,000","1,383,241.37",0,3,0,437,0
"PUBLIC SERVICE, DEVOLUTION, CITIZEN ENGAGEMENT, DISASTER MANAGEMENT &HUMANITARIAN ASSIS-
TANCE",,,,,,,,437,0
"Programme 1:
Administration,
planning and
support service","Sub-programme 1.1(Admin-
istration service)","61,947,354",0,0,0,0,,437,0
,"Sub-programme 1.2(Personal
Service)","690,684,065.62",0,"143,556,745.37",0,21,,437,0
,"Sub-programme 1.3(Finan-
cial Service)",0,0,0,0,,,437,0
,"Sub-programme 1.4(Main-
stream Workplace HIV/
AIDS, Alcohol & Drug Abuse
Control)","1,190,011",0,0,0,0,,437,0
,"Sub-programme 1.5(Rehabil-
itation/Construction of Sub
County Offices)",0,"84,577,486",0,0,,0,437,0
"Programme 2:
human resource
management and
development","SP 2.1; performance con-
tracting","11,846,067.97",0,0,0,0,,437,0
,"SP 2.2 PERFORMANCE
Appraisal system","11,846,067",0,0,0,0,,437,0
,"SP 2.3 Staff development
through capacity building
and training","4,026,805.34",0,0,0,0,,437,0
"Programme 3;
civil education &
public partici-
pation","SP 3.1 Co-ordination of pub-
lic and special community
programme","637,076.67",0,0,0,0,,437,0
"Programme
4: Disaster
management and
humanitarian
assistance","SP 4.1disaster management
and humanitarian assistance","18,480,174.24",0,0,0,0,,437,0
,Subtotals,"800,657,621.84","84,577,486","143,556,745.37",0,18,0,437,0
"DEPARTMENT OF EDUCATION, VOCATIONAL TRAINING, ICT AND E-GOVERNMENT",,,,,,,,437,0
"Programme 1:
Administration,
planning and
support service","SP 1.1 administration and
support service","48,357,875","418,812,658","197,864.05",0,0,0,437,0
,SP 1.2 Personnel service,"643,746,121",0,"125,560,958.60",0,20,,437,0
,SP 1.3 financial services,0,0,0,0,,,437,0
"Programme 2:
Promotion of
early childhood
education and
development","SP 2.1 Promotion of Early
Childhood","134,712,335",0,0,0,0,,437,0
,SP 2.2 Bursaries,"183,000,000",0,0,0,0,,437,0
,"SP 2.3Education develop-
ment",0,"66,450,251",0,0,,0,437,0
"Programme
3: Vocational
training",SP 3.1 Vocational training,"83,922,834",0,0,0,0,,437,0
,"SP 3.2 Vocational Training
Infrastructure Development",0,"81,289,894",0,0,,0,437,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,438,0
"Programme 4
Information and
communication","SP 4.1 Public communica-
tion and media services","9,631,665","3,000,000",0,0,0,0,438,0
"Programme 5
ICT Infrastruc-
ture Devel-
opment and
E-government
services","SP 5.1 Network Infrastruc-
ture","13,169,794",0,0,0,0,,438,0
,"5.2 Hardware and software
platforms",0,0,0,0,,,438,0
,5.3 E-government services,0,0,0,0,,,438,0
,Sub-Total,"1,116,540,624","569,552,803","125,758,822.65",0,11,0,438,0
COUNTY TREASURY,,,,,,,,438,0
"Programme 1:
Administration,
planning and
support services","SP 1.1 Administration
services","750,697,888","458,529,634",0,0,0,0,438,0
,SP 1.2 Personnel services,"552,193,677",0,"132,399,270",0,24,,438,0
,SP 1.3 financial services,0,0,0,0,,,438,0
"Programme 2:
Public Finance
Management","SP 2.1 Budget formulation
co-ordination and manage-
ment","105,918,535",0,0,0,0,,438,0
,"SP 2.2Resources mobiliza-
tion","53,599,403.77","15,600,000",0,0,0,0,438,0
,SP 2.3 internal audit,"15,432,885",0,0,0,0,,438,0
,SP 2.4 procurement,"12,790,171.97",0,0,0,0,,438,0
,"SP 2.5 public finance and
accounting","14,991,459",0,0,0,0,,438,0
,SP 2.6 Debt management,"4,243,493.76","280,000,000",0,0,0,0,438,0
,"SP 2.7 external resources
mobilisation","10,235,000",0,0,0,0,,438,0
"Programme 3:
Economic and
financial policy
formulation and
management",SP 3.1 Fiscal planning,"30,383,188.42",0,0,0,0,,438,0
,"SP 3.2 monitoring and
evaluation /statistical data
management","5,187,600",0,0,0,0,,438,0
,SP 3.3 KDSP programme,0,"34,017,547",,#########,,56,438,0
,Sub-Total,"1,555,672,303.06","788,147,181.12","132,399,270",#########,9,2,438,0
NAKURU CITY,,,,,,,,438,0
Programme 1,"SP 1.1 Administration and
Support Services","33,832,848",0,0,0,0,,438,0
,SP 1.2 personnel services,"33,209,943",0,"5,183,750.25",0,16,,438,0
,SP 1.3 financial services,"600,000",0,0,0,0,,438,0
Programme 2,"SP 2.1 Infrastructure devel-
opment and urban",0,"59,500,000",0,0,,0,438,0
,"SP 2.2 Nakuru City Environ-
ments Management","824,495",0,0,0,0,,438,0
,"SP 2.3 Trade markets and
investments","7,000,000",0,0,0,0,,438,0
,"SP 2.4 Nakuru City Social
Services","9,416,848",0,0,0,0,,438,0
,Sub-Total,"84,884,134","59,500,000","5,183,750",0,6,0,438,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,439,0
"DEPARTMENT OF YOUTH, CULTURE, GENDER, SPORTS AND SOCIAL SERVICES",,,,,,,,439,0
