Program,Sub Program,"Approved Bud-
get (Kshs.)","Actual Expenditure
(Kshs.)","Absorption Rate
(%)",page_number,table_index
102004610,"Crop Development and Manage-
ment","800,070,821","24,333,426",3,459,1
,Crop Productivity Improvement,"800,070,821","24,333,246",3,459,1
103004610,"Livestock Resources management
and development","214,059,898",,0,459,1
,"Livestock Pests & Disease Manage-
ment & Control","113,236,103",,0,459,1
,Livestock Information Management,"100,823,795",0,0,459,1
104004610,"Fisheries Development and Man-
agement","48,328,512",0,0,460,0
,Fish Products Production,"48,328,512",0,0,460,0
105004610,Land Policy and Planning,"44,403,099",,0,460,0
,"Development Planning and Land
Reforms","44,403,099",,0,460,0
106004610,"Housing Development and Human
Settlement","196,692,757","25,589,729",13,460,0
,Housing Development,"196,692,757","25,589,729",13,460,0
107004610,Urban Mobility and Transport,"293,680,395",,0,460,0
,"Metropolitan Planning & Infrastruc-
ture Development","293,680,395",,0,460,0
201004610,Roads Transport and Public Works,"1,614,361,428","329,428,564",20,460,0
,"General Administration, Planning
and Support Services","67,185,299","10,636,220",16,460,0
,Construction of Roads and Bridges,"1,479,389,344","313,932,613",21,460,0
,Maintenance of Roads,"67,786,785","4,859,731",7,460,0
202004610,ICT Services,"441,325,223","42,000,000",10,460,0
,ICT Infrastructure Development,"441,325,223","42,000,000",10,460,0
301004610,"General Administration and Sup-
port Services","699,196,845",,0,460,0
,Administrative Services,"9,435,168",0,0,460,0
,"Cooperative Development & Man-
agement","34,656,100",,0,460,0
,Trade Development and Promotion,"655,105,577",,0,460,0
303004610,"Tourism Development and Promo-
tion","450,913,688","226,142,960",50,460,0
,Tourism Promotion and Marketing,"450,913,688","226,142,960",50,460,0
306000000,"Tourism Development and Promo-
tion","100,249,999",0,0,460,0
,Tourism Infrastructure Development,"100,249,999",0,0,460,0
401004610,"Preventive &Promotive Health
Services","481,094,035",0,0,460,0
,Health Promotion,"481,094,035",0,0,460,0
402004610,Curative Health Services,"488,124,894",0,0,460,0
,Referral Services,"488,124,894",0,0,460,0
403004610,"General Administration, Planning
& Support Services","2,353,149,416","799,330,069",34,460,0
,"Health Policy, Planning and Financ-
ing","2,353,149,416","799,330,069",34,460,0
502004610,"Manpower Development, Employ-
ment and Productivity Manage-
ment","1,730,459,500","159,686,713",9,460,0
,"Early Child Development and Edu-
cation","1,730,459,500","159,686,713",9,460,0
701004610,"General Administration, Planning
and Support Services","2,494,774,787","374,820,688",15,460,0
,Administrative Services,"772,161,124","63,626,731",8,460,0
