Department,Program,"Sub-Pro-
gram",Approved Estimate,col_4,Cumulative Expenditure,col_6,Absorption Rate (%),col_8,page_number,table_index
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",494,0
"Executive
Office of the
Governor and
the Deputy
Governor","Management
and Co-ordina-
tion of County
Affairs","Administra-
tion, planning
and support
services","119,634,516","45,000,000","20,785,131",0,17,0,494,0
,,"Management
of county
affairs","4,654,565",,"55,600",,1,,494,0
"Executive Office of the Governor and the Deputy
Governor Total",,,"124,289,081","45,000,000","20,840,731",0,17,0,494,0
"Office of the
County Secre-
tary","Co-ordination
of County
Functions and
Public Service
Management","Administra-
tion, planning
and support
services","322,224,758","6,500,000","28,115,679",0,9,0,494,0
,,"County
publicity
campaign","2,121,733",,0,,0,,494,0
Office of the County Secretary Total,,,"324,346,491","6,500,000","28,115,679",0,9,0,494,0
"Finance,
Economic
Planning and
ICT","Economic Plan-
ning and Policy
Formulation","Economic
Planning and
Policy Formu-
lation","10,190,400",,"504,700",,5,,494,0
,,"Monitoring
and Evalua-
tion","3,700,000",,"500,000",,14,,494,0
,"Executive
Services","Adminis-
tration and
personnel
services","451,409,170","10,049,590","61,594,714",0,14,0,494,0
,"ICT Develop-
ment","ICT Infra-
structure
Development","4,967,575",,0,,0,,494,0
,"Public Finance
Management","Financial
Accounting","8,901,000",,"82,252",,1,,494,0
,,Internal Audit,"5,859,800",,"176,400",,3,,494,0
,,"Procurement
Compliance
and Reporting","8,102,000",,0,,0,,494,0
,"Revenue Mobil-
isation","Revenue Mo-
bilisation","42,583,436",,"436,470",,1,,494,0
"Finance, Economic Planning and ICT Total",,,"535,713,381","10,049,590","63,294,536",0,12,0,494,0
"Lands, Physical
Planning and
Urban Devel-
opment","Housing
Development
and Human
Settlement","Government
Building","2,695,000",,0,,0,,494,0
,"Land Policy and
Planning","Land Policy
Formulation","5,117,943",,0,,0,,494,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",495,0
,"Physical plan-
ning services","Adminis-
tration and
personnel
services","73,658,236","368,403,076","18,767,603",0,25,0,495,0
"Lands, Physical Planning and Urban Development
Total",,,"81,471,179","368,403,076","18,767,603",0,23,0,495,0
"Health Services
and Public
Health","Administration,
Planning and
General Support
Services","Administra-
tion, Planning
and General
Support
Services","2,609,091,990","416,300,000","612,179,310",0,23,0,495,0
,Health Services,"Community
Health","550,000",,"56,000",,10,,495,0
,,"Health Ser-
vices","17,570,350",,0,,0,,495,0
Health Services and Public Health Total,,,"2,627,212,340","416,300,000","612,235,310",0,23,0,495,0
"Gender, Youth,
Social Services
and Sports","General Ad-
ministration
and Planning
services","Adminis-
tration and
personnel
services","71,690,628",,"17,114,974",,24,,495,0
,"Library Services
and Disaster
Management","Adminis-
tration and
planning
services","14,247,698","76,100,000","178,624",0,1,0,495,0
,"Social Devel-
opment and
Protection","County chil-
dren’s home
management","3,622,000",,"369,323",,10,,495,0
,"Sports and
Talents Develop-
ment","Recreation
and Sporting
Services","4,557,500","25,200,000",0,0,0,0,495,0
"Gender, Youth, Social Services and Sports Total",,,"94,117,826","101,300,000","17,662,921",0,19,0,495,0
"County Public
Service and
Solid Waste
Management","Human resourc-
es Management","Administra-
tion Planning
and Support
Services","139,073,817","9,750,000","30,164,880",0,22,0,495,0
,"Sanitation Man-
agement","Administra-
tive Support
Services","8,088,154","43,250,000",0,0,0,0,495,0
"County Public Service and Solid Waste Manage-
ment Total",,,"147,161,971","53,000,000","30,164,880",0,20,0,495,0
"Agriculture,
Livestock and
Aquaculture
Development","Agricultural
Management","Adminis-
tration and
planning
services","224,986,066","202,749,217","53,411,195",0,24,0,495,0
,AMS Naromoru,"Development
Of Agricul-
tural Land
For Crop
Production","1,226,000","6,500,000","613,000",0,50,0,495,0
,"County Exten-
sion Services
and Aquaculture
Development","Administra-
tive Support
Services","2,537,734","23,900,000",0,0,0,0,495,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",496,0
,"Crop Manage-
ment","County
Agriculture
Extension
Program","1,597,437","23,000,000",0,0,0,0,496,0
,"Livestock
Production
Management","Provision of
Extension
Services to
Livestock
farmers","1,219,940","14,000,000",0,0,0,0,496,0
,Wambugu ATC,"Farm Devel-
opment","6,630,000",,"3,315,000",,50,,496,0
"Agriculture, Livestock and Aquaculture Develop-
ment Total",,,"238,197,177","270,149,217","57,339,195",0,24,0,496,0
"Trade,
Co-operatives,
Culture and
Tourism","Co-operatives
Management","Co-operative
Development
and Manage-
ment","3,439,389","2,500,000",0,0,0,0,496,0
,"Tourism Devel-
opment","Cultural Man-
agement",,"1,000,000",,0,,0,496,0
,,"Promotion of
Tourism","3,850,000","5,000,000",0,0,0,0,496,0
,"Trade Develop-
ment","Trade Promo-
tion","49,308,501","371,400,000","10,303,965",0,21,0,496,0
"Trade, Co-operatives, Culture and Tourism Total",,,"56,597,890","379,900,000","10,303,965",0,18,0,496,0
"Education,
Training and
Devolution","ECDE Manage-
ment","ECDE Man-
agement","5,487,252",,0,,0,,496,0
,"General
administration
and policy De-
velopment and
implementation","Administra-
tive Support
Services","501,992,447","46,100,000","108,763,348",0,22,0,496,0
,"Kenya Devo-
lution Support
Program","Promote
Effective
Result Based
Management
& Adminis-
tration","42,500,000",,0,,0,,496,0
,"Youth Training
and Develop-
ment","Youth
Training and
Development","3,563,714","39,000,000",0,0,0,0,496,0
"Education, Training and Devolution Total",,,"553,543,413","85,100,000","108,763,348",0,20,0,496,0
"Water, Environ-
ment, and Cli-
mate Change","Environment
and Climate
Change","Environment
Conservation,
Protection
and Manage-
ment","12,847,368","251,354,584","270,200","448,600",2,0,496,0
,"Water Manage-
ment","Administra-
tive Support
Services","63,512,077",,"13,570,178",,21,,496,0
,,"Water Ser-
vices",,"13,345,416",,0,,0,496,0
"Water, Environment, and Climate Change Total",,,"76,359,445","264,700,000","13,840,378","448,600",18,0,496,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",497,0
"County Assem-
bly","General admin-
istration, Policy
Development
and implemen-
tation","Adminis-
tration and
planning
services","805,763,061","150,000,000","162,931,606",0,20,0,497,0
County Assembly Total,,,"805,763,061","150,000,000","162,931,606",0,20,0,497,0
"County Public
Service Board","General admin-
istration, Policy
Development
and implemen-
tation","Adminis-
tration and
personnel
services","42,461,734","6,000,000","8,100,269",0,19,0,497,0
County Public Service Board Total,,,"42,461,734","6,000,000","8,100,269",0,19,0,497,0
"Roads,
Transport,
Public Works,
Infrastructure
and Energy","Energy Sector
Development","Street
Lighting",,"220,000,000",,0,,0,497,0
,,"Street lighting
programme","18,813,160",,0,,0,,497,0
,"General Ad-
ministration
and Planning
services","Administra-
tion, planning
and support
services","74,130,844",,"14,244,894",,19,,497,0
,"Road develop-
ment, main-
tenance and
management","County
access and
feeder road
improvement",,"431,334,361",,0,,0,497,0
"Roads, Transport, Public Works, Infrastructure
and Energy Total",,,"92,944,004","651,334,361","14,244,894",0,15,0,497,0
"County Attor-
ney","General Ad-
ministration
and Planning
services","Management
of county
affairs","46,292,678",,0,,0,,497,0
County Attorney Total,,,"46,292,678",,0,,0,,497,0
"Nyeri Munici-
pality","Municipal
Administration","Municipal
Administra-
tion","12,090,880",,0,,0,,497,0
,,"Municipal
Development",,"84,700,000",,0,,0,497,0
"Nyeri Munici-
pality Total",,,"12,090,880","84,700,000",0,0,0,0,497,0
,,,"5,858,562,551","2,892,436,244","1,166,605,315","448,600",20,0,497,0
