Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",505,0
County Executive,,-,-,-,-,0,,505,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,,505,0
"Administration,
Planning and Sup-
port Services","Administration, Planning
and Support Services",-,-,-,-,0,,505,0
,"Management of County
Affairs",-,-,-,-,0,,505,0
"County Executive
Services",County Executive Services,"443,833,950","57,500,000","118,263,156",-,27,0,505,0
,"Administration and Coordi-
nation of County Affairs",-,-,-,-,0,0,505,0
,Sub County Administration,"233,928,948","57,500,000","50,201,636",-,21,0,505,0
,"Coordination, Supervision
and Human Resource
Services","153,195,448",-,"50,186,127",-,33,0,505,0
,"Management of County
Affairs","56,709,554",-,"17,875,394",-,32,0,505,0
"Organisation of
County Business","Organisation of County
Business",-,-,-,-,0,0,505,0
,"Public Sector Advisory
Services",-,-,-,-,0,0,505,0
"Economic, Social
& Political Adviso-
ry Service","Economic, Social & Politi-
cal Advisory Service","23,905,060",-,"6,286,108",-,26,0,505,0
,County Policing,-,-,-,-,0,0,505,0
,"General Administration
Planning and Support
Services","23,905,060",-,"6,286,108",-,26,0,505,0
"Administration of
Human Resources
in County Public
Service","Administration of Human
Resources in County Pub-
lic Service","61,889,274",-,"13,761,825",-,22,0,505,0
,"General Administration
Planning and Support
Services","61,889,274",-,"13,761,825",-,22,0,505,0
"Administration
Services",Administration Services,-,-,-,-,0,0,505,0
,Special Programs,-,-,-,-,0,0,505,0
Special Programs,Special Programs,-,-,-,-,0,0,505,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",506,0
,Special Programs,-,-,-,-,0,0,506,0
,Grand Total,"529,628,284","57,500,000","138,311,089",-,26,0,506,0
"Finance, Economic
Planning & ICT",,-,-,-,-,0,0,506,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,506,0
"Administration
Services",Administration Services,"402,370,320","54,500,000","51,572,819",-,13,0,506,0
,System Security,"374,966,826",-,"50,032,219",-,13,0,506,0
,"Public Finance Manage-
ment","27,403,494","54,500,000","1,540,600",-,6,0,506,0
Fiscal Planning,Fiscal Planning,"332,355,767","1,000,000","58,252,542",-,18,0,506,0
,Resource Mobilization,"42,016,782",-,"4,770,064",-,11,0,506,0
,"Budget Formulation Coor-
dination and management","101,068,085","1,000,000","45,089,576",-,45,0,506,0
,"Public finance and Ac-
counting","14,274,085",-,"563,507",-,4,0,506,0
,Internal Audit,"46,858,058",-,"3,349,501",-,7,0,506,0
,Data Management,"20,827,424",-,"1,388,857",-,7,0,506,0
,Procurement,"35,233,332",-,"1,213,379",-,3,0,506,0
,"Monitoring & Evaluation /
Statistical","29,699,489",-,"1,877,658",-,6,0,506,0
,Special Programs,"42,378,512",-,-,-,0,0,506,0
Special Programs,Special Programs,"30,237,298",-,"11,153,387",-,37,0,506,0
,"General Administra-
tion(Economic Planning
and ICT)","30,237,298",-,"11,153,387",-,37,0,506,0
"General Adminis-
tration (Economic
Planning and ICT)","General Administration
(Economic Planning and
ICT)","9,866,339",-,"1,288,502",-,13,0,506,0
,Grand Total,"9,866,339",-,"1,288,502",-,13,0,506,0
,Grand Total,"774,829,724","55,500,000","122,267,251",-,16,0,506,0
"Agriculture,
Livestock Devel-
opment, Veteri-
nary Services &
Fisheries",,-,-,-,-,0,0,506,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,506,0
"Administration,
Planning and Sup-
port Services","Administration, Planning
and Support Services","62,172,503",-,"32,461,316",-,52,0,506,0
,"Livestock Resource Man-
agement and Development","62,172,503",-,"32,461,316",-,52,0,506,0
"Promotion of
Value Addition
of Livestock and
Livestock Prod-
ucts","Promotion of Value
Addition of Livestock and
Livestock Products","78,102,168","414,950,000","34,281,024","133,470,981",44,32,506,0
,"Promotion of Dairy
Production, Breeding and
Disease control","21,359,356","414,950,000","16,412,574","133,470,981",77,32,506,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",507,0
,"Livestock marketing and
rangeland management","25,978,625",-,"8,808,268",-,34,0,507,0
,"Livestock Diseases manage-
ment and Control","14,237,971",-,"8,787,460",-,62,0,507,0
,,"16,526,216",-,"272,723",-,2,0,507,0
"Development of
capture fisheries
resources","Development of capture
fisheries resources","13,281,512","14,500,000",-,-,0,0,507,0
,"Crop Production and Man-
agement","13,281,512","14,500,000",-,-,0,0,507,0
"Crop Production
and Food security","Crop Production and Food
security","60,330,681","229,795,842","24,945,067",-,41,0,507,0
,"Agricultural Extension
Research and Training","16,730,849",-,"687,567",-,4,0,507,0
,Grand Total,"43,599,832","229,795,842","24,257,500",-,56,0,507,0
,Grand Total,"213,886,864","659,245,842","91,687,407","133,470,981",43,20,507,0
"Water, Environ-
ment, Natural Re-
sources & Energy",,-,-,-,-,0,0,507,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,507,0
"Administration,
Planning and Sup-
port Services","Administration, Planning
and Support Services",-,-,-,-,0,0,507,0
,"Pollution control& moni-
toring",-,-,-,-,0,0,507,0
Administration,Administration,"37,238,257",-,"8,265,344",-,22,0,507,0
,"Forests Conservation and
Management","37,238,257",-,"8,265,344",-,22,0,507,0
"Forests Conserva-
tion and Manage-
ment","Forests Conservation and
Management","27,750,493","220,000,000","4,921,800",-,18,0,507,0
,"Pollution control& moni-
toring","3,990,720",-,"3,990,720",-,100,0,507,0
,"Forests Conservation and
Management","23,759,773","220,000,000","621,800",-,3,0,507,0
"Control of soil
erosion",Control of soil erosion,"12,105,726",-,-,-,0,0,507,0
,Mining Services,"5,341,246",-,-,-,0,0,507,0
,"Water Catchment and
Protection Services","3,283,228",-,-,-,0,0,507,0
,"Environmental Manage-
ment and Protection","3,481,252",-,-,-,0,0,507,0
"Water and sanita-
tion services","Water and sanitation
services","102,466,094","112,500,000","20,326,800",,20,0,507,0
,Storm water management,"90,204,766",-,"17,646,000",-,20,0,507,0
,Grand Total,"12,261,328","112,500,000","2,680,800",,22,0,507,0
,Grand Total,"179,560,570","332,500,000","33,513,944",,19,0,507,0
"Education and Vo-
cational Training",,-,-,-,-,0,0,507,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,507,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",508,0
"Administration,
Planning and Sup-
port Services","Administration, Planning
and Support Services",-,-,-,-,0,0,508,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,508,0
"Bursary Manage-
ment Services","Bursary Management
Services","214,624,245",-,"14,712,024",-,7,0,508,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,508,0
,"Education & Training
Services","214,624,245",-,"14,712,024",-,7,0,508,0
"Promotion of
Early Childhood
Education","Promotion of Early Child-
hood Education","377,621,676","149,200,000","14,051,862",-,4,0,508,0
,"Promotion of youth em-
powerment","377,621,676","149,200,000","14,051,862",-,4,0,508,0
,"Management and devel-
opment of Sports & Sports
facilities",-,-,-,-,0,0,508,0
"Sports Develop-
ment, Training &
Competition","Sports Development, Train-
ing & Competition",-,-,-,-,0,0,508,0
,"Youth Training and Devel-
opment",-,-,-,-,0,0,508,0
"SP1 Revitalization
of Youth Polytech-
nics","SP1 Revitalization of Youth
Polytechnics","11,564,118","10,600,000","341,374",-,3,0,508,0
,"SP1 Revitalization of Youth
Polytechnics","11,564,118","10,600,000","341,374",-,3,0,508,0
,Grand Total,"603,810,039","159,800,000","29,105,260",-,5,0,508,0
"Medical Services,
Public Health &
Sanitation",,-,-,-,-,0,0,508,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,508,0
"Administration,
Planning and Sup-
port Services","Administration, Planning
and Support Services",-,-,-,-,0,0,508,0
,"Preventive and Promotive
Health Services",-,-,-,-,0,0,508,0
"Non-Communi-
cable Disease &
prevention control","Non-Communicable Dis-
ease & prevention control","310,858,117","148,700,000","42,753,450","8,586,961",14,6,508,0
,Maternal Health Services,"30,478,622",-,"734,740",-,2,0,508,0
,"Communicable Disease
Control","60,980,375",-,"15,557,029",-,26,0,508,0
,Health Promotive Services,"83,062,738",-,"17,342,028",-,21,0,508,0
,Health curative Services,"136,336,382","148,700,000","9,119,653",,7,0,508,0
"County Referral
Services",County Referral Services,"768,665,527","5,000,000","110,158,342",-,14,0,508,0
,Free Primary Healthcare,"565,791,147","5,000,000","77,521,746",-,14,0,508,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",509,0
,"Provision Of Essential
Health Services In All The
Levels","179,194,443",-,"32,286,878",-,18,0,509,0
,"General Administration
Planning and Support
Services","23,679,937",-,"349,719",-,1,0,509,0
"Health Standards
and Quality As-
surance Services","Health Standards and Qual-
ity Assurance Services","271,793,198",-,"39,756,316",-,15,0,509,0
,Research And Development,"94,436,123",-,"17,201,979",-,18,0,509,0
,"Health Infrastructure devel-
opment","5,426,344",-,-,-,0,0,509,0
,"Human Resources for
health","11,461,630",-,-,-,0,0,509,0
,"Health Policy, Planning &
Financing","137,190,994",-,"21,043,053",-,15,0,509,0
,,"24,478,107",-,"1,511,284",-,6,0,509,0
"Water Catchment
and Protection
Services","Water Catchment and
Protection Services",-,-,-,-,0,0,509,0
,,-,-,-,-,0,0,509,0
,Grand Total,"1,351,316,842","153,700,000","192,668,108",,14,0,509,0
"Lands, Housing,
Physical Planning
& Urban Develop-
ment",,-,-,-,-,0,0,509,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,509,0
"Administration,
Planning and Sup-
port Services","Administration, Planning
and Support Services","92,708,636",-,"35,113,910",-,38,0,509,0
,"Land use policy and
Planning","92,708,636",-,"35,113,910",-,38,0,509,0
"Housing manage-
ment services","Housing management
services","24,217,275","36,000,000","1,007,556","8,120,000",4,23,509,0
,GIS Data Base creation,"4,459,409",-,"756,645",-,17,0,509,0
,Spatial planning,-,-,-,-,0,0,509,0
,Survey And Mapping,"5,395,106",-,"221,553",-,4,0,509,0
,"Urban Centers Adminis-
tration","14,362,760","36,000,000","29,357","8,120,000",0,23,509,0
"Urban center
management",Urban center management,"87,324,116","136,375,442","4,625,020",-,5,0,509,0
,"Urban Centers Adminis-
tration","87,324,116","136,375,442","4,625,020",-,5,0,509,0
,Grand Total,"204,250,027","172,375,442","40,746,485","8,120,000",20,5,509,0
"Roads, Transport &
Public Works",,-,-,-,-,0,0,509,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,509,0
"Administration,
Planning and Sup-
port Services","Administration, Planning
and Support Services",-,-,-,-,0,0,509,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",510,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,510,0
"Administrative
services",Administrative services,"73,864,601",-,"13,581,600",-,18,0,510,0
,"Design, implemetation
and supervision of public
buildings","58,770,593",-,"13,083,900",-,22,0,510,0
,Firefighting services,"10,461,652",-,-,-,0,0,510,0
,"Infrastructure, Roads &
Transport Services","4,632,356",-,"497,700",-,11,0,510,0
"Street lights man-
agement",Street lights management,"41,691,785","349,900,000","1,918,096","5,980,400",5,2,510,0
,"Rehabilitation of Roads,
Drainage and Bridges","17,651,865","7,500,000","1,002,910",-,6,0,510,0
