Program,Sub Program,"Approved Esti-
mates (Kshs)","Actual Expen-
diture (Kshs)","Absorption
Rate (%)",page_number,table_index,col_5
Office of the Governor,,,,,586,0,
"General Administration,
Planning and Support
Services","General Administration, Planning and Sup-
port Services","276,006,832","11,467,743",4.2,586,0,
"Governor’s Security and
Protocol",Security protocol and procedures,"3,627,586",-,-,586,0,
,Performance Contracting,"7,255,172",-,-,586,0,
,Efficiency Monitoring,"14,162,068",-,-,586,0,
"Intergovernmental
Relations",Intergovernmental Relations,"7,255,170",-,-,586,0,
,Inter-County Performance Review Forum,"5,441,378",-,-,586,0,
"Donor/ Investor engage-
ment",Public-Private Partnership Initiative,"4,534,482",-,-,586,0,
,"Political and Intergovernmental Advisory
Services","4,534,482",-,-,586,0,
,Legal Advisory Services,"4,534,482",-,-,586,0,
,Security and cross-border Advisory Services,"1,360,344",-,-,586,0,
,Oil And Gas Advisory Service,"1,360,344",-,-,586,0,
,Gender and Partnership Advisory Services,"1,360,344",-,-,586,0,
,Special Interest groups,"1,360,344",-,-,586,0,
,Climate Change advisory services,"1,360,344",-,-,586,0,
,Education and youth Advisory services,"1,360,344",-,-,586,0,
,"Culture, Arts and Heritage advisory services","1,360,344",-,-,586,0,
,Tracking of Flagships projects,"7,255,170",-,-,586,0,
,Governor’s Transformative Agenda,"3,627,584",-,-,586,0,
Governors Press Service,Governors Press support,"3,285,233",-,-,586,0,
,Governor’s Visibility and Branding,"7,000,000",-,-,586,0,
,Media Liaison,"500,000",-,-,586,0,
,Public Address Unit,"4,500,000",-,-,586,0,
"Security and Peace
Building",Resettlement Infrastructural Programme,"51,000,000",-,-,586,0,
,Cross Border Peace Dividends Programme,"19,640,172",-,-,586,0,
,"County Peace Building and Conflict Manage-
ment Committees","34,986,610",-,-,586,0,
,"Internal Peace Building and Conflict Manage-
ment Programme","16,621,478",-,-,586,0,
,Sub - Total,"485,290,307","11,467,743",2.4,586,0,
Office of the Deputy Governor,,,,,586,0,
"General Administration,
Planning and Support
Services",General Admin Planning and Support,"14,852,331",-,-,586,0,
"Public Communications,
Media Relations and In-
formation Management","Media Partnerships and Stakeholder Engage-
ment","1,981,780",-,-,587,0,
,County Publicity and Branding,"2,500,000",-,-,587,0,
,Public Access to Information,"534,110",-,-,587,0,
,Communication Research and Development,"1,100,000",-,-,587,0,
Resource Mobilisation,Resource Mobilisation,"2,776,932",-,-,587,0,
,Public Private Partnerships,"1,800,000",-,-,587,0,
,Donor and Partner Coordination,"1,850,000",-,-,587,0,
,Sub - Total,"27,395,153",-,-,587,0,
Office of the County Attorney,,,,,587,0,
"General Administration,
Planning and Support
Services","General Administration, Planning and Sup-
port Services","14,229,030",-,-,587,0,
Legal Services,Litigation,"32,858,066",-,-,587,0,
,Government Agreements and Contracts,"4,984,450",-,-,587,0,
,Legal Audit and Compliance,"6,949,550",-,-,587,0,
"Research And Legislative
Drafting",Legislation,"7,030,564",-,-,587,0,
,Policy and Legal Briefs,"5,171,612",-,-,587,0,
Capacity Building,Training of Legal Counsel,"1,529,566",-,-,587,0,
,Legal Training and Awareness,"3,892,316",-,-,587,0,
,Sub - Total,"76,645,154",-,-,587,0,
Finance and Economic Planning,,,,,587,0,
"General Administration,
Planning and Support
Services",General Administration Services,"4,696,744,068","369,792,923",7.9,587,0,
,General Administration - Economic planning,"35,000,000",-,-,587,0,
,County Headquarters Offices,"20,000,000",-,-,587,0,
"Revenue Collection
Systems",Awareness and Campaigns on Revenue.,"6,150,836",-,-,587,0,
,"Revenue Forecast and Revenue Budget Prepa-
ration","4,930,564",-,-,587,0,
,Revenue Automation,"8,700,000",-,-,587,0,
,Revenue Governance,"1,644,669",-,-,587,0,
,Revenue Infrastructure,"11,000,000",-,-,587,0,
"Accountability and
Transparency",Consultation Services,"3,600,000",-,-,587,0,
,Financial Reporting and Assurance,"3,800,000","400,000",10.5,587,0,
,Tax Management and Statutory Deductions,"3,800,000","300,000",7.9,587,0,
,Modern Fencing,"100,000,000",-,-,587,0,
"Social and Financial
Security",Assurance and Insurance of Assets,"4,340,000",-,-,587,0,
,Liability and Debt Management,"1,700,000",-,-,587,0,
,Turkana SACCO Seed Capital,"3,800,000",-,-,587,0,
County Statical Unit,"Software, Database and Tools","58,000,000","305,200",0.5,587,0,
,Public Participation and access to information,"16,224,124",-,-,587,0,
,Support to Audit Committees,"3,800,000",-,-,587,0,
"Planning and Policy
Formulation",Planning and Policy Formulation,"32,569,682","10,000,000",30.7,587,0,
"Monitoring and Evalu-
ation",Field Visits and Data Collection,"2,500,000","154,000",6.2,587,0,
,Training and Development,"3,100,000",-,-,587,0,
,Devolved Monitoring and Evaluation,"3,500,000","250,000",7.1,587,0,
Budgetary Supply,"Budget Formulation, Co-ordination and
Management","22,500,000",-,-,588,0,
,Public Participation in Budgeting,"11,800,000",-,-,588,0,
,County Budget and Economic Forum,"48,000,000",-,-,588,0,
,Accountability in Resource Allocation,"4,948,106",-,-,588,0,
,Sub - Total,"5,112,152,049","381,202,123",7.5,588,0,
"Water Services, Environment and Mineral Resources",,,,,588,0,
"General Administration
and Support",General Administration and Support,"28,245,152","1,451,240",5.1,588,0,
"K-WASH World Bank
Programme",K-WASH World Bank Programme,"400,965,240",-,-,588,0,
"Water Supply and
Storage",Water Infrastructure,"404,550,000",-,-,588,0,
,Water Resource Management,"10,150,000",-,-,588,0,
,Water Governance Planning and Coordination,"30,000,000",-,-,588,0,
,Emergency Response and Drought Mitigation,"14,400,000",-,-,588,0,
,Sub - Total,"888,310,392","1,451,240",0.2,588,0,
Health and Sanitation Services,,,,,588,0,
"General administration,
Planning and support
services",Health Facilities,"22,500,000",-,-,588,0,
,"General Administration, Planning and Support
Services - Medical Services","121,000,000","2,380,195",2.0,588,0,
,"General Administration, Planning and Support
Services - Preventive and Promotive Services","554,909,831","121,298",-,588,0,
"Support to Health Pro-
grams","HIV & AIDS, including community-based
HIV interventions","1,500,000",-,-,588,0,
,TB and Leprosy,"1,500,000",-,-,588,0,
,NTDs (neglected tropical diseases),"1,000,000",-,-,588,0,
,Child Health,"500,000",-,-,588,0,
,Reproductive health,"2,960,000",-,-,588,0,
,Gender-Based Violence care,"2,150,000",-,-,588,0,
,EPI/outreaches,"2,000,000",-,-,588,0,
,Adolescent Youth Repro. Health,"500,000",-,-,588,0,
,Maternal and Neonatal Health,"1,500,000",-,-,588,0,
,Rural Health Facilities Support,"500,000",-,-,588,0,
Medical Services,Laboratory Services,"3,000,000",-,-,588,0,
,Blood Transfusion Services,"1,500,000",-,-,588,0,
,Rehabilitative Services,"800,000",-,-,588,0,
,Referrals and Emergency Services,"32,000,000",-,-,588,0,
,Radiology Services,"200,000",-,-,588,0,
,Dental Services,"500,000",-,-,588,0,
,Clinical Services,"1,300,000",-,-,588,0,
,Nursing Services,"1,700,000",-,-,588,0,
,Sub county Health Facilities Support,"2,800,000",-,-,588,0,
,Ophthalmic Services,"1,000,000",-,-,588,0,
,Malaria,"1,000,000",-,-,588,0,
,Mental Health,"500,000",-,-,588,0,
,Biomedical Engineering,"500,000",-,-,588,0,
,UHC Turkana,"300,000",-,-,588,0,
"Lodwar County And
Referral Hospital",LCRH Operations and Support Services,"444,186,086","111,046,521",25.0,588,0,
Medical Supplies,Medical Supplies,"309,975,942",-,-,589,0,
,Health Management,"1,700,000",-,-,589,0,
"Policy, Planning, Moni-
toring and Evaluation",Health Information Management,"1,350,000",-,-,589,0,
,Quality Assurance,"250,000",-,-,589,0,
,Electronic Medical Records,"800,000",-,-,589,0,
,Research and Development,"400,000",-,-,589,0,
,Policy and Planning,"800,000",-,-,589,0,
,Health Partners Coordination,"1,400,000",-,-,589,0,
,Monitoring and Evaluation of Health,"800,000",-,-,589,0,
"Community Health
Services",Community Health Services,"1,400,000",-,-,589,0,
,Community Nutrition,"3,350,000",-,-,589,0,
,MIYCN and Emergency Nutrition,"1,500,000",-,-,589,0,
Public Health,Food safety,"300,000",-,-,589,0,
,School Health,"250,000",-,-,589,0,
,Disease Surveillance Response,"1,050,000",-,-,589,0,
,Alcohol and Substance Abuse,"2,500,000",-,-,589,0,
Level 6 Hospital,Turkana Level 6 Hospital,"146,500,000",-,-,589,0,
,Sub - Total,"1,678,131,859","113,548,014",6.8,589,0,
"Trade, Gender and Youth Affairs",,,,,589,0,
"General Administration
and Support Services",General Administration Gender and Youth,"6,567,576","25,000",0.4,589,0,
,"General Administration Trade and Coopera-
tives","14,127,578","150,000",1.1,589,0,
"Trade Development and
Promotion",Market Infrastructure Development,"27,800,000",-,-,589,0,
,Industrial Development and Investments,"1,750,000","11,510",0.7,589,0,
,Biashara Fund,"900,000","25,000",2.8,589,0,
,Trade Promotion,"3,350,000",-,-,589,0,
,Fair Trade and Consumer Protection Services,"1,800,000",-,-,589,0,
"Co-operative Develop-
ment and Management","Co-operative Marketing, Value Addition,
Surveys & Research","2,000,000",-,-,589,0,
,"Co-operative Education, Training, Exchange
and Ushirika Day Celebration","3,600,000",-,-,589,0,
,"Strengthening of Key Dormant Co-operative
Societies","1,410,000",-,-,589,0,
,"Formulation of Cooperative Policy and Legal
Framework","1,600,000",-,-,589,0,
,Cooperative Development Fund,"90,000,000",-,-,589,0,
,"Cooperative Ethics Governance and Audit
Support","250,000",-,-,589,0,
"Promotion of Gender
Equality and Empower-
ment",Gender Empowerment and advocacy,"4,100,000",-,-,589,0,
,Gender Mainstreaming and Coordination,"2,980,000",-,-,589,0,
,Legal Compliance and Redress,"1,700,000",-,-,589,0,
,"Promotion of Gender Equality and Empow-
erment","3,743,811",-,-,589,0,
"Youth Affairs Develop-
ment",Youth Coordination and Representation,"4,700,000",-,-,589,0,
,Youth and Women Fund,-,-,-,589,0,
,Youth Capacity Building & Training,"5,200,000","84,643",1.6,589,0,
,Youth Talent Development,"4,500,000",-,-,589,0,
,Sub - Total,"182,078,965","296,153",0.2,589,0,
"Education, Sports and Social Protection",,,,,589,0,
565,,,,,589,0,
"General Administration
and Support Services","Turkana Education and Skill Development
Fund","535,000,000",-,-,590,0,
,General Administration Services,"28,253,683",-,-,590,0,
,"General Administration ECDE & Social
Protection","19,474,501","260,649",1.3,590,0,
,"General Administration Sports and Vocational
Training","7,484,499","260,649",3.5,590,0,
"Early Childhood Edu-
cation",School Feeding,"250,000",-,-,590,0,
,Infrastructure Development,"477,000,000",-,-,590,0,
"Social Protection
Programs/ Affirmative
Action",ECDE Governance,"3,900,000",-,-,590,0,
,"Turkana County Persons with Disability
Development","22,300,000",-,-,590,0,
,Marginalised and Minority groups support,"4,460,000",-,-,590,0,
,Child Care and Protection,"19,000,000",-,-,590,0,
County Library Services,Library Governance,"1,970,070",-,-,590,0,
,Library Infrastructure,"5,000,000",-,-,590,0,
,Training and Development,"2,002,400","457,800",22.9,590,0,
,Co-Curricular Activities,"22,600,000",-,-,590,0,
"Sports and arts pro-
gramme",Construction of sports Stadia,"14,450,000",-,-,590,0,
,Sports Infrastructure,"67,000,000",-,-,590,0,
,Sub - Total,"1,230,145,153","979,098",0.1,590,0,
"Public Services, Decentralized Administration and Disaster Management",,,,,590,0,
"General Administration,
Planning and Support
Services","General Administration, Planning and Support
Services-Public Service","5,298,919,999","1,341,898,877",25.3,590,0,
"Human resource man-
agement",Payroll administration,"1,300,000",-,-,590,0,
,Digitisation and Automation,"5,240,000",-,-,590,0,
,"Human Resource Management and Develop-
ment","4,700,000",-,-,590,0,
,GHRIS Module,"1,300,000",-,-,590,0,
,County performance management,"2,800,000",-,-,590,0,
Decentralised Services,"Sub County Administration Support Pro-
gramme","19,000,000",-,-,590,0,
,Ward Administration Support Programme,"18,000,000",-,-,590,0,
,Village Administration Support Programme,"33,099,154",-,-,590,0,
"Governance and Public
Participation",Civic education Programme,"3,000,000",-,-,590,0,
,Public Participation and access to information,"10,700,000","480,714",4.5,590,0,
"Disaster risk manage-
ment","Stakeholders Coordination and Support
Programme","800,000",-,-,590,0,
,Disaster Risk Management,"2,600,000",-,-,590,0,
,Disaster Preparedness Mitigation & Response,"553,700,000",-,-,590,0,
Inspectorate services,Enforcement & Coordination Services,"4,000,000",-,-,590,0,
,County Inspectorate Training Institute,"3,000,000",-,-,590,0,
,Sub - Total,"5,962,159,153","1,342,379,591",22.5,590,0,
"Infrastructure, Transport and Public Works",,,,,590,0,
"General Administration
and Support Services","General Administration- Infrastructure and
Transport","31,917,050","60,649",0.2,590,0,
,General Administration- Public works,"16,748,103","60,649",0.4,590,0,
"Develop and maintain
roads",Roads Maintenance Levy Fund (RMLF),"251,956,760",-,-,591,0,
,"Designing & Construction of Roads and
Bridges","328,400,000",-,-,591,0,
"Develop and Maintain
Staff",Roads Safety initiatives,"14,400,000",-,-,591,0,
,Government Structures/Buildings,"13,900,000",-,-,591,0,
,Sub - Total,"657,321,913","121,298",-,591,0,
"Agriculture, Pastoral Economy and Fisheries",,,,,591,0,
"General Administration
and Support Services","General Administration and Support Services-
Agriculture and Land Reclamation","14,404,000",-,-,591,0,
,"General Administration Livestock Develop-
ment","14,800,000",-,-,591,0,
,"General Administration Fisheries & Aquacul-
ture","16,000,000","121,298",0.8,591,0,
Agriculture Programme,Agriculture Sector Development,"34,800,000","651,200",1.9,591,0,
,DRNKP/KfW,"346,444,140","26,910,000",7.8,591,0,
,"Fish Market Infrastructure and Sustainable
Management","60,906,460","5,536,585",9.1,591,0,
,Livestock Breed Improvement,"143,500,000",-,-,591,0,
"Food System Resilience
Project",Food System Resilience Project,"173,076,922",-,-,591,0,
"Revival of Turkana Fish-
ermen Cooperative","Policy Formulation, Research and Develop-
ment","155,839,817",-,-,591,0,
"Emergency Locust Re-
sponse Project",Emergency Locust Response Project,"142,500,000","61,911,740",43.4,591,0,
,Sub - Total,"1,102,271,339","95,130,823",8.6,591,0,
"Tourism, Culture and Natural Resources",,,,,591,0,
General Administration,"General Administration Tourism Culture and
Heritage","13,400,000","1,237,897",9.2,591,0,
,"General Administration Environment and
Climate Change","9,350,000",-,-,591,0,
,"General Administration Energy Mining and
Natural Resources","7,350,000",-,-,591,0,
"Tourism Development
and Promotion",Tourism Destination Marketing,"2,200,000",-,-,591,0,
,Tourism Product Development and Promotion,"2,100,000","201,600",9.6,591,0,
,Tourism Infrastructure Development,"4,000,000",-,-,591,0,
,Tourism Research and Development,"2,200,000","202,488",9.2,591,0,
"Culture, Arts, Heritage
Development, promo-
tion and preservation",Ushanga Initiative,"2,700,000",-,-,591,0,
,Culture Promotion and Preservation,"4,300,000","292,500",6.8,591,0,
,Turkana Cultural Festivals,"40,000,000","975,100",2.4,591,0,
Heritage Promotion,"Heritage Development Promotion and Pres-
ervation","1,200,000",-,-,591,0,
,"Turkana Cultural Education and Research
Centre","2,200,000",-,-,591,0,
,lokiriama Culture and Peace Accord,"30,895,154",-,-,591,0,
,Ataa Nayeche Commemoration,"35,000,000","1,000,000",2.9,591,0,
"Environmental Gov-
ernance Compliance
Conservation Protection
and Management",Environmental Governance and Compliance,"6,000,000",-,-,591,0,
"Climate Change Adap-
tation Resilience and
Mitigation","Climate Change Institutional Governance and
Administration","4,500,000",-,-,591,0,
"Financing Locally-Led
and Departmental
Programmes Climate
Actions","Financing Locally-Led and Departmental
Programmes Climate Actions","500,109,357","16,820,183",3.4,592,0,
"Energy Development
Programme",Renewable Energy Development,"12,300,000","121,298",1.0,592,0,
,Streetlighting,"1,100,000",-,-,592,0,
,Energy Efficiency and Conservation,"12,000,000",-,-,592,0,
Mining Development,Sustainable Exploitation of Mineral Resources,"9,450,000",-,-,592,0,
