Program,Sub Program,Description,"Approved Estimates FY
2024/25",col_4,"Actual Expenditure as of 30
September 2024",col_6,Absorption Rate (%),col_8,page_number,table_index
,,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,600,0
Governor’s Office,,,,,,,,,600,0
,110014310,"SP1.1 Administra-
tive support services","110,182,319",-,"12,539,524",-,11,-,600,0
,,Grand Total,"110,182,319",-,"12,539,524",-,11,-,600,0
Finance,,,,,,,,,600,0
,701054310,"internal audit ser-
vices","7,461,310",-,"3,137,000",-,42,-,600,0
,701034310,Accounts services,"2,561,310",-,"781,300",-,31,-,600,0
,701014310,Finance services,"379,560,410",-,"28,141,689.45",-,7,-,600,0
,701044310,"Procurement and
supply services","2,661,310",-,"728,700",-,27,-,600,0
,,Grand Total,"392,244,340",-,"32,788,689.45",-,8,-,600,0
Public Service Management,,,,,,,,,600,0
,504014310,"Administration And
Support Services","866,611,766",-,"178,006,517.65",-,21,-,600,0
,,Grand Total,"866,611,766",-,"178,006,517.65",-,21,-,600,0
ICT and E-Government,,,,,,,,,600,0
,201034310,"Staff Online Man-
agement System
(Online Help Desk
System)",-,"24,000,000",-,,-,-,600,0
,216014310,SP ICT Services,"63,506,559",-,"13,331,400",-,21,-,600,0
,707014310,"Ward Development
Services",-,"2,000,000",-,-,-,-,600,0
,,Grand Total,"63,506,559","26,000,000","13,331,400",-,21,-,600,0
"Roads, Transport and Infrastructure",,,,,,,,,600,0
,204014310,"Capital roads invest-
ments","588,413,328","310,361,740","90,659,997.40",,15,-,600,0
,204024310,"Plants and Machin-
ery",-,"70,000,000",-,,-,-,600,0
,707014310,"Ward Development
Services",-,"389,723,825",-,,-,-,600,0
,,Grand Total,"588,413,328","770,085,565","90,659,997.40",-,15,-,600,0
Health Services,,,,,,,,,600,0
,110014310,"SP1.1 Administra-
tive support services","30,000,000",-,-,-,-,-,600,0
,407024310,Health Services,-,"240,000,000",-,-,-,-,600,0
,504014310,"Administration And
Support Services","1,573,720,748",-,"268,601,952.50",-,17,-,600,0
,,Grand Total,"1,603,720,748","240,000,000","268,601,952.50",-,17,-,600,0
Agriculture Livestock and Fisheries,,,,,,,,,600,0
,118034310,"SP Post-harvest
Management Ser-
vices","225,523,285",-,"40,250,000",-,18,-,600,0
,,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,601,0
,304014310,"Promoting Agri-
business invest-
ments by value addi-
tion Processing",-,"333,515,152",-,-,-,-,601,0
,707014310,"Ward Development
Services",-,"9,000,000",-,-,-,-,601,0
,,Grand Total,"225,523,285","342,515,152","40,250,000",-,18,-,601,0
"Trade, Co-operatives, Tourism, Wildlife",,,,,,,,,601,0
,110014310,"SP1.1 Administra-
tive support services","68,539,837",-,"6,914,160",-,10,-,601,0
,301014310,"Ultra-modern
Wholesale market
with cold storage
go-down",-,"25,000,000",-,-,-,-,601,0
,311014310,"Tourism Promotion
and Marketing",-,"40,000,000",-,-,-,-,601,0
,707014310,"Ward Development
Services",-,"63,179,000",-,-,-,-,601,0
,,Grand Total,"68,539,837","128,179,000","6,914,160",-,10,-,601,0
"Education, Social, Cultural, Youths and Sports",,,,,,,,,601,0
,202044310,"Administrative and
Support Services","626,806,634",-,"80,000,000",-,13,-,601,0
,510014310,"SP Vocational Train-
ing Services",-,"65,000,000",-,-,-,-,601,0
,707014310,"Ward Development
Services",-,"79,250,113",-,-,-,-,601,0
,,Grand Total,"626,806,634","144,250,113","80,000,000",-,13,-,601,0
County Public Service Board,,,,,,,,,601,0
,110014310,"SP1.1 Administra-
tive support services","63,645,936",-,"16,598,740",-,26,-,601,0
,,Grand Total,"63,645,936",-,"16,598,740",-,26,-,601,0
County Assembly,,,,,,,,,601,0
,0,"Default - Non Pro-
grammatic",-,-,"8,474,300",-,-,-,601,0
,706044310,"Administration And
Support Services","825,565,536","60,000,000","123,925,904",-,15,-,601,0
,,Grand Total,"825,565,536","60,000,000","132,400,204",-,16,-,601,0
Economic Planning,,,,,,,,,601,0
,702014310,"Budget and Eco-
nomic Affairs ser-
vices","64,085,896",-,"22,727,065",-,35,-,601,0
,702024310,"Central planning
and M&E services","51,000,000",-,"19,034,960",-,37,-,601,0
,,Grand Total,"115,085,896",-,"41,762,025",-,36,-,601,0
Administration and Devolution,,,,,,,,,601,0
,105014310,"Office Accommo-
dation",-,"110,379,850",-,-,-,-,601,0
,110014310,"SP1.1 Administra-
tive support services","132,308,210",-,"30,610,080",-,23,-,601,0
,709014310,"Kenya Devolution
Support","37,500,000",-,"1,045,636",-,3,-,601,0
,,Grand Total,"169,808,210","110,379,850","31,655,716",-,19,-,601,0
"Youth, Sports & Development",,,,,,,,,601,0
,504014310,"Administration And
Support Services","5,000,000",-,-,-,-,-,601,0
,513014310,"SP Youth Empower-
ment",-,"50,000,000",-,-,-,-,601,0
,,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,602,0
,513024310,"SP Youth Develop-
ment","196,065,220",-,"25,534,070",-,13,-,602,0
,707014310,"Ward Development
Services",-,"67,100,000",-,-,-,-,602,0
,,Grand Total,"201,065,220","117,100,000","25,534,070",-,13,-,602,0
Co-operatives and Enterprise Development,,,,,,,,,602,0
,305014310,"Standard weigh-
bridge","60,215,854",-,"4,064,200",-,7,-,602,0
,707014310,"Ward Development
Services",-,"16,500,000",-,-,-,-,602,0
,,Grand Total,"60,215,854","16,500,000","4,064,200",-,7,-,602,0
Livestock Development and Fisheries,,,,,,,,,602,0
,101034310,Breeding services,-,"90,000,000",-,-,-,-,602,0
,110014310,"SP1.1 Administra-
tive support services","48,148,410",-,"8,375,291.50",-,17,-,602,0
,707014310,"Ward Development
Services",-,"35,275,000",-,-,-,-,602,0
,,Grand Total,"48,148,410","125,275,000","8,375,291.50",-,17,-,602,0
Eldoret Municipality,,,,,,,,,602,0
,110014310,"SP1.1 Administra-
tive support services","110,510,093",-,"8,375,291.50",-,8,-,602,0
,123014310,"SP Urban Develop-
ment and Manage-
ment Services","58,278,617","50,000,000",-,,-,-,602,0
,514014310,Sports Facilities,-,"465,055,948",-,-,-,-,602,0
,,Grand Total,"168,788,710","515,055,948","8,375,291.50",-,5,-,602,0
Promotive and Preventive Health,,,,,,,,,602,0
