Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 30
September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index,Approved Estimates,"Actual Expenditure as of 30th
September 2024",Absorption Rate (%)
,,Recurrent,Development,Recurrent,Development,Rec,Dev,614,0,,,
1004004860,,"12,535,000","15,000,000","3,346,400",,27,-,614,0,,,
,"Environmental Protection
and Conservation","12,535,000","15,000,000","3,346,400",,27,-,614,0,,,
1005004860,,"4,910,000","11,500,000","140,000",,3,-,614,0,,,
,Farm Forest Management,"3,310,000","7,500,000","140,000",,4,-,614,0,,,
,"Natural Resources manage-
ment","1,600,000","4,000,000",-,,-,-,614,0,,,
,,,,,,,,614,0,,,
,GRAND TOTAL,"4,394,295,430","2,101,601,766","632,021,314","93,677,840",14,6,614,0,,,
,,,Development,,Development,,Development,621,0,Recurrent,Recurrent,Recurrent
Department: County Executive (Office of the Governor),,,,,,,,621,0,,,
"Coordination and
Supervisory Services","Coordination and
Supervisory Services",,-,,0,,-,621,0,"575,324,269.00","203,105,678.00",35
,Sub Total,,-,,0,,-,621,0,"575,324,269.00","203,105,678.00",35
Department: Finance and Economic Planning -,,,,,,,,621,0,,,
"Public Finance
Management","Budget Management
Services",,-,,0,,-,621,0,"27,245,804.00",-,
,"County Accounting
Services",,-,,0,,-,621,0,"332,198,186.26","24,611,900.00",7
,"County Revenue Col-
lection and Resource
Mobilization",,,,0,,-,621,0,"85,446,122.40",-,-
,"Internal Audit Man-
agement Services",,-,,0,,-,621,0,"27,112,731.29",-,-
,"County Supply Chain
Management",,-,,0,,-,621,0,"146,854,611.00",-,-
"Economic Planning
Services","County Integrated
Development Planning",,-,,0,,-,621,0,"58,392,238.83",-,-
,Sub-Total,,-,,0,,,621,0,"677,249,693.78","24,611,900.00",4
"Department: Agriculture, Livestock and Veterinary Services",,,,,,,,621,0,,,
"Livestock manage-
ment Services","Livestock Production
Services",,"6,000,000.00",,0,,-,621,0,"57,860,033.80",0,
,Veterinary Services,,"4,500,000.00",,0,,-,621,0,"76,965,680.30","156,780.00",0
"Food Production
Services","Food Production
Services",,"422,906,842.08",,0,,-,621,0,"60,443,017.19","1,189,008.00",2
"Irrigation Manage-
ment Services","Irrigation Manage-
ment Services",,"31,129,900.00",,,,-,621,0,"15,648,703.40","654,900.00",4
"Alternative Liveli-
hood management","Alternative Livelihood
management",,,,0,,-,621,0,"39,213,323.00",0,0
,Sub-Total,,"464,536,742.08",,-,,-,621,0,"250,130,757.69","2,000,688.00",1
Department: Health Services,,,,,,,,621,0,,,
"Curative, rehabilita-
tive and Emergency
services","Curative and rehabili-
tative services",,"694,399,598.82",,"100,704,815.65",,15,621,0,"930,358,692.20",0,0
,"Emergency Referral
Services",,,,0,,-,621,0,"39,978,510.00",0,
"General Adminis-
tration and Support
Services","General Adminis-
tration and Support
Services",,-,,0,,-,621,0,"1,811,896,358.40","670,684,982.20",37
Public Health,"Reproductive Mater-
nal Neonatal Child
Health",,"2,000,000.00",,0,,-,621,0,"27,543,891.50",0,0
,Primary Health Care,,"102,331,030.00",,0,,-,621,0,"164,081,540.00",0,0
,Special Programme,,,,0,,--,621,0,"7,000,000.00",0,
,Health Research,,,,0,,,621,0,"2,636,000.00",0,
,Sub-Total,,"798,730,628.82",,"100,704,815.65",,13,621,0,"2,983,494,992.10","670,649,428.20",22
597,,,,,,,,621,0,,,
,,,Development,,Development,,Development,622,0,Recurrent,Recurrent,Recurrent
"Department: Roads, Transport, Public Works and Housing",,,,,,,,622,0,,,
"County Roads and
Transport manage-
ment","Construction of
County Roads",,"109,320,000.00",,"108,336,807.35",,99,622,0,"1,400,000.00",0,
,"maintenance and Re-
habilitation of county
roads",,"437,517,318.00",,0,,-,622,0,"137,150,000.04","38,841,976.50",28
,"county Transport
Services",,,,0,,,622,0,"87,100,000.00",0,
,Total,,"546,837,318.00",,"108,336,807.35",,20,622,0,"225,650,000.04","38,841,976.50",17
Department: Water Services,,,,,,,,622,0,,,
Water Services,"Water Supplies Over-
haul and Maintenance
Services",,"979,688,641.00",,-,,-,622,0,"158,631,266.00","2,988,966.00",2
,"General Adminis-
tration, Planning and
Support Services",,-,,-,,-,622,0,"111,360,483.92",-,
,"Infrastructure devel-
opment services",,"293,582,180.00",,-,,-,622,0,"8,814,250.00","1,000,567.00",11
,Total,,"1,273,270,821.00",,-,,-,622,0,"278,805,999.92","3,989,533.00",1
