Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as
of 31 December, 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,85,0
"Agriculture, Livestock, Fisheries and Co-Operative Development",,,,,,,,85,0
"Programme 1: General Administration,
Planning and Support Services",,366.28,-,197.53,-,54,-,85,0
,"S. P 1.1 Human Resource Man-
agement and Development",344.66,-,181.47,-,53,-,85,0
,"SP 1.2 Administrative and
Support Services",21.62,-,16.06,-,74,-,85,0
"Programme 2: Crop Development and
Management",,1.70,580.70,-,75.72,-,13,85,0
,"Crop Extension and Training
Services",1.20,-,-,,-,,85,0
,"Crop Production and Produc-
tivity (Food, Industrial and
Horticultural Crops)",-,326.00,-,61.75,-,19,85,0
,"Agricultural Value Addition
and Agro Processing",-,10.00,,2.10,,21,85,0
,Food Safety,0.50,-,-,-,-,-,85,0
,"Agribusiness, Marketing and
Information Management",-,6.00,-,-,-,-,85,0
,"National Agricultural Value
Chain Development Pro-
gramme (NAVCDP)/NARIGP",-,151.52,,8.00,,5,85,0
,"Co-funding NAVCD-
P&NARIGP",,5.00,,,,-,85,0
,Ward Based Projects,,82.18,,3.87,,5,85,0
"Programme 3: Irrigation and Drainage
Development and Management",,0.25,12.50,-,-,-,-,85,0
,"Household Irrigation Tech-
nologies",0.25,,,,-,,85,0
,"Agricultural Water Storage and
Management",,12.50,,,,-,85,0
"Programme 4: Livestock Development and
Management",,10.50,57.14,0.71,15.55,7,27,85,0
,,Rec,Dev,Rec,Dev,Rec,Dev,86,0
,"Livestock and Veterinary Ex-
tension and Training Services",3.00,,0.71,,24,,86,0
,"Food Safety and Quality
Control",7.50,4.34,,,-,-,86,0
,Pending Bill,,6.35,,,,-,86,0
,Disease and Vector Control,,5.00,,,,-,86,0
,Animal Breeding,,3.50,,,,-,86,0
,"Kenya Livestock Commercial-
ization Project (KeLCoP)",,37.95,,15.55,,41,86,0
"Programme 5: Fisheries Development and
Management",,0.35,4.70,-,-,-,-,86,0
,"Fisheries Extension and Train-
ing Services",0.35,,,,-,,86,0
,"Fisheries Production and
Productivity",,4.70,,,,-,86,0
"Programme 6: Agricultural Institutions
Development and Management",,-,14.91,,,,-,86,0
,"Development and Manage-
ment of Mabanga Agricultural
Training Centre (ATC)",,3.62,,,,-,86,0
,"Development and Manage-
ment of Mabanga Agricultural
Mechanization Centre (AMC)",,3.29,,,,-,86,0
,"Development and Manage-
ment of Chwele Fish Farm
(CFF)",,8.00,,,,-,86,0
"Programme 7: Cooperatives Development
and Management",,4.50,7.83,4.38,-,97,-,86,0
,"Cooperative Governance, Ad-
visory and Training Services",4.50,,4.38,,97,,86,0
,Pending bills,,3.83,,,,-,86,0
,"Cooperative Infrastructural/
Financial Support Services",,4.00,,,,-,86,0
Sub Total,,383.58,677.77,202.62,91.27,53,14,86,0
Public Administration,,,,,,,,86,0
"Programme 1: General Administration,
Planning and Support Services",,570.28,-,303.96,-,53,,86,0
,SP 1: Administration Services,70.03,-,11.68,-,17,,86,0
,"SP 2: Human Resource Man-
agement and Development",223.07,-,222.31,-,100,,86,0
