Programme,Sub-Programme,"Gross Approved Esti-
mates (Kshs.Million)",col_3,"Actual Expenditure as
of 31 December 2024
(Kshs.Million)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,183,1
County Assembly,,,,,,,,183,1
"Legislative
service",Legislative service,556.24,0.00,227.87,0.00,41,∞,183,1
,Sub Total,556.24,0.00,227.87,0.00,41,∞,183,1
"Infrastructure
support",Infrastructure support,0.00,70.00,0.00,40.00,∞,57,183,1
,Sub-Total,0.00,70.00,0.00,40.00,∞,57,183,1
Grand Total,,556.24,70.00,227.87,40.00,41,57,183,1
OFFICE OF THE GOVERNOR,,,,,,,,183,1
"County Gov-
ernance and
Coordination
Affairs",County Governance,76.08,,10.91,,14,∞,183,1
,"General Administration Planning
& Support Services",232.57,,107.04,,46,∞,183,1
,Sub-Total,308.65,-,117.96,,38,∞,183,1
"Human Re-
sources Mgt &
Deployment","General Administration Planning
& Support Services",30.54,,15.19,,50,∞,183,1
,"Human Resource Planning &
Development",8.65,,1.75,,20,∞,183,1
,Board Operation & Management,10.26,,0.13,,1,∞,183,1
,Board Operation & Management,5.10,,0.00,,-,∞,183,1
,Sub-Total,54.54,,17.07,,31,∞,183,1
"Prudent use
of Financial
Resources","General Administration Planning
& Support Services",0.00,,0.00,,∞,∞,183,1
,"Efficiency Monitoring & Commu-
nity Engagement",18.85,,8.41,,45,∞,183,1
,Sub-Total,18.85,,8.41,,45,∞,183,1
,,Rec,Dev,Rec,Dev,Rec,Dev,184,0
"Legal & Legisla-
tive Services",Legal Services,32.48,,15.50,,48,∞,184,0
,Legislative Services,8.32,,2.50,,30,∞,184,0
,Sub Total,40.80,,18.00,,44,∞,184,0
"Management of
County Affairs",Personnel Services,0.00,-,-,-,-,∞,184,0
,"Partnerships Intergovernmental&
NGO Coordination",5.95,,0.42,,7,∞,184,0
,Sub-Total,5.95,-,0.42,,7,∞,184,0
,Total,428.80,-,161.85,-,38,∞,184,0
