Programme,Sub-Programme,"Approved Original Budget
Estimates FY 2024/25
(Kshs.Million)",col_3,"Actual Expenditure
Jul 24 - Dec 24 (Kshs.
Million)",col_5,Absorption Rate %,col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,222,1
County Coordination Services,"County Coordination
Services",149.28,-,49.08,-,33,,222,1
,,149.28,-,49.08,-,33,,222,1
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,,,222,1
,,Rec,Dev,Rec,Dev,Rec,Dev,223,0
"Administration, Planning and
Support Services.","Administration Ser-
vices.",267.87,-,69.04,-,26,-,223,0
"Administration, Planning and
Support Services.","Monitoring Budget
Implementation and
Reporting",33.20,33.98,10.82,-,33,-,223,0
Public Finance Management,"Budget Formulation
coordination and
management",16.75,200.00,4.43,49.98,26,25,223,0
Audit Services,County Audit,6.35,-,3.17,-,50,,223,0
,,324.17,233.98,87.46,49.98,27,21,223,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,223,0
"Policy, Strategy and Manage-
ment of Agriculture","Development of
Agricultural Policy,
Legal & Regulatory
framework.",50.30,-,24.63,-,49,,223,0
"Crop Development and Man-
agement","Agriculture Extension
Services",60.71,333.85,17.22,24.43,28,7,223,0
"Livestock Resource Manage-
ment and Development","Livestock Disease
Management and
Control.",-,76.77,-,12.90,,17,223,0
"Livestock Resource Manage-
ment and Development","Livestock Produc-
tion and Extension
Services",37.92,-,12.29,-,32,0,223,0
Fisheries development,"Management and De-
velopment of Capture
Fisheries",7.40,5.65,0.50,-,7,-,223,0
"Cooperative development and
management","Cooperative Advisory
& Extension Services.",11.71,31.28,0.45,3.07,4,0,223,0
,,168.04,447.54,55.08,40.40,33,9,223,0
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,,,,223,0
"Environment policy develop-
ment and coordination","Planning Coordination
Policy and Adminis-
trative Services",147.74,25.00,61.23,-,41,-,223,0
Water supply services,Rural Water Supply,13.26,477.33,-,181.75,-,38,223,0
,,160.99,502.33,61.23,181.75,38,36,223,0
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,,,223,0
"General Administration &
Planning Services.","Policy Development
and Administration",557.68,21.42,194.69,4.94,35,23,223,0
Basic Education,"Early Childhood De-
velopment Education",197.39,101.24,0.95,18.13,-,18,223,0
"Gender and Social Develop-
ment","Social Welfare
Services/Social Infra-
structure Development",3.10,13.00,1.07,-,35,-,223,0
"Youth development and em-
powerment services","Youth Development
(YP) Training",-,66.00,-,5.05,0,8,223,0
,,758.17,201.66,196.71,28.12,26,14,223,0
DEPARTMENT: HEALTH SERVICES,,,,,,,,223,0
Curative Health,"Administration and
Planning","1,556.59",137.74,507.46,50.99,33,37,223,0
Curative Health,"Hospital(curative)
Services",-,-,-,-,,,223,0
"Preventive and Promotive
Health","Preventive Medicine
and Promotive Health","1,322.51",109.90,178.81,49.70,14,45,223,0
,,Rec,Dev,Rec,Dev,Rec,Dev,224,0
,,"2,879.10",247.64,686.27,100.68,24,41,224,0
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,,,,224,0
"Administration and support
services","General Administra-
tion and Planning",86.48,110.55,21.45,11.50,25,10,224,0
"Housing Development and
Human Resource",Housing Development,9.88,23.11,4.54,7.38,46,32,224,0
Land policy and planning,"Development Planning
and Land Reforms",27.15,17.00,10.50,4.97,39,29,224,0
Land policy and planning,Land Use Planning,5.65,39.86,2.83,2.99,50,7,224,0
,,129.16,190.51,39.31,26.85,30,14,224,0
"DEPARTMENT: PUBLIC WORKS, ROADS AND TRANSPORT",,,,,,,,224,0
"Transport Management and
Safety","General Adminis-
tration Planning and
Support Services",85.21,-,29.65,-,35,0,224,0
"Infrastructure, Roads and
Transport",Rehabilitation of Road,3.40,717.16,1.60,188.11,47,26,224,0
"Infrastructure, Roads and
Transport","Maintenance of Roads
and Bridges/Periodic
Maintenance",6.20,38.00,1.54,-,25,-,224,0
,,94.81,755.16,32.79,188.11,35,25,224,0
"DEPARTMENT: TRADE, INDUSTRIALISATION, TOURISM, WILDLIFE AND COOPERATIVE MANAGEMENT",,,,,,,,224,0
"Trade development and
investment","Fairtrade Practices and
Consumer Protection
(weight & measures)",19.16,353.86,6.95,13.70,36,4,224,0
"Trade development and
investment","Administrative and
Support Services.",37.73,2.00,12.25,-,32,-,224,0
"Tourism development and
marketing","Local Tourism Devel-
opment.",6.77,9.00,1.57,-,23,,224,0
,,63.66,364.86,20.77,13.70,33,4,224,0
DEPARTMENT: ICT AND E-GOVERNMENT,,,,,,,,224,0
"Information & Communica-
tion Service","News and Information
Services",71.13,-,21.27,-,30,-,224,0
"Information & Communica-
tion Service","ICT and BPO devel-
opment services",-,40.00,-,8.06,-,20,224,0
"Youth development and em-
powerment services","Youth Development
(YP) Training",-,-,-,-,-,0,224,0
,,71.13,40.00,21.27,8.06,30,20,224,0
DEPARTMENT: COUNTY PUBLIC SERVICE BOARD,,,,,,,,224,0
"Administration of Human
Resources and Public Service","Establishment, Ap-
pointment, Discipline
and Board Manage-
ment.",82.74,-,23.52,-,28,-,224,0
,,82.74,-,23.52,-,28,0,224,0
