Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,235,1
COUNTY ASSEMBLY OF KIAMBU,,,,,,,,235,1
"Legislation and
oversight","Legislation and
oversight","688,434,245",-,"223,036,025",-,3,2 0,235,1
,Sub Total,"688,434,245",-,"223,036,025",-,3,2 0,235,1
"General
Administra-
tion Planning
and Support
Services","General Adminis-
tration Planning and
Support Services","524,310,941","110,000,000","150,321,478",-,2,9 0,235,1
,Sub-Total,"524,310,941","110,000,000","150,321,478",-,2,9 0,235,1
"Representation
services","Representation
services","144,671,000",-,"40,297,442",-,2,8 0,235,1
,,Rec,Dev,Rec,Dev,Rec,Dev,236,0
,Sub-Total,"144,671,000",-,"40,297,442",-,28,0,236,0
Grand Total,,"1,357,416,186","110,000,000","413,654,945",-,30,0,236,0
KIAMBU COUNTY EXECUTIVE,,,,,,,,236,0
"Leadership &
Coordination of
County Admin
& Departments","General Adminis-
tration and Support
Services","411,430,000",-,"128,875,723",-,31,0,236,0
,"Public awareness
and Institutional
Strengthening","24,070,000",-,"1,593,569",-,7,0,236,0
,Legal services,"49,500,000",-,"7,617,845",-,15,0,236,0
,,"485,000,000",-,"138,087,137",-,28,0,236,0
KIAMBU COUNTY PUBLIC SERVICE BOARD,,,,,,,,236,0
"Leadership and
Administra-
tion of Human
Resources and
Development in
County Public
Service","Human Resource
development and
management services","90,090,971",-,"24,719,377",-,27,-,236,0
TOTAL,,"90,090,971",-,"24,719,377",-,27,-,236,0
DEPARTMENT: FINANCE & ECONOMIC PLANNING,,,,,,,,236,0
"Public Finance
Management
and Econom-
ic Policy &
Strategy",Budget,"14,955,200",-,"2,554,536",-,17,-,236,0
,Revenue,"393,500,000","5,000,000","56,527,655",-,14,-,236,0
,Accounting,"62,500,000",-,"21,231,430",-,34,-,236,0
,Internal Audit,"10,387,800",-,"1,437,257",-,14,-,236,0
,Economic Planning,"11,157,000",,"1,265,736",,11,-,236,0
"General
Administration
and support
services","General Adminis-
tration and support
services","1,000,616,154","5,000,000","326,685,870",,33,-,236,0
ICT Services,ICT services,"15,000,000","261,000,000","7,300,000",-,49,-,236,0
Totals,,"1,508,116,154","271,000,000","417,002,484",-,28,-,236,0
"KIAMBU COUNTY WATER, ENVIRONMENT, ENERGY & NATURAL RESOURCES",,,,,,,,236,0
"Water and
environment
administration","Administration,
Planning & Support
Services","500,725,926",-,"177,826,222",-,-,-,236,0
Water,"Water Resource
Management and
Sanitation",-,"174,252,369",-,"64,485,176",-,37,236,0
"Natural Re-
sources","Natural Resources,
Forest Conservation
and Management",-,"10,000,000",-,-,-,-,236,0
Environment,"Environment and
Solid Waste Manage-
ment",-,"44,883,260",-,"9,438,390",-,21,236,0
"Renewable
Energy and Cli-
mate Change","Climate Change
Mitigation &Adap-
tation",-,"372,754,777",-,"1,598,980",-,-,236,0
TOTAL,,"500,725,926","601,890,406","177,826,222","75,522,546",36,13,236,0
KIAMBU COUNTY HEALTH SERVICES,,,,,,,,236,0
Health Services,Curative,"1,200,000,000","715,461,755","313,446,295","279,724,696",26,39,236,0
Health Services,"Preventive and
Promotive","959,107,042",-,"61,080,237",-,6,-,236,0
Health Services,Pharmaceuticals,"120,000,000",-,-,-,-,-,236,0
,,,,,,,202,236,0
,,Rec,Dev,Rec,Dev,Rec,Dev,237,0
Health Services,"Administration and
Support","4,760,698,635",-,"2,224,723,090",-,47,-,237,0
TOTAL,,"7,039,805,677","715,461,755","2,599,249,622","279,724,696",37,39,237,0
"KIAMBU COUNTY ROADS, TRANSPORT, PUBLIC WORKS & UTILITIES",,,,,,,,237,0
"Maintenance of
Roads, Bridges,
Transport, Con-
struction and
Maintenance","General administra-
tion and support","771,101,086",-,"236,772,225",-,31,-,237,0
,services,,,,,,,237,0
,"Construction of road
and civil works",-,"1,724,148,357",-,"279,642,420",-,16,237,0
TOTALs,,"771,101,086","1,724,148,357","236,772,225","279,642,420",31,16,237,0
DEPARTMENT: KIAMBU COUNTY ADMINISTRATION & PUBLIC SERVICE,,,,,,,,237,0
"Administraion
& Public
Service",,,,,,,0,237,0
"General
Administration
Planning and
Support services","General Adminis-
tration Planning and
Support services","924,882,896","35,000,000","335,299,045","1,352,180",36,4,237,0
,Sub Total,"924,882,896","35,000,000","335,299,045","1,352,180",36,4,237,0
"Administraion
& Public
Service",,,,,,,-,237,0
"Human
Resource
Management &
Development
Services","Human Resource
Management &
Development","54,500,000",-,"2,479,673",-,5,-,237,0
,Sub-Total,"54,500,000",-,"2,479,673",-,5,-,237,0
"Administraion
& Public
Service",,,,,,,-,237,0
Alcoholic Fund,"Alcoholic Drinks
Control & Rehabil-
itation","30,000,000","40,000,000",-,-,-,-,237,0
,Sub-Total,"30,000,000","40,000,000",-,-,-,-,237,0
Grand Total,,"1,009,382,896","75,000,000","337,778,718","1,352,180",33,2,237,0
"DEPARTMENT: KIAMBU COUNTY AGRICULTURE, LIVESTOCK AND COOPERATIVE DEVELOPMENT",,,,,,,,237,0
"Agriculture,
Livestock and
Cooperative
Development","General Administra-
tion, Planning and
Support Services","426,762,458",-,"168,670,269",-,40,-,237,0
,"Crop Development,
Irrigation and Mar-
keting Services","806,000","431,835,070",-,"59,262,850",-,14,237,0
,"Livestock and Fisher-
ies Management and
Development","46,308,780","276,383,074","326,585","14,029,882",1,5,237,0
