Programme,Sub-Programme,"Revised Gross Approved Esti-
mates (Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,248,1
Sports and Talent Development,,,,,,,,248,1
,"Sports and Talent Develop-
ment","72,371,184","910,555,888","10,365,210",-,14,,248,1
GRAND TOTAL,,"72,371,184","910,555,888","10,365,210",-,14,,248,1
Economic Planning,,,,,,,,248,1
,"Administration, Planning,
and Support Services","4,715,577","35,000,000","500,000",-,11,,248,1
,"Economic Planning and
Statistical Services","128,050,000",-,"10,097,111",-,8,,248,1
,"Public Investment Man-
agement","19,500,000",-,-,-,,,248,1
Resource MMobilisation,,,,,,,,248,1
,Resource MMobilisation,"317,697,153",-,"317,697,153","43,029,070",100,,248,1
Department of Water Sanitation and Natural Resources,,,,,,,,248,1
,"Administration, planning,
and support services","66,313,162",-,"18,730,847",-,28,,248,1
,,,,,,,,248,1
,Sub Total,"66,313,162",-,"18,730,847",-,28,,248,1
,,,,,,,,248,1
,"Environment Management
and Protection",-,"45,850,000",,"10,148,530.00",,22,248,1
,Sub-Total,-,"45,850,000",-,-,,,248,1
Grand Total,,"66,313,162","45,850,000","18,730,847",-,28,,248,1
Special Programmes,,,,,,,,248,1
,,Rec,Dev,Rec,Dev,Rec,Dev,249,0
,Special Programmes,"75,271,412",-,"982,759",-,1,,249,0
,Disaster Risk Management,-,"17,571,130",-,-,,,249,0
"GRAND TO-
TAL",,"75,271,412","17,571,130","982,759",-,1,,249,0
Health and Medical Services,,,,,,,,249,0
"Non- commu-
nicable",Non-Communicable,-,-,-,-,,,249,0
,Sub Total,"3,210,484,541","824,640,981","2,147,589,117","127,577,059",67,15,249,0
Office of the Governor,,,,,,,,249,0
,Administrative services,"296,345,246",,"178,024,466",,60,,249,0
,"Governance and national
values","23,270,852",,"17,020,994",,73,,249,0
,Sub Total,"319,616,098",,"195,045,460",,61,,249,0
,Sub-Total,"319,616,098",,"195,045,460",,61,,249,0
Grand Total,,"319,616,098",,"195,045,460",,61,,249,0
County Public Service Board,,,,,,,,249,0
,"Administration, Planning,
and Support Services","80,003,904",0,"19,064,863",0,24,,249,0
,Recruitment and Selection,"35,926,956",0,-,0,,,249,0
Grand Total,,"115,930,860",-,"19,064,863",-,16,,249,0
"County Attor-
ney",,"36,852,488","6,683,862",,,-,-,249,0
,"Administration Planning
and Support Services","2,090,375",,"6,570,490",,314,,249,0
,"Legal Advisory and Legisla-
tive Drafting","38,942,863","6,683,862",,,-,-,249,0
,Sub-Total,,,"6,570,490",-,,,249,0
Blue Economy,,,,,,,,249,0
,Sub-programme,"19,011,800","51,435,949","2,895,719","28,877,910",15,56,249,0
,,,,,,,,249,0
,Sub Total,"19,011,800","51,435,949","2,895,719","28,877,910",15,56,249,0
,,,,,,,,249,0
,Sub-programme,"19,800,738","51,435,949","5,029,865","19,554,802",25,38,249,0
,,,,,,,,249,0
,Sub-Total,"19,800,738","51,435,949","5,029,865","19,554,802",25,38,249,0
,,"38,812,538","102,871,898","7,925,584","48,432,712",20,47,249,0
Department of Water Sanitation and Natural Resources,,,,,,,,249,0
,"Administration, planning,
and support services","137,862,916",-,"79,599,111",-,58,,249,0
,Sub Total,"137,862,916",-,"79,599,111",-,58,,249,0
"Water Resourc-
es Management","Water resources manage-
ment",-,"2,727,855,192",,"849,156,148",,31,249,0
,Sub-Total,-,"2,727,855,192",-,"849,156,148",,31,249,0
Grand Total,,"137,862,916","2,727,855,192","79,599,111","849,156,148",58,31,249,0
Department of Tourism,,,,,,,,249,0
,"Sub-Programme 1.1:
Tourism promotion and
marketing","50,856,734","40,102,989","3,204,861","19,459,254",6,49,249,0
,Sub Total,"50,856,734","40,102,989","3,204,861","19,459,254",6,49,249,0
Department OF Roads,,,,,,,,249,0
215,,,,,,,,249,0
