Programme,Sub-Programme,"Approved Estimates
(Kshs.Million)",col_3,"Actual Expenditure as of
31 December 2024 (Kshs.
Millions)",col_5,"Absorption Rate
()",col_7,col_8,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,,Dev,304,0
3711-Kitui - Office of The Governor,,,,,,,,,304,0
"General Administration Plan-
ning and Support Services",0701013710 P1,934.57,955.57,391.40,37.01,42,,4,304,0
enforcement unit,0703023710 SP2,14.77,,,,0,,0,304,0
"Human Resource Management
Unit",070333710 SP 2.2,17.72,,17.38,,98,,0,304,0
Special Programmes,0703043710 sp 2.3,8.87,,,,0,,0,304,0
records management,0703053710 Sp 2.4,12.12,,,,0,,0,304,0
"Policy Development and Coor-
dination",0703053710 sp2.5,5.60,,,,0,,0,304,0
"legal and head of public Services
Administration(Office of the
County Secretary)",0717033710 P3,19.44,,19.31,,99,,0,304,0
Public Communication,0717013710 SP4.1,7.02,,,,0,,0,304,0
"Public Relations and Customer
Care",0701023710 SP4.2,3.21,,,,0,,0,304,0
"SEKEB and Intergovernmental
Relations",0701033710 SP.3,43.26,,,,0,,0,304,0
Monitoring and evaluation,0707013710 SP4.4,6.88,,,,0,,0,304,0
Protocoal Unit,0707013710 SP 4.5,4.98,,,,0,,0,304,0
Office of the Attorney,0717033710 P5,39.01,,,,0,,0,304,0
Office of the County Attorney,0717033710 P5,166.05,,165.51,,100,,0,304,0
"County Government Adminis-
tration and Field Services",0705013710 SP7.1,68.30,132.85,88.01,,129,,0,304,0
Devolution Services,0705013710 SP7.2,17.60,,,,0,,0,304,0
Cabient affairs,0709001710 SP.3,15.02,,,,0,,0,304,0
TOTAL,,"1,384.41","1,088.43",681.61,37.01,49,,3,304,0
Ministry of Health and Sanitation,,,,,,0,,0,304,0
"General administration, Plan-
ning and Support Services",040113710 P1,991.62,15.00,,,0,,0,304,0
"Health Standards, Quality Assu-
arance and standards",0401033710 SP 1.2,3.00,,,,0,,0,304,0
"Health policy, Planning and
Financing",0402023710 SP 1.3,101.51,255.53,,,0,,0,304,0
county Referral Services,0402013710 SP 2.1,1.37,,,,0,,0,304,0
"Hospital FIF /cost sharing Re-
funds for 11 County Hospitals",0403033710 SP 2.2,405.59,10.36,,,0,,0,304,0
"preventive and Promotive
Health Services",0403013710 SP 3.1,"1,065.10",45.36,"1,096.00",12.55,103,,28,304,0
Primary Care networks,0404013710 SP 3.2,2.00,3.56,,,0,,0,304,0
"Immunisation and Disease
Surveillance",0404033710 SP 3.3,3.24,,,,0,,0,304,0
"Health Promotion sub-pro-
gramme (HIV/AIDS and TB
sub-programme",0403033710 SP 3.3,2.66,,,,0,,0,304,0
"communicable diseases
Control(public Health Opera-
tions-Programme)",0403013710 SP 3.4,4.04,,,,0,,0,304,0
"Non Communicable Diseases
prevention and control",0403023710 SP 3.5,1.68,,,,0,,0,304,0
,,,,,,,270,,304,0
,,Rec,Dev,Rec,Dev,Rec,Dev,,305,0
Health and promotion,0404013710 SP 3.6,2.30,,,,0,0,,305,0
"Specialised Services and Re-
habilitative Services sub-pro-
gramme",0404023710 SP 3.7,3.63,,,,0,0,,305,0
Curative Health Services,040201310 P4,"1,234.91",96.00,542.49,,44,0,,305,0
,,"3,822.66",425.80,"1,638.49",12.55,43,3,,305,0
County Public Service Board,,,,,,0,0,,305,0
"General administration, Plan-
ning and Support Services",0701013710 p1,43.75,14.73,17.54,5.71,40,39,,305,0
"human resource management &
development",0713013710 SP2.1,9.43,,16.47,,175,0,,305,0
