Program,"Sub Pro-
gram",Description,Approved Estimates (Kshs.),col_4,"Actual Expenditure
(Kshs.)",col_6,"Absorption Rate
(%)",col_8,page_number,table_index
,,,Rec,Dev,Rec,Dev,Rec,Dev,348,0
COUNTY ASSEMBLY,,,,,,,,,348,0
"General Administra-
tion and Planning",,"Administration
Services","256,470,278",-,"82,313,395",,32,0,348,0
"Legislation. Represen-
tation and Oversight",,,"251,002,311","104,500,000","83,340,205",,33,0,348,0
,,Sub Total,"507,472,589","104,500,000","165,653,600",,33,0,348,0
COUNTY EXECUTIVE,,,,,,,,,348,0
703003212,703013210,"Administration
Services","147,081,596","65,796,810","58,543,559","3,107,638",40,5,348,0
,,Sub Total,"147,081,596","65,796,810","58,543,559","3,107,638",40,5,348,0
FINANCE,,,,,,,,,348,0
711003213,711013210,"Administration
Services","1,798,279,880",-,"723,328,016",-,40,0,348,0
712003213,712043210,Procurement,"1,250,000",-,"113,040",-,9,0,348,0
,712023210,"Resource mobili-
sation","11,062,250","5,000,000","111,200",-,1,0,348,0
,712053210,"Public Finance &
Accounting","1,505,493","5,000,000","98,650",-,7,0,348,0
,712033210,Internal Audit,"998,000",-,"87,200",-,9,0,348,0
,,Sub Total,"1,813,095,623","10,000,000","723,738,106",-,40,0,348,0
AGRICULTURE AND PLANNING,,,,,,,,,348,0
116003214,116013210,"Agricultural Ex-
tension Research &
Training","9,450,000",-,"452,330",-,5,0,348,0
,116053210,"Training & Ac-
commodation",-,"5,000,000",-,-,0,0,348,0
,116023210,"Promotion of
Mechanised Agri-
culture",-,"25,000,000",-,-,0,0,348,0
,116083210,"Provision of Relief
seeds to vulnerable
farmers",-,"45,000,000",-,-,0,0,348,0
,116033210,"Promotion of
Agro-Processing
& Value Addition
Technologies","4,350,000","188,995,842",-,-,0,0,348,0
117003214,117023210,Irrigated Farming,-,"10,000,000",-,"10,000,000",0,100,348,0
,,Sub Total,"13,800,000","273,995,842","452,330","10,000,000",3,4,348,0
,,,,,,,,,348,0
LANDS,,,,,,,,,348,0
101003215,101013210,"Administration
Services","4,000,000",-,"709,381",-,18,0,348,0
102003215,102023210,Physical planning,-,"67,532,644",-,-,0,0,348,0
103003215,103013210,"Housing & Urban
Development",-,"310,128,530",-,-,0,0,348,0
104003215,104013210,"Infrastructure
Development","15,000,000",-,"7,500,000",-,50,0,348,0
,,Sub Total,"19,000,000","377,661,174","8,209,381",-,43,0,348,0
EDUCATION,,,,,,,,,348,0
501003216,501013210,"Administration
Services","20,000,000",-,"5,810,506",-,29,0,348,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,349,0
502003216,502013210,"Promotion of
Early Childhood
Education",-,"32,550,000",-,"1,916,347",0,6,349,0
,502023210,Bursaries,"80,000,000",-,"79,422,308",-,99,0,349,0
503003216,503013210,"Village Polytech-
nics",-,"31,000,000",-,-,0,0,349,0
,503043210,Youth and Sports,-,"20,100,000",-,-,0,0,349,0
,503023210,"Development of
Sports facilities",-,"5,000,000",-,-,0,0,349,0
504003216,504023210,"Woman Empow-
erment",-,"8,600,000",-,-,0,0,349,0
,504013210,"Social Develop-
ment",-,"29,865,461",-,-,0,0,349,0
,,Sub Total,"100,000,000","127,115,461","85,232,814","1,916,347",85,2,349,0
MEDICAL SERVICES,,,,,,,,,349,0
,401013210,"Human Resource
& Development","18,950,000",-,"6,121,399",-,32,0,349,0
402003217,402043210,"SP4 curative
Services","197,600,000","52,807,386","6,689,773",-,3,0,349,0
,402013210,"Primary Health
Care Services",-,"1,160,000",-,-,0,0,349,0
,402023210,Hospital Services,-,"22,262,140",-,"3,405,162",0,15,349,0
403003217,403043210,"SP4 Preventive and
Promotive Services","8,400,000","125,800,000","4,725,184",-,56,0,349,0
,,Sub Total,"224,950,000","202,029,526","17,536,356","3,405,162",8,2,349,0
TRADE AND CULTURE,,,,,,,,,349,0
301003218,301013210,"Administration
Services","5,980,139",-,"2,682,200",-,45,0,349,0
302003218,302023210,"Promotion &
Marketing",-,"2,500,000",-,-,0,0,349,0
303003218,303033210,"Market develop-
ment",-,"18,654,517",-,-,0,0,349,0
304003218,304013210,Cultural Festival,"25,000,000",-,"3,405,650",-,14,0,349,0
,305023210,SME Development,-,"15,985,117",-,-,0,0,349,0
,,Sub Total,"30,980,139","37,139,634","6,087,850",-,20,0,349,0
ICT,,,,,,,,,349,0
101003219,101013210,"Administration
Services","3,320,000",-,"1,477,853",-,45,0,349,0
,202023210,"Communication &
Citizen Partici-
pation","1,500,000",-,-,-,0,0,349,0
203003219,203013210,"Networking Infra-
structure","6,500,000","24,487,461",-,-,0,0,349,0
,,Sub Total,"11,320,000","24,487,461","1,477,853",-,13,0,349,0
FISHERIES AND LIVESTOCK,,,,,,,,,349,0
106003220,106013210,"Administration,
Planning and
Monitoring &
Evaluation","7,070,450",-,"727,200",-,10,0,349,0
109003220,109013210,Fish farming,-,"23,000,000",-,-,0,0,349,0
111003220,111013210,"Livestock Exten-
sion Services",-,"1,000,000",-,-,0,0,349,0
112003220,112013210,"Veterinary Service
Management",-,"26,000,000",-,"20,000,000",0,77,349,0
,,Sub Total,"7,070,450","50,000,000","727,200","20,000,000",10,40,349,0
PUBLIC SERVICE BOARD,,,,,,,,,349,0
