‘,Sub-Programme,"Revised Gross
Approved Esti-
mates (Kshs.)",col_3,"Actual Expendi-
ture (Kshs.)",col_5,"Absorp-
tion Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,403,1
County Assembly,,,,,,,,403,1
"General Admin-
istration Support
Services","SP 1.1 Salaries and al-
lowances for employees
and M.C.As","282,161,000",-,"108,056,303",-,38,-,403,1
,"SP 1.2 Employer Con-
tribution to Pension","11,050,000",-,"4,622,160",-,42,-,403,1
,"SP 1.2 Hospitality,
Catering services, dona-
tions and gifts, boards,
committees, confer-
ences and seminars","46,460,000",-,"13,226,750",-,29,-,403,1
,"SP 1.3 Domestic
payables from previous
financial years","910,432","424,542,968",-,"152,106,673",-,36,403,1
"Legislature and
Oversight","SP 2.1 Domestic and
foreign accommoda-
tion, air travel and daily
subsistence allowance","155,900,000",-,"62,155,165",-,40,-,403,1
,"SP 2.2 ICT, Hansard
and Communication
Equipment","6,500,000",-,"2,383,364",-,37,-,403,1
,"SP 2.3 Mortgage & Car
Loans and Tax",-,-,-,-,-,-,403,1
,"SP 2.4 Staff Training
and Development and
Tuitions","29,557,263",-,"5,120,560",-,17,-,403,1
,"SP 3.12 Maintenance of
motor vehicle","6,000,000",-,"2,821,196",-,47,-,403,1
"County Assembly
Infrastructure
improvement","SP 3.13 Purchase of
furniture and general
equipment","1,500,000",-,-,-,-,-,403,1
,"SP 3.14 Construction
of County Assembly
Headquarters and mod-
ern chambers, Con-
struction of speakers’
residence, construction
and equipping of ward
offices",-,"182,900,000",-,"7,250,000",-,4,403,1
,,Rec,Dev,Rec,Dev,Rec,Dev,404,0
,"SP 3.15 Improvement of
ICT services","3,016,760",-,"928,050",-,31,-,404,0
,"SP 3.16 Maintenance
of plants, machinery &
other assets","6,000,000",-,"350,000",-,6,-,404,0
,"SP 3.17 Electricity,
water and sewerage and
other utility charges","7,814,764",-,"2,854,000",-,37,-,404,0
,"SP 3.18 Printing,
advertisement and
information supplies
and services","18,821,371",-,"13,516,640",-,72,-,404,0
,"SP 3.19 Rental of ap-
proved assets and hire
of motor vehicles","2,900,000",-,"580,000",-,20,-,404,0
,"SP 3.20 Insurance cost
for group personal,
building, motor vehicle
and medical cover","39,769,950",-,"1,712,859",-,4,-,404,0
,"SP 3.21 Purchase of
computers, printers,
general office supplies
and accessories and
sanitary cleaning
materials","32,138,568",-,"20,306,781",-,63,-,404,0
,"SP 3.22 Fuel, oil, lubri-
cants and tyres","7,000,000",-,"1,502,000",-,22,-,404,0
,"SP 3.23 Bank service
commission and
charges, legal fees,
management fees,
contracted profession-
al charges and other
operating expenses","17,610,000",-,-,-,-,-,404,0
,"SP 3.24 Current trans-
fers to other levels of
Government","46,860,000",-,"6,044,093",-,13,-,404,0
,"SP 3.25 Uniform, Spe-
cialised materials and
supplies","4,000,000",-,"1,801,016",-,45,-,404,0
,"-SP 3.26 Membership
fees and dues and sub-
scription for interna-
tional organisation","5,500,000",-,"2,750,000",-,50,-,404,0
,"SP 3.28 Refurbishment
of buildings","3,000,000",-,-,-,-,-,404,0
,"SP 3.29 Gratuity/pen-
sion","15,867,735",-,"7,535,401",-,48,-,404,0
,"SP 3.30 Purchase of
motor vehicle","15,000,000",-,-,-,-,-,404,0
,"SP 3.29 Gratuity/pen-
sion",,,,,-,-,404,0
,"SP 3.30 Purchase of
motor vehicle",,,,,-,-,404,0
,Sub Total,"765,337,843","607,442,968","258,266,338","159,356,673",34,26,404,0
County Executive services,,,,,,,,404,0
"County Manage-
ment Services","Executive Infrastruc-
ture Development",-,"150,000,000",,"32,882,943",-,22,404,0
,"County Executive
services","501,795,216",-,"247,144,119",,49,-,404,0
,,Rec,Dev,Rec,Dev,Rec,Dev,405,0
"County Informa-
tion and Commu-
nication Service","Public Sector Advisory
services","30,000,000",-,"14,593,300",,49,-,405,0
,"County Information
and Communication
Services","29,500,000",-,"7,411,300",,25,-,405,0
"Inter-Governmen-
tal Relations","Inter/Intra Governmen-
tal Coordination","6,148,784",-,"3,000,000",,49,-,405,0
"County Legal
Services",County Legal Services,"5,000,000",,"2,056,000",,41,-,405,0
,Sub Total,"572,444,000","150,000,000","274,204,719","32,882,943",48,22,405,0
Finance & Economic Planning,,,,,,,,405,0
"General Admin-
istration Planning
and Support
Services",Financial Services,"267,714,124","700,000,000","158,303,347","423,226,997",59,61,405,0
,ICT Services,"7,000,000",-,"3,000,000",,43,-,405,0
ICT Infrastructure,capacity building,-,"37,500,000",,-,-,-,405,0
"Public Financial
Management","Budget formulation,
coordination & Man-
agement","10,000,000",,"3,455,000",,35,-,405,0
,Resource Mobilisation,"10,000,000",,"3,797,968",,38,-,405,0
,Internal audit services,"10,000,000",,"7,087,050",,71,-,405,0
,Supply chain services,"3,000,000",,"1,500,000",,50,-,405,0
,Accounting services,"19,748,034",,"10,132,400",,51,-,405,0
"Economic and
Financial Policy
Formulation","Fiscal Policy Formula-
tion and Management","5,000,000",,"2,137,500",,43,-,405,0
,Sub Total,"332,462,158","737,500,000","189,413,265","423,226,997",57,57,405,0
"Agriculture, Livestock & Fisheries",,,,,,,,405,0
"General Adminis-
tration, Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","129,463,100",-,"46,527,122",-,36,-,405,0
"Livestock Resourc-
es Management
and Development","Livestock Policy Devel-
opment and Capacity
Building","122,652,929",-,"69,502,127",-,57,-,405,0
,"SP3 Livestock Produc-
tion and Management",-,"23,300,000",-,-,-,-,405,0
,"Livestock Products
Value Addition and
Marketing",-,"41,250,000",-,"36,758,000",-,89,405,0
"Fisheries De-
velopment and
Management","Fisheries Policy,
Strategy and Capacity
Building","28,993,337","4,000,000","2,185,000",-,8,-,405,0
"Crop Development
and Management","Lands and Crop Devel-
opment",-,"900,000",-,-,-,-,405,0
,"Food Security Initia-
tives",-,"820,002,112",-,"221,154,184",-,27,405,0
,Sub Total,"281,109,366","889,452,112","118,214,249","257,912,184",42,29,405,0
"Energy, Lands & Urban Development",,,,,,,,405,0
"Urban Develop-
ment Services","Town Administration
Services","2,000,000","43,100,000","235,200",-,12,-,405,0
,,Rec,Dev,Rec,Dev,Rec,Dev,406,0
"Land and Physical
Planning Services","Solid Waste Manage-
ment",-,"14,500,000",-,"2,942,748",-,20,406,0
,"Administration and
Support services","133,892,052",-,"52,825,864",-,40,-,406,0
"Urban Develop-
ment Services","Land Mapping &Zon-
ing, Survey, adjudi-
cation and Physical
planning","21,000,000",-,"1,848,218",-,9,-,406,0
,"Administrative and
support services","15,707,948",-,"1,215,000",-,8,-,406,0
,"Solid Waste Manage-
ment","41,400,000",-,"14,750,298",-,36,-,406,0
,Towns Facelift,"5,000,000",-,-,-,-,-,406,0
,Sub Total,"219,000,000","57,600,000","70,874,580","2,942,748",32,5,406,0
County Health Services,,,,,,,,406,0
"Preventive and
Promotive Health
Services","Communicable disease
prevention and control",-,"3,000,000",-,-,-,-,406,0
"Curative Health
Services","Reduction of Commu-
nicable and Non-Com-
municable Diseases",-,"5,000,000",-,-,-,-,406,0
,Referral Services,"20,000,000","11,000,000","8,224,427",-,41,-,406,0
,Specialised Services,"20,000,000","43,988,500","18,747,656",-,94,-,406,0
,"Drugs and commod-
ities","160,000,000",-,"55,021,344",-,34,-,406,0
"General Adminis-
tration, Planning
and Support
Services","Health Infrastructure
development",-,"176,200,000",-,-,-,-,406,0
"Maternal and child
health","Health Planning and
Financing","1,638,074,916",-,"984,883,741",-,60,-,406,0
,"Integrated MCH
and Family planning
services","10,000,000",-,"4,544,830",-,45,-,406,0
,Sub Total,"1,848,074,916","239,188,500","1,071,421,998",-,58,-,406,0
"Administration, Coordination & ICT",,,,,,,,406,0
"General adminis-
tration planning
and Support
Services",Administration services,"337,200,000","1,000,000","135,138,650",-,40,-,406,0
,"Peacebuilding and
conflict resolution","10,000,000",-,"2,006,200",-,20,-,406,0
,"Disaster manage-
ment and emergency
response","200,000,000",-,"16,336,970",-,8,-,406,0
,ICT Services,-,"5,000,000",-,-,-,-,406,0
"Coordination
of functions of
devolved units","Coordination of
County Government
Departments","21,800,000",-,"9,563,680",-,44,-,406,0
"Public Partici-
pation and Civic
Education",Public participation,"6,000,000",-,"3,000,000",-,50,-,406,0
,Sub Total,"575,000,000","6,000,000","166,045,500",-,29,-,406,0
County Public Service Board,,,,,,,,406,0
"General adminis-
tration planning
and Support
Services",Administration services,"73,222,670",-,"44,638,906",-,61,-,406,0
,"Board Management
Service","27,007,330","15,000,000","3,644,115",-,14,-,406,0
,,Rec,Dev,Rec,Dev,Rec,Dev,407,0
"Human Resource
Management and
Development","Human Resource Man-
agement","6,270,000",-,"779,236",-,12,-,407,0
,"Establishment, Manage-
ment and Consultancy
Services","3,500,000",-,"499,000",-,14,-,407,0
,Sub Total,"110,000,000","15,000,000","49,561,257",-,45,-,407,0
Office of the County Attorney,,,,,,,,407,0
"Legislation and
Oversight services","Legislation and Over-
sight services","29,978,854",,"5,902,200",-,20,-,407,0
,Sub Total,"29,978,854",-,"5,902,200",-,20,-,407,0
Office of the County Secretary,,,,,,,,407,0
"County Informa-
tion and Commu-
nication Services","County Information
and Communication
Services","10,500,000",,"3,243,990",-,31,-,407,0
,Sub Total,"10,500,000",-,"3,243,990",-,31,-,407,0
"Education, Skill Development, Youth & Sports",,,,,,,,407,0
"General Adminis-
tration, Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","314,000,000",-,"185,642,388",-,59,-,407,0
"Skills development,
youth and sport","Youth Empowerment &
Training",-,"12,200,000",-,-,-,-,407,0
"Early Childhood
Development and
Education","Scholarships and edu-
cational benefits","228,000,000",,-,-,-,-,407,0
"Pre – Primary
Education","Early Childhood Devel-
opment and Education","50,000,000","11,000,000","19,648,180",-,39,-,407,0
,ECD Teachers Training,"15,500,000",-,"10,085,690",-,65,-,407,0
,"ECD Infrastructure
Development and
Management",-,"77,250,000",-,-,-,-,407,0
"Youth Develop-
ment","Youth Training and
Capacity Building","4,000,000","5,000,000","1,980,000",-,50,-,407,0
"Vocational Educa-
tion and Training","Technical Trainers and
Instructor Services","7,500,000",-,"7,151,800",-,95,-,407,0
,"Infrastructure Develop-
ment and Expansion",-,"3,000,000",-,-,-,-,407,0
Sports,"Sports Training and
Competitions","2,000,000","1,000,000","933,500",-,47,-,407,0
,"Development and
Management of Sports
Facilities",-,"8,355,784",-,-,-,-,407,0
,Sub Total,"621,000,000","117,805,784","225,441,558",-,36,-,407,0
"Tourism, Culture & Social Services",,,,,,,,407,0
"General Adminis-
tration, Planning
and Support
Services",Financial Services,"135,678,080",-,"43,958,141",-,32,-,407,0
Culture Services,"Conservation of Cul-
ture and Heritage",-,"48,900,000",-,-,-,-,407,0
,Sub Total,"135,678,080","48,900,000","43,958,141",-,32,-,407,0
Roads & Public Works,,,,,,,,407,0
"General adminis-
tration planning
and Support
Services","General administration
planning and Support
Services","130,000,000",-,"31,683,932",-,24,-,407,0
373,,,,,,,,407,0
