Programme,"Sub-Pro-
gramme",Gross Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,419,1
COUNTY ASSEMBLY OF MERU,,,,,,,,419,1
Legislation and Representation,"Legislation &
Representation","468,433,42",2 -,"207,799,156",-,44,-,419,1
Legislative Oversight,"Legislative Over-
sight","218,716,75",8 -,"93,432,975",-,43,-,419,1
"General Administration, Planning &
Support Services","General Admin-
istration, Plan-
ning and Support
Services","326,183,11","6 132,017,326","139,627,287","4,474,328",43,3,419,1
Sub-Total,,"1,013,333,29","5 132,017,326","440,859,418","4,474,328",44,3,419,1
OFFICE OF THE GOVERNOR,,,,,,,,419,1
Headquarters,Headquarters,"27,150,00",0 -,"13,755,420",-,51,-,419,1
Governors Press,Governors Press,"21,500,00",0 -,"7,542,200",-,35,-,419,1
Monitoring and Evaluation,"Monitoring and
Evaluation","14,450,00",0 -,"1,948,800",-,14,-,419,1
Research and Public Participation,"Research and
Public Partici-
pation","8,850,00",0 -,"1,281,300",-,15,-,419,1
385,,,,,,,,419,1
,,Rec,Dev,Rec,Dev,Rec,Dev,420,0
"Special programmes (Fire, Rescue
and Emergency Services)","Special pro-
grammes (Fire,
Rescue and
Emergency
Services)","34,200,000",-,"3,621,100",-,11,-,420,0
"Partnership Development and
External Linkages","Partnership
Development
and External
Linkages","10,850,000",-,"1,042,400",,10,-,420,0
Delivery Unit,Delivery Unit,"5,000,000",-,"647,100",-,13,-,420,0
Protocol & Event Management,"Protocol & Event
Management","8,300,000",-,"1,481,500",-,18,-,420,0
Office of the Deputy Governor,"Office of the
Deputy Gov-
ernor","29,950,000",-,"8,299,695",,28,-,420,0
Sub-Total,,"160,250,000",-,"39,619,515",-,25,-,420,0
FINANCE ECONOMIC PLANNING & ICT,,,,,,,,420,0
Headquarters,Headquarters,"278,512,000","239,296,663","43,480,429","123,709,354",16,52,420,0
Meru Investment Corporation,"Meru Investment
Corporation","21,600,000",-,"16,173,484",-,75,-,420,0
Meru Microfinance Corporation,"Meru Microfi-
nance Corpo-
ration","78,758,591",-,"59,279,299",-,75,-,420,0
