Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 31
December 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",458,1
THE EXECUTIVE,,,,,,,,458,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",459,0
Programme 1,"General Administration
and Human Resource
Planning Services","154,760,063",0,"78,428,441",,50.68,,459,0
,"Governor’s and Deputy
Governor’s Affairs","49,500,000","15,000,000","7,665,770",,15.49,0.00,459,0
,"Protocol, Hospitality and
Communication","23,000,000","20,000,000","4,854,340",,21.11,0.00,459,0
,"Governor’s Advisory
Council and special
programs","10,000,000",0,"1,292,358",,12.92,0.00,459,0
,County Secretary’s Affairs,"9,000,000","2,000,000","1,212,758",,13.48,0.00,459,0
,"Cabinet affairs, Service
delivery Unit, Intergovern-
mental and Public service
Transformation","7,200,000",0,"1,759,350",,,,459,0
,Sub Total,"253,460,063","37,000,000","95,213,017",0,37.57,0.00,459,0
COUNTY ASSEMBLY,,,,,,,,459,0
"HUMAN RE-
SOURCE MAN-
AGEMENT","COMPENSATION TO
EMPLOYEES","670,164,171","80,000,000","154,615,328","4,888,414",23.07,0.00,459,0
,"USE OF GOODS AND
SERVICES","143,571,762",,"81,306,533",0,56.63,,459,0
LEGAL,"USE OF GOODS AND
SERVICES",,,"88,226,966",,,,459,0
,Sub-Total,"813,735,933","80,000,000","324,148,827","4,888,414",39.83,6.11,459,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,459,0
Programme 3,Administration Unit,"131,692,825","10,000,000","48,388,965",0,36.74,0.00,459,0
,Sub-Total,"131,692,825","10,000,000","48,388,965",0,36.74,0.00,459,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,459,0
Programme 4,Administration Unit,"731,605,778",0,"317,059,296","4,170,588",43.34,,459,0
,"Financial Management
Services-Accounting Unit","260,195,498","366,129,808","105,109,721","204,558,570",40.40,55.87,459,0
,"Planning and Monitoring
Unit","111,806,607","23,000,000","48,996,950",,43.82,0.00,459,0
,Digital Transformation,"26,876,558","53,383,192","10,255,832","6,047,055",,,459,0
,Sub-Total,"1,130,484,441","442,513,000","481,421,798","214,776,213",42.59,48.54,459,0
ENVIRONMENT & GOVERNANCE,,,,,,,,459,0
Programme 5,"Administration, Planning
and Support Services","739,535,878",,"351,973,356","2,717,418",47.59,,459,0
,"Environment Compliance
and Enforcement","18,700,000","21,800,000",,,0.00,0.00,459,0
,Solid Waste Management,"19,660,000","169,000,000",,,0.00,0.00,459,0
,"Public Affairs and Em-
powerment Programs","108,750,000",,,,,,459,0
,"County Administration and
Serikali Mitaani","10,370,000","40,000,000",,,,,459,0
,"Inspectorate, Enforcement
and compliance","7,450,000","17,000,000",,,,,459,0
,Sub-Total,"904,465,878","247,800,000","351,973,356","2,717,418",38.92,1.10,459,0
Education,,,,,,,,459,0
Programme 6,"General Administration,
Planning and Support
Services","343,676,025","44,000,000","158,886,104","5,938,264",46.23,13.50,459,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",460,0
,"Early Childhood Educa-
tion","15,500,000","84,000,000",,"9,232,877",0.00,10.99,460,0
,"Vocational Training &
Education","3,000,000","12,000,000",,"2,775,303",0.00,23.13,460,0
,Child Care,"3,000,000","11,000,000",,,0.00,0.00,460,0
,Elimu Fund,"499,200,000",,"80,000,000",,16.03,0.00,460,0
,,,,,,0.00,0.00,460,0
,Sub-Total,"864,376,025","151,000,000","238,886,104","17,946,444",27.64,11.89,460,0
HEALTH SERVICES,,,,,,,,460,0
Programme 7,Administration Unit,"3,285,636,744","178,374,932","1,615,665,531",,49.17,0.00,460,0
,"Preventive and Promotive
Health services","157,680,000","27,000,000","1,021,573",,0.65,0.00,460,0
,"Curative/Clinical Health
Services","132,000,000","59,625,068",,,0.00,0.00,460,0
,Special Programs,"12,000,000",0,,0,0.00,,460,0
,"Coast General Teaching
and Referral Hospital","650,000,000","335,000,000","33,977,502",,5.23,0.00,460,0
,Sub-Total,"4,237,316,744","600,000,000","1,650,664,606",0,38.96,0.00,460,0
"WATER, NATURAL RESOURCES & CLIMATE CHANGE RESILIENCE",,,,,,,,460,0
Programme 8,Administration unit,"170,042,057","1,000,000,000","69,508,761","234,539,000",40.88,23.45,460,0
,"Natural Resources Man-
agement","7,443,830","2,000,000","26,800",,0.36,0.00,460,0
,"Sanitation Services and
Management","7,700,000",0,,,0.00,,460,0
,"Water Supply and Man-
agement","12,200,000",0,,,0.00,,460,0
,"Climate Change & Renew-
able Energy","19,850,000","102,050,260","214,477",,1.08,0.00,460,0
,Sub-Total,"217,235,887","1,104,050,260","69,750,038","234,539,000",32.11,21.24,460,0
"PUBLIC SERVICE ADMINISTRATION, YOUTH, GENDER, SOCIAL SERVICES & SPORTS",,,,,,,,460,0
Programme 9,"Administration planning
and support services","692,517,956",0,"138,803,135",,20.04,,460,0
,"Human Resource Manage-
ment & Development","54,300,000",0,"1,241,400",,2.29,0.00,460,0
,Public Service Reforms,"45,700,000",0,,,0.00,,460,0
,"Youth Affairs & Sports
Development","13,400,000","270,000,000","500,000","68,228,617",3.73,25.27,460,0
,"Gender, PWD Integration
and Social Services","15,600,000",0,"124,400",,0.80,,460,0
,Sub-Total,"821,517,956","270,000,000","140,668,935","68,228,617",17.12,25.27,460,0
"TOURISM, CULTURE & TRADE",,,,,,,,460,0
Programme 10,"General Administration
Planning & support
services","335,649,661",0,"155,414,675",,46.30,0.00,460,0
,"Trade Development
and Markets/ Consumer
Protection","13,555,000","239,500,000",,"11,479,702",0.00,4.79,460,0
,E-Licensing & Services,"1,470,000",0,"500,000",,34.01,,460,0
,"Tourism Marketing and
Product Development","78,885,000",0,"1,100,000","762,029",1.39,,460,0
,Cultural Affairs,"8,900,000",0,"1,493,200",,16.78,0.00,460,0
,Mombasa Tourism Council,"20,000,000",0,"1,708,526",,8.54,,460,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",461,0
,,,,,,,,461,0
,Sub-Total,"458,459,661","239,500,000","160,216,401","12,241,731",34.95,5.11,461,0
"LANDS, URBAN RENEWAL AND HOUSING",,,,,,,,461,0
Programme 11,"Administration planning
and support services","174,023,556","20,000,000","71,432,116","10,000,000",41.05,50.00,461,0
,"Housing Development &
Management","3,450,000","10,000,000",,,0.00,0.00,461,0
,Urban Renewal,"6,450,000","49,000,000",,,0.00,0.00,461,0
,"Land Administration and
Valuation","9,800,000","905,000,000",,,0.00,0.00,461,0
,Physical Planning,"1,350,000","86,000,000",,0,0.00,0.00,461,0
,,,,,,,,461,0
,Sub-Total,"195,073,556","1,070,000,000","71,432,116","10,000,000",36.62,0.93,461,0
"TRANSPORT, INFRASTRUCTURE & PUBLIC WORKS",,,,,,,,461,0
Programme 12,"General Administration
and Support Services","488,485,525",,"226,384,661","1,049,855",46.34,0.00,461,0
,"Roads Infrastructure
Development","24,069,919","654,287,752",,"14,444,621",0.00,2.21,461,0
,"Transportation Manage-
ment","38,700,000","69,800,000",,,0.00,0.00,461,0
,County Public Works,"1,810,000","60,000,000",,,0.00,0.00,461,0
,"Mechanical and Electrical
Services","167,255,000","4,800,000","48,291,479",,28.87,0.00,461,0
,"Safety, Risk and Disaster
Management Services","16,250,000","74,655,000",,,0.00,0.00,461,0
,,,,,,,,461,0
,Sub-Total,"736,570,444","863,542,752","274,676,139","15,494,476",37.29,1.79,461,0
"BLUE ECONOMY, COOPERATIVES, AGRICULTURE & LIVESTOCK",,,,,,,,461,0
Programme 13,"Administration Unit-Head-
quarters","130,097,194",0,"61,186,372",,47.03,,461,0
,Crops Development,"21,968,919","18,000,000",,"2,984,655",0.00,16.58,461,0
,Livestock Production,"10,721,200","6,300,000",,,0.00,0.00,461,0
,Fisheries Development,"11,850,000","13,000,000","85,276","171,080",0.72,1.32,461,0
,Veterinary Services,"13,204,160","36,000,000",,"4,559,445",0.00,12.67,461,0
,Cooperative Development,"11,048,320","5,000,000",,,0.00,0.00,461,0
,Sub-Total,"198,889,793","78,300,000","61,271,648","7,715,180",30.81,9.85,461,0
THE COUNTY ATTORNEY,,,,,,,,461,0
Programme 14,"General Administration &
Legal Services","103,014,783",,"26,341,959",0,25.57,0.00,461,0
,Sub-Total,"103,014,783",0,"26,341,959",0,25.57,0.00,461,0
Grand Total,,"11,066,293,988","5,193,706,012","3,995,053,909","588,547,493",36.10,11.33,461,0
