Programme,Sub Programme,Approved Estimates (Kshs.),col_3,Expenditure (Kshs.),col_5,"Absorption
Rate(%)",col_7,page_number,table_index,col_8
,,Rec,Dev,Rec,Dev,Rec,Dev,503,1,
"DEPARTMENT OF AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,503,1,
"Programme 1:
Administration,
planning and
support services","SP 1.1: Administration
planning and support
services","29,883,621","152,835,721","3,933,395","2,995,900",13.2,2.0,503,1,
,"SP 1.2: Human Re-
source","391,341,414",0,"150,346,122",0,38.4,0.0,503,1,
,,Rec,Dev,Rec,Dev,Rec,Dev,504,0,
"Programme 2:
Livestock resource
management and
development","SP 2.1: Livestock
production and man-
agement","40,714,667","900,037","495,500",0,1.2,0.0,504,0,
,"SP 2.2: Promotion
of value addition of
livestock and livestock
products",0,0,-,-,-,-,504,0,
,"SP 2.3: Livestock ex-
tension service delivery",0,"24,002,611",-,-,-,-,504,0,
,"SP 2.4: Food safety
and livestock products
development",0,"8,110,067",-,-,-,-,504,0,
,"SP 2.5: livestock dis-
eases management and
control",0,"13,377,352",-,-,-,-,504,0,
"Programme 3;
Fisheries develop-
ment","SP 3.1: Aquaculture
development",0,0,-,-,-,-,504,0,
,"SP 3.2: development
of capture fisheries
resources",0,0,-,-,-,-,504,0,
,"SP 3.3 Fish quality as-
surance value addition
and marketing","5,081,390",0,"197,990",0,3.9,0.0,504,0,
"Programme 4:
Crop develop-
ment and man-
agement","SP 4.1 Agriculture
extension research and
training",,"2,437,402",-,-,-,-,504,0,
,"SP 4.2 crop produc-
tion and food security","17,572,537","493,567,379","490,400","1,000,000",2.8,0.2,504,0,
,"SP 4.3 Farmland util-
isation, conservation
and Mechanization",0,0,,,,,504,0,
,"SP 4.4 Agribusiness
development and
marketing",0,"1,462,441",,,,,504,0,
,SP 4.5 Agri-Nutrition,0,"1,431,138",,,,,504,0,
,Sub Total,"484,593,629",698124148,"155,463,407","3,995,900",32.1,0.6,504,0,
NAIVASHA MUNICIPALITY,,,,,,,,504,0,
"Programme 1:
Administration
and planning and
support services","SP 1.1 Administration
and Planning","16,099,243",0,"275,920",0,1.7,0.0,504,0,
,"SP 1.2; personnel
services","14,072,662",0,"2,847,910",0,20.2,0.0,504,0,
,"SP 1.3 financial
services",0,0,0,0,0,0,504,0,
"Programme 2;
Naivasha munici-
pal services","SP 2.1 planning and
infrastructure",0,"36,000,000",0,0,0,0.0,504,0,
,"SP 2.2 environmen-
tal management and
sanitation",0,"27,000,000",0,"5,810,716",0,21.5,504,0,
,"SP 2.3 Naivasha Social
Services","8,055,408",0,0,0,0.0,0.0,504,0,
,"SP 2.4 tourism invest-
ment and trade","7,000,000",0,0,0,0.0,0.0,504,0,
,Sub-Total,"45,227,313","63,000,000","3,123,830","5,810,716",6.9,9.2,504,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,505,0,
"PUBLIC SERVICE, DEVOLUTION, CITIZEN ENGAGEMENT, DISASTER MANAGEMENT &HUMANITARIAN ASSIS-
TANCE",,,,,,,,505,0,
"Programme 1:
Administration,
planning and
support service","Sub-programme
1.1(Administration
service)","61,947,354",0,"4,629,348.80",0,7.5,0.0,505,0,
,"Sub-programme
1.2(Personal Service)","690,684,065.62",0,"284,177,974",0,41.4,0.0,505,0,
,"Sub-programme
1.3(Financial Service)",0,0,0,0,0.0,0.0,505,0,
,"Sub-programme
1.4(Mainstream
Workplace HIV/AIDS,
Alcohol & Drug Abuse
Control)","1,190,011",0,0,,0.0,0.0,505,0,
,"Sub-programme
1.5(Rehabilitation/
Construction of Sub
County Offices)",0,"84,577,486",0,,0.0,0.0,505,0,
"Programme 2:
human resource
management and
development","SP 2.1; performance
contracting","11,846,067.97",0,"272,700",0,2.3,0.0,505,0,
,"SP 2.2 PERFOR-
MANCE Appraisal
system","11,846,067",0,0,0,0.0,0.0,505,0,
,"SP 2.3 Staff develop-
ment through capacity
building and training","4,026,805.34",0,0,0,0.0,0.0,505,0,
"Programme 3;
civil education &
public participa-
tion
Programme 4:
Disaster manage-
ment and human-
itarian assistance","SP 3.1 co-ordination
of public and special
community pro-
gramme","637,076.67",0,"123,500",0,19.4,0.0,505,0,
,"SP 4.1disaster manage-
ment and humanitari-
an assistance","18,480174.24",0,,,,,505,0,
,Subtotals,"18,480,174.24","84,577,486","289,203,522",0,36.1,0.0,505,0,
"DEPARTMENT OF EDUCATION, VOCATIONAL TRAINING, ICT AND E-GOVERNMENT",,,,,,,,505,0,
"Programme 1:
Administration,
planning and
support service","SP 1.1 administration
and support service","48,357,875","418,812,658","3,345,836","1,441,597",6.9,0.3,505,0,
,"SP 1.2 Personnel
service","643,746,121",0,"247,981,093",0,38.5,0.0,505,0,
,"SP 1.3 financial
services",0,0,0,0,0,0,505,0,
"Programme 2:
Promotion of
early childhood
education and
development","SP 2.1 Promotion of
Early Childhood","134,712,335",0,"897,080",0,0.7,0.0,505,0,
,SP 2.2 Bursaries,"183,000,000",0,"165,034,700",0,90.2,0.0,505,0,
,"SP 2.3Education
development",0,"66,450,251",0,0,0.0,0.0,505,0,
"Programme
3: Vocational
training","SP 3.1 Vocational
training","83,922,834",0,"17,152,396",0,20.4,0.0,505,0,
,"SP 3.2 Vocational
Training Infrastructure
Development",0,"81,289,894",,"66,285,000",0.0,81.5,505,0,
"Programme 4
Information and
communication","SP 4.1 Public com-
munication and media
services","9,631,665","3,000,000","735,600",0,7.6,0.0,505,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,506,0,
"Programme 5
ICT Infrastruc-
ture Development
and e-government
Services","SP 5.1 Network Infra-
structure","13,169,794",0,"311,800",0,2.4,0.0,506,0,
,"5.2 Hardware and
software platforms",0,0,0,0,0.0,0.0,506,0,
,"5.3 E-government
services",0,0,0,0,0.0,0.0,506,0,
,Sub-Total,"1,116,540,624","569,552,803","435,458,505","67,726,597",39.0,11.9,506,0,
COUNTY TREASURY,,,,,,,,506,0,
"Programme 1:
Administration,
planning and
support services","SP 1.1 Administration
services","750,697,888","458,529,634","347,015,187","51,187,757",46.2,11.2,506,0,
,"SP 1.2 Personnel
services","552,193,677",0,"249,092,968",0,45.1,0.0,506,0,
,"SP 1.3 financial
services",0,0,0,0,0.0,0.0,506,0,
"Programme 2:
Public Finance
Management","SP 2.1 Budget formu-
lation coordination
and management","105,918,535",0,"20,855,225",0,19.7,0.0,506,0,
,"SP 2.2Resources mobi-
lization","53,599,403.77","15,600,000","5,913,500",0,11.0,0.0,506,0,
,SP 2.3 internal audit,"15,432,885",0,"782,145",0,5.1,0.0,506,0,
,SP 2.4 procurement,"12,790,171.97",0,"1,090,700",0,8.5,0.0,506,0,
,"SP 2.5 public finance
and accounting","14,991,459",0,"1,666,914",0,11.1,0.0,506,0,
,"SP 2.6 Debt manage-
ment","4,243,493.76","280,000,000","616,100",0,14.5,28.6,506,0,
,"SP 2.7 External Re-
sources Mobilization","10,235,000",0,"55,400",0,0.5,0.0,506,0,
"Programme 3:
Economic and
financial policy
formulation and
management",SP 3.1 Fiscal planning,"30,383,188.42",0,"5,041,200",0,16.6,0.0,506,0,
,"SP 3.2 monitoring and
evaluation /statistical
data management","5187,600",0,"379,175",0,7.3,0.0,506,0,
,"SP 3.3 KDSP pro-
gramme",0,"34,017,547",0,"33,263,916",0.0,97.8,506,0,
,Sub-Total,"1,555,672,303.06","788,147,181.12","632,507,814","164,451,672",40.7,20.9,506,0,
NAKURU CITY,,,,,,,,506,0,
Programme 1,"SP 1.1 Administration
and Support Services","33,832,848",0,"2,605,000",0,7.7,0.0,506,0,
,"SP 1.2 Personnel
services","33,209,943",0,"11,989,658",0,36.1,0.0,506,0,
,"SP 1.3 financial
services","600,000",0,"25,000",0,4.2,0.0,506,0,
Programme 2,"SP 2.1 Infrastructure
development and
urban",0,"59,500,000",0,0,0.0,0.0,506,0,
,"SP 2.2 Nakuru City
Environments Man-
agement","824,495",0,"50,000",0,6.1,0.0,506,0,
,"SP 2.3 Trade markets
and investments","7,000,000",0,0,0,0.0,0.0,506,0,
,"SP 2.4 Nakuru City
Social Services","9,416,848",0,"219,950",0,2.3,0.0,506,0,
,Sub-Total,"84,884,134","59,500,000","14,889,608",0,17.5,0.0,506,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,507,0,
"DEPARTMENT OF YOUTH, CULTURE, GENDER, SPORTS AND SOCIAL SERVICES",,,,,,,,507,0,
"Programme 1:
Administration,
planning and
support services","SP 1.1 Administration
and Support Services","20,022,713","153,653,524","2,025,596",0,10.1,0.0,507,0,
,"SP 1.2 Personnel
services","120,930,458",0,"47,239,041",0,39.1,0.0,507,0,
,"SP 1.3 Financial
services",0,0,0,0,0.0,0.0,507,0,
"Programme 2
Development of
social-cultural Di-
versity, Economic
Empowerment
and Responsible
Gaming","SP 2.1; Gender Equali-
ty and Empowerment","5,320,000",0,"235,500",0,4.4,0.0,507,0,
,"SP 2.2 Social Inclusion
and Empowerment","38,902,800",0,"45,000",0,0.1,0.0,507,0,
"Programme 3
Management and
development of
sports, recre-
ation and sports
facilities","SP 3.1 Development
and Management of
Sports Infrastructure",0,"58,823,107",0,0,0.0,0.0,507,0,
,"SP 3.2 Promotion of
Sports Development
and Recreation","49,880,000",0,"10,384,8500",0,20.8,0.0,507,0,
"Programme 4:
Youth empower-
ment and partici-
pation","SP 4.1 youth empow-
erment and partici-
pation","6,988,194","6,000,000","250,200",0,3.6,0.0,507,0,
,Sub-Total,"242,044,164.81","218,476,631","60,180,187",0,24.9,0.0,507,0,
"DEPARTMENT OF WATER, ENVIRONMENT, CLIMATE, ENERGY &NATURAL RESOURCES",,,,,,,,507,0,
"Programme 1
Administration","SP 1.1 Administration
services","25,307,898",0,"1,422,626",0,5.6,0.0,507,0,
,"SP 1.2 Human re-
sources","247,900,174",0,"99,739,458",0,40.2,0.0,507,0,
,"SP 1.3 Finance ser-
vices","500,000",0,0,0,0.0,0.0,507,0,
"Programme 2
water and sewage
management","SP 2.1 Provision of
water","3,455,000","603,320,148","94,800",0,2.7,0.0,507,0,
,SP 2.2 sewerage,"625,000",0,0,0,0.0,0.0,507,0,
"Programme
3:Environment
management","SP 3.1 Pollution
control",0,0,0,0,0.0,0.0,507,0,
,"SP 3.2 Solid Waste
Management","4,177,500",0,0,0,0.0,0.0,507,0,
,SP 3.3 regulation,"1,000,000",0,0,0,0.0,0.0,507,0,
,SP 3.4:Natural,"1,000,000",0,0,0,0.0,0.0,507,0,
"Programme 4
County energy,
planning, regu-
lation, operation
and development","SP 4.1 County Energy
Development","5,000,000",0,"33,000",0,0.1,0.0,507,0,
