Program,"Sub Pro-
gram",Description,"Final Budget
(Kshs.)",Actual (Kshs.),"Absorption
Rate (%)",page_number,table_index
102004610,,Crop Development and management,"800,070,821","292,536,158",37,532,0
,102024610,Crop Productivity Improvement,"800,070,821","292,536,158",37,532,0
103004610,,"Livestock Resources management and de-
velopment","214,059,898","64,868,360",30,532,0
,103014610,"Livestock Pests & Disease Management &
Control","113,236,103","6,868,360",6,532,0
,103074610,Livestock Information Management,"100,823,795","58,000,000",58,532,0
104004610,,Fisheries development and management,"48,328,512","18,718,000",39,532,0
,104014610,Fish Products Production,"48,328,512","18,718,000",39,532,0
105004610,,Land Policy and Planning,"44,403,099","2,324,125",5,532,0
,105014610,Development Planning and Land Reforms,"44,403,099","2,324,125",5,532,0
106004610,,"Housing Development and Human Set-
tlement","196,692,757","51,873,720",26,532,0
,106014610,Housing Development,"196,692,757","51,873,720",26,532,0
107004610,,Urban Mobility and Transport,"293,680,395",0,-,532,0
,107014610,"Metropolitan Planning & Infrastructure
Development","293,680,395",,-,532,0
201004610,,Roads Transport and Public Works,"1,614,361,428","329,428,564",20,532,0
,201014610,"General Administration, Planning and
Support Services","67,185,299","10,636,220",16,532,0
,201024610,Construction of Roads and Bridges,"1,479,389,344","313,932,613",21,532,0
,201034610,Maintenance of Roads,"67,786,785","4,859,731",7,532,0
202004610,,ICT Services,"441,325,223","42,000,000",10,532,0
,202014610,ICT Infrastructure Development,"441,325,223","42,000,000",10,532,0
301004610,,"General Administration and Support
Services","699,196,845","5,377,088",1,532,0
,301014610,Administrative Services,"9,435,168",0,-,532,0
,301024610,Cooperative Development & Management,"34,656,100","2,543,336",7,532,0
,301034610,Trade Development and Promotion,"655,105,577","2,833,752",0,532,0
303004610,,Tourism Development and Promotion,"450,913,688","226,142,960",50,532,0
,303014610,Tourism Promotion and Marketing,"450,913,688","226,142,960",50,532,0
306000000,,Tourism Development and Promotion,"100,249,999",0,-,532,0
,306039999,Tourism Infrastructure Development,"100,249,999",0,-,532,0
401004610,,Preventive &Promotive Health Services,"481,094,035",0,-,532,0
,401014610,Health Promotion,"481,094,035",0,-,532,0
402004610,,Curative Health Services,"488,124,894","352,235,895",72,532,0
,402014610,Referral Services,"488,124,894","352,235,895",72,532,0
403004610,,"General Administration, Planning & Sup-
port Services","2,353,149,416","2,343,814,559",100,532,0
,403014610,"Health Policy, Planning and Financing","2,353,149,416","2,343,814,559",100,532,0
502004610,,"Manpower Development, Employment
and Productivity Management","1,730,459,500","1,443,558,985",83,532,0
,502014610,Early Child Development and Education,"1,730,459,500","1,443,558,985",83,532,0
