"Depart-
ment",Program,Sub-Program,"Approved Estimate
(Kshs.Million)",col_4,"Cumulative Expenditure
(Kshs.Million)",col_6,Absorption Rate (%),col_8,page_number,table_index
,,,Rec,Dev,Rec,Dev,Rec,Dev,572,1
"Executive
Office of the
Governor
and the
Deputy
Governor","Management
and Coor-
dination
of County
Affairs","Administration,
planning, and
support services
Management of
county affairs",119.63,45.00,48.51,0.00,40,-,572,1
,,,4.65,,1.67,,40,-,572,1
,,,Rec,Dev,Rec,Dev,Rec,Dev,573,0
"Executive Office of the
Governor and the Deputy
Governor Total",,,124.29,45.00,50.18,0.00,40,-,573,0
"Office of
the County
Secretary","Coordination
of County
Functions
and Public
Service Man-
agement","Administration,
planning, and
support services",322.22,6.50,55.01,0.77,20,10,573,0
,,"County publicity
campaign",2.12,,0.50,,20,-,573,0
"Office of the County Secre-
tary Total",,,324.35,6.50,55.51,0.77,20,10,573,0
"Finance,
Economic
Planning,
and ICT","Economic
Planning and
Policy For-
mulation","Economic Plan-
ning and Policy
Formulation",10.19,,2.89,,30,-,573,0
,,"Monitoring and
Evaluation",3.70,,1.30,,40,-,573,0
,"Executive
Services","Administration
and personnel
services",451.41,10.05,165.38,1.30,40,10,573,0
,"ICT Develop-
ment","ICT Infrastruc-
ture Development",4.97,,0.87,,20,-,573,0
,"Public
Finance Man-
agement","Financial Ac-
counting",8.90,,3.05,,30,-,573,0
,,Internal Audit,5.86,,2.35,,40,-,573,0
,,"Procurement
Compliance and
Reporting",8.10,,2.67,,30,-,573,0
,"Revenue Mo-
bilisation","Revenue Mobili-
sation",42.58,,15.25,,40,-,573,0
"Finance, Economic Plan-
ning, and ICT Total",,,535.71,10.05,193.76,1.30,40,10,573,0
"Lands,
Physical
Planning,
and Urban
Develop-
ment","Housing
Development
and Human
Settlement","Government
Building",2.70,,0.36,,10,-,573,0
,"Land Policy
and Planning","Land Policy For-
mulation",5.12,,1.27,,20,-,573,0
,"Physical plan-
ning services","Administration
and personnel
services",73.66,368.40,34.71,0.00,50,-,573,0
"Lands, Physical Planning,
and Urban Development
Total",,,81.47,368.40,36.34,0.00,40,-,573,0
