"Department/Programme/Sub-Pro-
gramme","Gross Approved Estimates FY
2024/25 (Kshs.Million)",col_2,"Actual Expenditure
as of 31st December
2024 (Kshs.Million)",col_4,Absorption Rate (%),col_6,page_number,table_index
,Rec,Dev,Rec,Dev,Rec,Dev,651,1
"County Government Advisory Ser-
vices",54.10,,15.45,,29,-,651,1
"Public Sector Advisory Services (Legal
& Economic Advisors)",43.40,,15.20,,35,-,651,1
Communication & Strategy,10.70,,0.25,,2,-,651,1
County Leadership &,4.93,,1.27,,26,-,651,1
Coordination of MDAs,,,,,,,651,1
"Coordination of CMAs (Office of Coun-
ty Secretary)",4.93,,1.27,,26,-,651,1
"General Admin, Planning &",85.24,,23.07,,27,-,651,1
Support Services,,,,,,,651,1
"Management of County Affairs (Office
of Governor)",61.32,,21.49,,35,-,651,1
"Coordination & Supervisory Services
(Deputy Governor’s Office)",23.92,,1.58,,7,-,651,1
"Total – Office of Governor & Dep.
Governor",144.28,,39.79,,28,0,651,1
General Admin Planning &,33.90,,31.05,,92,-,651,1
Support Services,,,,,,,651,1
General Admin Services,33.90,,31.05,,92,-,651,1
,Rec,Dev,Rec,Dev,Rec,Dev,652,0
Kathwana Municipality Dev.,14.00,,3.89,,28,-,652,0
Programme,,,,,,,652,0
Kathwana Urban Area Support,14.00,,3.89,,28,-,652,0
Public Works & Housing Services,4.44,78.00,0.68,0.45,15,1,652,0
Public Works Services,4.44,78.00,0.68,0.45,15,1,652,0
Roads Transport,88.65,431.81,52.15,169.55,59,39,652,0
"Rural Roads Improvement & Mainte-
nance Services",88.65,431.81,52.15,169.55,59,39,652,0
Urban Dev. & Admin,77.50,188.95,7.33,14.46,9,8,652,0
Urban Administrative Services,77.50,188.95,7.33,14.46,9,8,652,0
"Total – Roads, Infrastructure, Public
Works & Urban Dev",218.49,698.76,95.10,184.45,44,26,652,0
Curative & Rehabilitative,136.34,,101.68,,75,-,652,0
Services,,,,,,,652,0
Medical Supplies,136.34,,101.68,,75,-,652,0
General Admin Planning &,"1,406.30",114.00,784.65,35.73,56,31,652,0
Support Services,,,,,,,652,0
General Admin Services,93.70,114.00,67.08,35.73,72,31,652,0
Human resource management,"1,178.20",,648.42,,55,-,652,0
"Policy, Planning, Financing & Budgeting",134.40,,69.15,,51,-,652,0
ICT Infrastructure Dev.,37.95,35.00,18.66,,49,-,652,0
ICT Infrastructure Dev.,37.95,35.00,18.66,,49,-,652,0
Total - Medical Services,"1,580.58",149.00,904.99,35.73,57,24,652,0
Cooperative Dev. & Management,3.49,,,,0,-,652,0
Cooperative Dev.,3.49,,,,0,-,652,0
Crop Dev. & Management,15.73,156.52,0.18,,1,-,652,0
"Crops Dev., Agribusiness & Market Dev.",15.73,156.52,0.18,,1,-,652,0
General Admin Planning &,107.92,205.88,68.55,72.63,64,35,652,0
Support Services,,,,,,,652,0
"Admin, Policy, Strategy & Management
of Agric",107.92,205.88,68.55,72.63,64,35,652,0
