Programme,Sub-Programme,"Approved Estimates
(Kshs.Million)",col_3,"Actual Expenditure as of
31 December 2024 (Kshs.
Million)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,719,0
Department: County Executive (Office of the Governor),,,,,,,,719,0
"Coordination and
Supervisory Services","Coordination and Supervisory
Services",575.32,0.00,260.20,0.00,45,0,719,0
,Sub Total,575.32,-,260.20,-,45,,719,0
Department: Finance and Economic Planning,,,,,,,,719,0
"Public Finance Man-
agement",Budget Management Services,27.25,,13.29,,,,719,0
,County Accounting Services,332.20,,174.09,,,,719,0
,"County Revenue Collection and
Resource Mobilization",85.45,,12.17,,,,719,0
,"Internal Audit Management
Services",27.11,,4.55,,,,719,0
,"County Supply Chain Manage-
ment",146.85,,55.56,,,,719,0
"Economic Planning
Services","County Integrated Development
Planning",58.39,,15.10,,,,719,0
,Sub-Total,677.25,-,274.76,-,41,,719,0
"Department: Agriculture, Livestock and Veterinary Services",,,,,,,,719,0
"Livestock manage-
ment Services",Livestock Production Services,57.86,6.00,1.59,,,,719,0
,Veterinary Services,76.97,4.50,16.72,2.00,,,719,0
"Food Production
Services",Food Production Services,60.44,422.91,14.95,13.41,25,,719,0
"Irrigation Manage-
ment Services",Irrigation Management Services,15.65,31.13,0.76,6.75,,,719,0
"Alternative Liveli-
hood management","Alternative Livelihood manage-
ment",39.21,,11.58,,,,719,0
,Sub-Total,250.13,464.54,45.61,22.15,18,5,719,0
Department: Health Services,,,,,,,,719,0
"Curative, rehabilita-
tive and Emergency
services","Curative and rehabilitative
services",930.36,694.40,539.38,441.51,,,719,0
,Emergency Referral Services,39.98,,,,,,719,0
"General Adminis-
tration and Support
Services","General Administration and
Support Services","1,811.90",-,900.31,,,,719,0
Public Health,"Reproductive Maternal Neonatal
Child Health",27.54,2.00,5.08,,,,719,0
,Primary Health Care,164.08,102.33,36.79,6.91,,,719,0
,Special Programme,7.00,,3.50,,,,719,0
,Health Research,2.64,,1.15,,,,719,0
,Sub-Total,"2,983.49",798.73,"1,486.21",448.42,50,56,719,0
Department: Roads& Transport,,,,,,,,719,0
"County Roads and
Transport manage-
ment",Construction of County Roads,1.40,109.32,0.63,103.22,,,719,0
,"maintenance and Rehabilitation
of county roads",137.15,437.52,41.50,58.90,,,719,0
,County Transport Services,87.10,,58.79,,,,719,0
,Total,225.65,546.84,100.91,162.12,45,30,719,0
Department: Water Services,,,,,,,,719,0
,,Rec,Dev,Rec,Dev,Rec,Dev,720,0
Water Services,"Water Supplies Overhaul and
Maintenance Services",269.99,979.69,109.14,133.86,,,720,0
,"Infrastructure development
services",8.81,293.58,3.97,113.52,,,720,0
,Total,278.81,"1,273.27",113.11,247.38,41,19,720,0
"Department: Energy, Environment and Climate Change",,,,,,,,720,0
"Energy development
services",Energy development services,3.94,73.31,3.04,23.31,,,720,0
"Environmental Con-
servation Services",Climate Change,14.30,418.83,8.13,82.99,,,720,0
,"Environmental Conservation
Services",7.20,9.91,,,,,720,0
"Natural Resource
Management",Natural Resource Management,1.70,4.50,0.72,,,,720,0
"General Adminis-
tration and Support
Services","General Administration and
Support Services",70.00,,,,,,720,0
,Total,97.14,506.55,11.88,106.30,12,21,720,0
"Department: Public Service, Special Programs and County Administration",,,,,,,,720,0
"Human Resources
Management and de-
centralised services","Human Resources Management
and decentralised services",180.44,,76.41,,,,720,0
"Service Delivery and
Performance Man-
agement","Service Delivery and Perfor-
mance Management",47.07,,9.10,,,,720,0
"Decentralised unit
and Town admin","Decentralised unit and Town
admin",427.76,16.80,201.26,,,,720,0
Special Programs,"Disaster Management & Hu-
manitarian Coordination",210.99,,22.61,,,,720,0
,"Conflict Prevention, Manage-
ment and Resolution",30.34,21.00,3.39,19.50,,,720,0
,Intergovernmental Relations,69.40,,3.52,,,,720,0
,Public Participation Services,27.31,10.00,7.91,3.98,,,720,0
,Governance and Ethics,16.11,,1.87,,,,720,0
,Total,"1,009.43",47.80,326.07,23.48,32,49,720,0
Department: Education Social Welfare and Family Affairs,,,,,,,,720,0
"Sports promotion
and development","Sports promotion and develop-
ment",26.20,85.50,13.41,,51,,720,0
"Early Childhood
Education Develop-
ment Services","Early Childhood Education
Development Services",536.14,140.40,192.09,49.92,36,,720,0
"Social Services, Cul-
ture, Heritage and
Library Services","Promotion of Social Service,
Culture and Heritage Services",113.06,4.00,70.34,,62,,720,0
,Child Protection Services,28.30,,1.12,,4,,720,0
"Gender and Woman
Empowerment","Gender and Woman Empow-
erment",30.92,16.96,8.39,8.90,27,52,720,0
"Vocational Training
Services",Infrastructural development,58.57,7.00,25.02,,43,0,720,0
,Sub Total,793.19,253.86,310.38,58.82,39,23,720,0
"ICT, Trade, Industrialization, Co-operative Development",,,,,,,,720,0
