Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,SP 2 -(County Public service Board,"23,217,120.00",-,"1,811,425.00",-,8,-,730,1
,SP 3 -(County Executive affairs),"38,368,871.00",-,"2,656,013.00",-,7,-,730,1
,"SP 4-(Liasion and Intergovernmental
service)","11,842,615.00",-,-,-,-,-,730,1
,Sub Total,"447,721,850.00","36,664,500.00","112,139,707.70",-,25,-,730,1
FINANCE &ECONOMIC PLANNING,,,,,,,,730,1
"Programme
2 -","SP 1(General Administration, planning
and Support Services","214,024,383.00","21,072,917.40","77,870,298.95",-,36,-,730,1
,SP 2-(Treasury Accounting Services),"12,959,823.00",-,"1,480,600.00",-,11,-,730,1
,"SP 3-(Supply Chain Management
services)","7,988,000.00",-,"1,965,100.00",-,25,-,730,1
,SP 4-(Resource Mobilization),"14,270,000.00",-,"5,615,400.00",-,39,-,730,1
,SP 5-(Internal Audit services),"7,743,600.00",-,"185,600.00",-,2,-,730,1
,SP 6-(Budget Formulation services),"12,274,000.00",-,"2,051,500.00",-,17,-,730,1
,SP 7-(Economic Planning),"10,879,832.00",-,-,-,-,-,730,1
,SP 8-(Monitoring and Evaluation ),"12,959,823.00",-,"342,300.00",-,3,-,730,1
,Sub-Total,"293,099,461.00","21,072,917.40","89,510,798.95",-,31,-,730,1
"ROADS, PUBLIC WORKS, TRANSPORT AND INFRASTRUCTURE",,,,,,,,730,1
"Programme
3 -","SP 1(General Administration, planning
and Support Services","92,512,656.00",-,"44,846,023.70",-,48,-,730,1
,SP 2(Road Transport),"15,784,320.0","65,685,517.0",-,"3,181,200.00",-,-,730,1
,SP 3(Public Works),"2,908,000.00",-,-,-,-,-,730,1
,SP 5-(Ward Specific Projects),0.00,"217,301,338.0",,"70,716,512.40",-,32,730,1
,Sub-Total,"111,204,976.03","282,986,854.97","44,846,023.70","73,897,712.40",40,26,730,1
HEALTH AND SANITATION,,,,,,,,731,0
"Programme
4 -","SP 1(General Administration, planning
and Support Services","1,734,697,987.00",-,"829,475,994.30",-,48,-,731,0
,SP 2-(Preventive Health Services),"89,125,304.00",,"45,724,695.00",-,51,-,731,0
,SP 3-(Curative Health Services),"83,052,028.00","136,333,696.00","323,698.00","113,036.00",-,,731,0
,SP 4-(Kacheliba Sub county hospital),"14,200,000.00",-,"304,000.00",-,2,-,731,0
,SP 5-(Sigor Sub county hospital),"14,200,000.00",-,-,-,-,-,731,0
,SP 6-(Chepareria Sub county hospital),"14,200,000.00",-,-,-,-,-,731,0
,SP 7(Facility Improvement Fund),"104,800,000.00","23,000,000.00","13,869,000.00",-,13,-,731,0
,SP 8(Ward Specific),-,"97,995,107.00",-,"18,471,273.50",-,-,731,0
,Sub-Total,"2,054,275,319.00","257,328,803.00","889,697,387.30","18,584,309.50",43,7,731,0
EDUCATION AND TECHNICAL TRAINING,,,,,,,,731,0
"Programme
5 -","SP 1(General Administration, planning
and Support Services","426,985,689.00","190,000,000.00","235,434,324.40",-,55,-,731,0
,SP 2 -(ECD Services),"37,043,851.00",-,"262,500.00",-,1,-,731,0
,SP 3-(Youth Vocational training),"17,305,408.00","1,210,000.00",-,-,-,-,731,0
,SP 4-(Bursary Fund),"360,400,000.00",-,-,-,-,-,731,0
,SP 5 - (Ward specific),-,"197,258,899.00",-,"9,138,424.00",-,5,731,0
,Sub-Total,"841,734,948.00","388,468,899.00","235,696,824.40","9,138,424.00",28,2,731,0
