Programme,Sub-Programme,"Approved Estimates 2024-25
(Kshs.)",col_3,"Actual Expenditure as of 31
March 2025 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,47,0
County Assembly,,-,-,-,-,-,-,47,0
Office of the clerk,,-,-,-,-,-,-,47,0
,General administration- Salaries,"464,355,142",-,"288,228,159",-,40,-,47,0
,"General Administration, / Support
Services","415,779,128",-,"263,218,055.80",-,63,-,47,0
,"Landscaping and beautification of
the Speaker’s residential buildings",-,-,-,-,-,-,47,0
,"Drilling and equipping of 2No.
Water boreholes at the County As-
sembly and the Speaker’s residence",-,-,-,-,-,-,47,0
,"Proposed Construction of Office
Block II",-,"24,395,616",-,-,-,-,47,0
,"Equipping the Speaker’s residence
with furniture and other equip-
ment",-,"9,700,000",-,-,-,-,47,0
,,Rec,Dev,Rec,Dev,Rec,Dev,48,0
,Sub Total,"880,134,270","34,095,616","551,446,215",-,63,,48,0
"Office of the Governor
and Deputy Governor",General Administration,-,-,-,-,-,-,48,0
,Office of the Governor,"58,729,600",-,"9,660,990",,16,,48,0
,Office of the Deputy Governor,"19,659,339",,"13,178,908",-,67,-,48,0
,"SP 3: Office of County Secretary
Services","168,230,000",-,"146,550,573",-,87.1%,-,48,0
,County Attorney Services,"14,000,000",-,"3,001,096",-,21.4%,-,48,0
,"Intergovernmental and Liaison
Office","7,250,000",-,"5,182,750",-,71.5%,-,48,0
,"External Resource Mobilisation,
Partnership and linkages","3,200,000",-,"112,000",-,3.5%,-,48,0
,Disaster Risk Management,"6,900,000",-,"7,930,193",-,114.9%,-,48,0
,Civic Education,"2,000,000",,"72,800",,3.6%,,48,0
,KDSP II Programme,"44,500,000",-,"15,899,421",-,35.7%,-,48,0
,"Systems and Application devel-
opment",-,"21,436,761",-,-,-,-,48,0
,Research and Public Policy,"1,800,000",-,"764,400",-,42.5%,-,48,0
"Public Services,
Administration, Devo-
lution, & ICT","General Administration, salaries
and Operations","3,587,801,129",-,"2,292,755,870",-,63.9%,-,48,0
,"SP 5: Human Resource Manage-
ment","4,900,000",-,"7,803,378",-,159.3%,-,48,0
,"P2: ICT Development and Man-
agement Services","9,400,000","2,000,000","5,509,361",-,58.6%,-,48,0
,"SP 6: Devolution Support Services-
Sub-County Offices","15,925,000","15,600,000","22,492,145",,141.2%,,48,0
,Communication Services,"2,100,000",-,"6,397,450",-,304.6%,-,48,0
,Baringo North Sub-County,"4,986,222",-,"2,754,427",-,55.,-,48,0
,Baringo Central Sub-County,"5,218,027",-,"2,076,603",-,40,-,48,0
,Baringo South Sub-County,"4,984,000",-,"1,396,300",-,28.,-,48,0
,Baringo Mogotio Sub-county,"5,012,377",-,"2,406,000",-,48,-,48,0
,Eldama Ravine Sub-County,"4,984,000",-,"1,744,000",-,35,-,48,0
,Tiaty Sub-County( TIATY WEST),"5,029,000",-,"989,500",-,20,-,48,0
,"Tiaty Sub-County( Tiaty East
Sub-County)","4,751,000",-,"2,123,074",-,45,-,48,0
"Finance & Economic
Planning","SP 1: General Administrative
Services","41,825,000",-,"44,176,663",-,106,-,48,0
,Accounting Services,"1,800,000",-,"1,745,300",-,97,-,48,0
,Supply Chain Services,"1,800,000",-,"1,628,000",-,90,-,48,0
,Internal Audit Services,"1,800,000",-,"2,427,300",-,135,-,48,0
,"Emergency Relief (food, medicine,
blankets, cash grant, tents and
other
temporary shelter, etc.)","20,000,000",-,"10,000,000",-,-,-,48,0
,"SP 1: Revenue Administration
Services","18,800,000",-,"11,088,756",-,2.4,-,48,0
,Pending Bills,"4,061,168",-,-,-,-,-,48,0
,P2: Economic Planning Services,,-,-,-,-,-,48,0
,Revenue Infrastructure Services,,"35,219,759",-,"21,500,000",-,61,48,0
"P2: Economic Planning
Services",P2: Economic Planning Services,"20,989,477",-,"10,162,065",-,48,-,48,0
,Budget Supply Services,"5,000,000",-,"3,545,500",-,71,-,48,0
,"Resource Mobilisation:
Mobilisation and Investment
Promotion","2,000,000",-,"2,998,900",-,-,-,48,0
,,Rec,Dev,Rec,Dev,Rec,Dev,49,0
,"Monitoring and Evaluation
Services","1,500,000",-,"2,260,900",-,151,-,49,0
"P. Roads, Transport and
Infrastructure","SP 1: General Administrative
Services","47,750,173",-,"23,305,408",-,49,-,49,0
,SP 2 Public Works Development,"10,000,000",-,"66,000",-,0.7,-,49,0
,"Rural Infrastructure Development
and Foot Bridges",-,"432,228,604",-,"53,256,909.95",-,12,49,0
,"Rural road development and
management",-,"8,703,557",-,-,-,0.0,49,0
,Installation of Floodlights,-,"3,800,000",-,"10,576,255.50",-,278,49,0
