Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,166,1
County Assembly,,,,,,,,166,1
"Legislative
service",Legislative service,"556,240,773",-,"356,977,854",-,64.2,∞,166,1
"Infrastructure
support",Infrastructure support,0,"70,000,000",0,"39,999,999",∞,57.1,166,1
County Assembly Total,,"556,240,773",-,"356,977,854",,64.2,∞,166,1
County Executive Sector,,,,,,,,166,1
"County Gov-
ernance and
Coordination
Affairs",County Governance,"76,081,860",,"24,444,647",,32.1,∞,166,1
,"General Administration
Planning & Support
Services","232,572,763",,"156,749,546",,67.4,∞,166,1
,Sub-Total,"308,654,623",-,"181,194,193",,58.7,∞,166,1
"Human
Resources
Management &
Deployment","General Administration
Planning & Support
Services","30,541,500",,"15,186,668",,49.7,∞,166,1
,"Human Resource Plan-
ning & Development","8,645,000",,"2,242,600",,25.9,∞,166,1
,"Board Operation &
Management","10,255,000",,"133,600",,1.3,∞,166,1
,"Board Operation &
Management","5,100,000",,0,,0,∞,166,1
,Sub-Total,"54,541,500",,"17,562,868",,32.2,∞,166,1
,,Rec,Dev,Rec,Dev,Rec,Dev,167,0
"Prudent Use
of Financial
Resources","General Administration
Planning & Support
Services",0,,0,,∞,∞,167,0
,"Efficiency Monitoring
& Community Engage-
ment","18,853,898",,"9,032,449",,47.9,∞,167,0
,Sub-Total,"18,853,898",,"9,032,449",,47.9,∞,167,0
"Legal & Legisla-
tive Services",Legal Services,"32,475,000",,"15,500,000",,47.7,∞,167,0
,Legislative Services,"8,323,738",,"2,960,330",,35.6,∞,167,0
,Sub Total,"40,798,738",,"18,460,330",,45.2,∞,167,0
"Management of
County Affairs",Personnel Services,0,-,-,-,∞,∞,167,0
,"Partnerships Inter-
governmental& NGO
Coordination","5,950,000",,"604,000",,10.2,∞,167,0
,Sub-Total,"5,950,000",-,"604,000",,10.2,∞,167,0
County Executive Sector Total,,"428,798,759",-,"226,853,839",-,52.9,∞,167,0
"County Treasury and Economic Planning, Special Programme, ICT and Cohesion",,,,,,,,167,0
"Public financial
management",Audit Services,"1,552,500","115,350,161","775,800",,50.0,-,167,0
,"Supply Chain Manage-
ment Services","13,816,372",-,"5,315,073",-,38.5,∞,167,0
,Accounting Services,"319,775,798","426,112,652","208,405,826","393,917,714",65.2,92.4,167,0
,Sub-Total,"335,144,670","541,462,813","214,496,699","393,917,714",64.0,72.8,167,0
"Disaster
Preparedness,
Prevention,
Response &
Recovery","General Administration
Planning & Support
Services","7,100,000",-,"2,325,800",,32.8,∞,167,0
,"Coordination Training
& Capacity Develop-
ment","4,610,000",-,"544,800",,11.8,∞,167,0
,"Disaster Risk Aware-
ness, Preparedness &
Management","31,400,000","110,000,000","26,505,000","110,000,000",84.4,100.0,167,0
,Social Protection,"20,350,000",-,"11,188,500",-,55.0,∞,167,0
,Sub-Total,"63,460,000","110,000,000","40,564,100","110,000,000",63.9,100.0,167,0
"Economic
Planning and
Coordination","Monitoring and Eval-
uation","19,169,668","24,000,000","6,999,306",-,36.5,-,167,0
,"Budget Formulation &
Coordination","17,831,730","5,000,000","970,900",-,5.4,-,167,0
,"Monitoring & Evalu-
ation","8,573,814",-,"505,300",,5.9,∞,167,0
,Sub-Total,"45,575,212","29,000,000","8,475,506",-,18.6,-,167,0
"Cohesion and
Peace Building","Administrative and
Civic Education
Services","11,176,734",-,"4,790,605",,42.9,∞,167,0
,Peace and Cohesion,"11,755,266",-,"1,809,600",,15.4,∞,167,0
,"Violent Extremism Pre-
vention","2,220,000",-,"150,000",,6.8,∞,167,0
,Sub-Total,"25,152,000",-,"6,750,205",-,26.8,∞,167,0
"Revenue En-
hancement","General Administration
Planning & Support
Services","12,071,000",-,"4,028,171",,33.4,∞,167,0
,"Source Revenue En-
hancement","3,143,000",-,"371,000",-,11.8,∞,167,0
,Sub-Total,"15,214,000",-,"4,399,171",,28.9,∞,167,0
,,Rec,Dev,Rec,Dev,Rec,Dev,168,0
"ICT and
E-Government
services","ICT Innovation and
Enterprises","9,600,000",-,"3,365,870",,35.1,∞,168,0
,"County Government
Public Image Improve-
ment","1,500,000",-,0,,-,∞,168,0
,"E- E-Government
Services",0,-,,-,∞,∞,168,0
,Sub-Total,"11,100,000",-,"3,365,870",-,30.3,∞,168,0
"County Treasury and Economic Planning
….. Total",,"495,645,882","680,462,813","278,051,551","503,917,714",56.1,74.1,168,0
"Lands, Urban Planning, Roads, Housing and Public Works",,,,,,,,168,0
"Land Survey
and land use
planning","County land planning
and spatial develop-
ment","21,735,137",,"623,848",,2.9,∞,168,0
,Land Use Planning,0,"38,000,000",0,"5,151,700",∞,13.6,168,0
