Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25 (Kshs.)
Rec Dev",col_3,"Actual Expenditure as at 31
March 2025 (Kshs.)",col_5,Absorption Rate (% ),col_7,page_number,table_index,"Gross Approved Estimates FY
2024/25 (Kshs.)"
,,,Dev,Rec,Dev,Rec,Dev,221,1,
County Assembly of Kiambu,,,,,,,,221,1,
"Legislation and over-
sight","Legislation and over-
sight","726,291,445",-,"373,970,337",-,51,-,221,1,
"General Administration
Planning and Support
Services","General Administration
Planning and Support
Services","544,276,541","110,000,000","241,500,593",-,44,-,221,1,
Representation services,Representation services,"148,047,672",-,"76,713,745",-,52,-,221,1,
Grand Total,,"1,418,615,658","110,000,000","692,184,675",-,49,-,221,1,
COUNTY EXECUTIVE,,,,,,,,221,1,
"Leadership & Coordina-
tion of County Admin
& Departments","General Administration
and Support Services
Public Awareness and
Institutional Strength-
ening
Legal services","402,912,683",-,"251,032,784",-,62,0,221,1,
,,"24,070,000",-,"9,274,736",-,39,,221,1,
,,"49,500,000",-,"17,862,463",-,36,0,221,1,
TOTAL,,"476,482,683",-,"278,169,983",-,58,0,221,1,
DEPARTMENT: COUNTY PUBLIC SERVICE BOARD,,,,,,,,221,1,
"Leadership and Ad-
ministration of Human
Resource and Develop-
ment in County Public
Service","Human Resource devel-
opment and manage-
ment services","92,888,220",0,"40,946,725",0,44,0,221,1,
TOTAL,,"92,888,220",-,"40,946,725",0,44,0,221,1,
"DEPARTMENT: FINANCE, ICT& ECONOMIC PLANNING.",,,,,,,,221,1,
"Public Finance Man-
agement and Economic
Policy & Strategy","Budget
Revenue
Accounting
Internal Audit","14,955,200",0,"4,052,868",0,27,0,221,1,
,,"397,198,931","15,780,000","105,673,806",0,27,0,221,1,
,,"62,500,000",0,"40,237,115",0,64,0,221,1,
,,"10,387,800",0,"2,729,895",0,26,0,221,1,
,,,Dev,Rec,Dev,Rec,Dev,222,0,Rec
,Economic Planning,,,"5,542,885",,50,,222,0,"11,157,000"
"General Adminis-
tration and support
services","General Administration
and support services",,"5,000,000","646,882,354",0,63,0,222,0,"1,030,776,352"
ICT Services,ICT services,,"163,000,000","32,157,932","15,000,000",54,9,222,0,"60,000,000"
Totals,,,"183,780,000","837,276,855","15,000,000",53,8,222,0,"1,586,975,283"
"DEPARTMENT: WATER, ENVIRONMENT, ENERGY & NATURAL RESOURCES",,,,,,,,222,0,
"Department of Water Environment, Energy
&Natural Resources",,,,,,,,222,0,
"Water and environment
administration","Administration, Plan-
ning & Support Services",,-,"303,805,075",-,53,0,222,0,"573,513,432"
Water,"Water Resource Man-
agement and Sanitation",,"201,116,139",-,"78,032,935",0,39,222,0,-
Natural Resources,"Natural Resources,
Forest Conservation
and Management",,"8,700,000",-,"2,993,000",0,34,222,0,-
Environment,"Environment and Solid
Waste Management",,"25,328,380",-,"9,438,390",0,37,222,0,-
"Renewable Energy and
Climate Change","Climate Change Mitiga-
tion &Adaptation",,"315,812,975",-,"2,531,500",0,1,222,0,-
Grand Total,,,"550,957,494","303,805,075","92,995,825",53,0,222,0,"573,513,432"
DEPARTMENT: HEALTH SERVICES,,,,,,,,222,0,
Health Services,Curative,,"846,744,990","1,052,289,527","424,386,603",70,50,222,0,"1,507,195,602"
Health Services,"Preventive and Pro-
motive",,0,"78,303,923",0,21,0,222,0,"371,107,042"
Health Services,Pharmaceuticals,,0,"52,693,856",0,44,0,222,0,"120,000,000"
Health Services,"Administration and
Support",,0,"3,583,782,787",0,71,0,222,0,"5,017,869,476"
TOTAL,,,"846,744,990","4,767,070,093","424,386,603",68,50,222,0,"7,016,172,120"
"DEPARTMENT: ROADS, TRANSPORT, PUBLIC WORKS & UTILITIES",,,,,,,,222,0,
"Maintenance of Road,
Bridges, Transport,
Construction and Main-
tenance","General administration
and support
services",,0,"468,925,013",0,59,0,222,0,"788,314,721"
,"Construction of roads
and civil works",,"2,109,589,721",0,"336,937,020",0,16,222,0,0
TOTAL,,,"2,109,589,721","468,925,013","336,937,020",59,16,222,0,"788,314,721"
DEPARTMENT: ADMINISTRATION & PUBLIC SERVICE,,,,,,,,222,0,
Administration & Public Service,,,,,,,,222,0,
"P1: General Admin-
istration, Planning &
Support Services","SP1: Administration
and Financial Services",,"47,549,484","563,308,685","1,352,180",60,3,222,0,"945,422,785"
,"SP2: Enforcement,
Monitoring & Compli-
ance services",,-,-,,0,0,222,0,"15,000,000"
,"SP3: Betting and Gam-
ing Services",,-,-,,0,0,222,0,"13,500,000"
,"SP4: KDSP II Level 1 &
2 Grant",,-,-,-,0,0,222,0,"37,500,000"
,Sub Total,,"47,549,484","563,308,685","1,352,180",56,3,222,0,"1,011,422,785"
Administration & Public Service,,,,,,,,222,0,
"P2: Alcoholic Drinks
Control and Rehabili-
tation","SP1: Rehabilitation and
Intervention on alcohol
and substance abuse",,"40,000,000","15,000,000",-,50,0,222,0,"30,000,000"
,,,Dev,Rec,Dev,Rec,Dev,223,0,Rec
,Sub-Total,,"40,000,000","15,000,000",-,50,0,223,0,"30,000,000"
Administration & Public Service,,,,,,,,223,0,
"P3: Human Resource
Management and De-
velopment Services","SP1: Human Resource
Management Services",,-,"5,173,931",-,16,0,223,0,"32,306,500"
,"SP2: Human Resource
Development Services",,-,-,-,0,0,223,0,"2,773,500"
,Sub-Total,,-,"5,173,931",-,15,0,223,0,"35,080,000"
Grand Total,,,"87,549,484","583,482,616","1,352,180",54,2,223,0,"1,076,502,785"
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND COOPERATIVE DEVELOPMENT",,,,,,,,223,0,
"Agriculture, Livestock
and Cooperative Devel-
opment","General Administra-
tion, Planning and
Support Services",,-,"260,458,147",-,58,0,223,0,"449,408,841"
,"Crop Development, Ir-
rigation and Marketing
Services",,"460,015,152",0,"158,733,400",0,35,223,0,"806,000"
,"Livestock and Fisheries
Management and
Development",,"210,583,074","4,522,194","30,363,624",14,14,223,0,"33,155,781"
,"Cooperative Develop-
ment and Management",,"40,000,000","5,362,759",-,13,0,223,0,"40,500,000"
Total Amount,,,"710,598,226","270,343,100","189,097,024",52,27,223,0,"523,870,622"
"DEPARTMENT: EDUCATION, CULTURE & SOCIAL SERVICES",,,,,,,,223,0,
"Pre-primary Edu, Pro-
motion of Culture and
Social Services","Pre-primary Edu, Pro-
motion of Culture and
Social Services",,"817,088,955","435,119,594","498,472,089",86,61,223,0,"504,140,000"
,"Gender, Culture and
Social Services",,"30,000,000","3,205,000",-,9,0,223,0,"36,130,000"
,"General administration
and support services",,-,"646,469,202",-,63,0,223,0,"1,023,683,042"
,TOTALS,,"847,088,955","1,084,793,796","498,472,089",69,59,223,0,"1,563,953,042"
"DEPARTMENT: YOUTH AFFAIRS, SPORTS & COMMUNICATION",,,,,,,,223,0,
"Youth Affairs, Sports
and Communication",Youth Affairs,,0,"2,680,000",0,21,0,223,0,"12,900,000"
,Sports,,0,"4,505,777",0,8,0,223,0,"53,400,000"
,Communication,,0,"17,438,865",0,62,0,223,0,"27,950,000"
,General Administration,,0,"42,882,478",0,47,0,223,0,"90,892,827"
