Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,233,1
Devolution,,,,,,,,233,1
,Sub-programme,"34,970,478",-,"1,564,37",0 -,5,,233,1
,Sub-Programme,"75,000,000",-,"7,812,51",0 -,10,,233,1
,Sub Total,"109,970,478",-,"9,376,88",0 -,9,,233,1
Grand Total,,"109,970,478",-,"9,376,88",0 -,9,,233,1
,,Rec,Dev,Rec,Dev,Rec,Dev,234,0
"Economic Plan-
ning","Administration, Planning and
Support Services","4,715,577","35,000,000","500,000",-,11,-,234,0
,"Economic Planning and Statis-
tical Services","128,050,000",-,"2,142,890",-,2,-,234,0
,"Public Investment Manage-
ment","19,500,000",-,-,-,,-,234,0
,Grand Total,"152,265,577","35,000,000","2,642,890",-,2,,234,0
Energy,"Administration, Planning and
Support Services","500,000",-,-,"4,999,285",,-,234,0
,Sub Total,500000,-,-,,,,234,0
,"Alternative energy technol-
ogies",-,95154183,-,"4,999,285",-,5,234,0
,Sub-Total,-,95154183,-,"4,999,285",,5,234,0
,Grand Total,500000,95154183,-,"4,999,285",,5,234,0
Early Childhood Development Education & Vocational Training,,,,,,,,234,0
,"Administration & Support
Services","818,427,721",-,"509,129,166",-,62,-,234,0
,Sub Total,"818,427,721",-,"509,129,166",-,62,,234,0
,Free Primary Education,"12,130,595","538,921,429","166,700","68,069,132",1,13,234,0
,Sub-Total,"12,130,595","538,921,429","166,700","68,069,132",1,13,234,0
,"Ward Scholarship Adminis-
tration","500,000,000",-,"330,000,000",-,66,-,234,0
,Sub-Total,"500,000,000",-,"330,000,000",-,66,,234,0
,"Vocational Education &
Training","12,350,000","53,827,322","1,245,400","34,722,030",10,65,234,0
,Sub-Total,"12,350,000","53,827,322","1,245,400","34,722,030",10,65,234,0
Grand Total,,"1,342,908,316","592,748,751","840,541,266","102,791,162",61,17,234,0
Department: County Public Service Board,,,,,,,,234,0
,"Administration, Planning and
Support Services","80,003,904",-,"28,687,474",-,36,-,234,0
,Recruitment and Selection,"35,926,956",-,"1,487,405",-,4,-,234,0
,Grand Total,"115,930,860",-,"30,174,880",-,26,,234,0
"Department of Water, Sanitation, and Natural Resources",,,,,,,,234,0
,"Administration, planning and
support services","1,000,000",-,"- 1,000,000",-,-100,-,234,0
,Sub Total,"1,000,000",-,"- 1,000,000",-,-100,,234,0
"Department of Water, Sanitation and Natural Resources",,,,,,,,234,0
,"Environment Management
and Protection",-,"45,850,000",,"10,148,530",,22,234,0
,Sub-Total,-,"45,850,000",-,-,,,234,0
Grand Total,,"1,000,000","45,850,000","- 1,000,000",-,-100,,234,0
Health,,,,,,,,234,0
,Non-communicable Diseases,"3,210,484,541","858,799,504","2,756,513,745","429,389,307",86,50,234,0
,Grand Total,"3,210,484,541","858,799,504","2,756,513,745","429,389,307",86,50,234,0
Gender & Social Services,,,,,,,,234,0
,"Administration, Planning and
Support Services","47,097,980",-,"37,405,848",-,79,-,234,0
,P2. Culture and Arts,"5,000,000",-,"699,500",---,14,-,234,0
,Gender Development,"17,430,000.00",-,1236855,,7,-,234,0
,Grand Total,"69,527,980.00",,"39,342,203",,56,,234,0
Information Communication Technology,,,,,,,,234,0
,"Administration, Planning and
Support Services","6,064,960",-,"2,693,800",-,44,-,234,0
,,Rec,Dev,Rec,Dev,Rec,Dev,235,0
,Sub Total,"6,064,960",-,"2,693,800",-,44,,235,0
,"ICT Infrastructure Develop-
ment/ E-Government Services","31,500,000",-,"1,995,000",,6,-,235,0
,Sub Total,"31,500,000",-,"1,995,000",-,6,,235,0
Grand Total,,"37,564,960",-,"4,688,800",-,13,,235,0
"Division of Lands, Energy, Physical Planning and Development Control",,,,,,,,235,0
,"Administration, Planning and
Support Services","15,459,418",-,"6,097,000",-,39,-,235,0
,Sub Total,"15,459,418",,"6,097,000",-,39,,235,0
,"Housing Development and
Human Settlement",-,"708,910,785","6,097,000","2,700,713",-,-,235,0
,Sub-Total,-,"708,910,785","6,097,000","2,700,713",,,235,0
,"Urban Development and
Management",-,"680,510,785",,"282,841,440",-,42,235,0
,Sub-Total,-,"680,510,785",,"282,841,440",,42,235,0
,Grand Total,"15,459,418","1,389,421,570","12,194,000","285,542,153",79,21,235,0
Division of Lands and Physical Planning,,,,,,,,235,0
,"Administration, Planning and
Support Services","74,357,777",-,"43,044,778",-,58,-,235,0
,Sub Total,"74,357,777",,"43,044,778",-,58,,235,0
,Land use,"1,000,000",-,-,-,,-,235,0
,"Land Survey, Mapping and
Valuation","1,000,000",-,-,-,,-,235,0
,Sub-Total,"2,000,000",-,-,-,,,235,0
,"Physical Planning and Devel-
opment",-,"63,816,327",-,"8,998,909",,14,235,0
,Sub-Total,-,"63,816,327",,"8,998,909",,14,235,0
,"Land Survey, Mapping and
Valuation",-,"49,059,440",-,-,,-,235,0
,,-,"49,059,440",-,-,,,235,0
,Grand Total,"76,357,777","112,875,767","43,044,778","8,998,909",57,8,235,0
"Office of the Gov-
ernor",Administrative services,"394,093,227",,"211,087,966",-,54,-,235,0
,Sub Total,"394,093,227",-,"211,087,966",-,54,-,235,0
,"Governance and national
values","33,339,369",-,"13,529,047",,41,-,235,0
,Sub-Total,"33,339,369",-,"13,529,047",-,41,,235,0
,Grand Total,"427,432,596",-,"224,617,013",-,53,,235,0
"Resource Mobilisa-
tion",Resource Mobilisation,"317,697,153",-,"317,697,153","19,767,338",100,-,235,0
,Grand Total,"317,697,153",-,"317,697,153","19,767,338",100,,235,0
Livestock,,,,,,,,235,0
,Sub-programme,"24,778,160","72,189,630","5,485,724","23,322,135",22,32,235,0
,Sub-Programme,,,,,,,235,0
,Sub Total,"24,778,160","72,189,630","5,485,724","23,322,135",22,32,235,0
,Grand Total,"24,778,160","72,189,630","5,485,724","23,322,135",22,32,235,0
"Public Service
Management",,,,,,,,235,0
,Sub-programme,"1,530,851,464","100,000,000","110,982,194","43,255,419",7,43,235,0
,Sub-Programme,"5,400,000",-,-,-,-,-,235,0
,Grand Total,"1,536,251,464","100,000,000","110,982,194","43,255,419",7,43,235,0
Trade,,,,,,,,235,0
,"Administration, Planning and
Support Services","77,228,381","9,310,756","52,251,373",-,68,,235,0
,,Rec,Dev,Rec,Dev,Rec,Dev,236,0
,Sub Total,"77,228,381","9,310,756","52,251,373",-,68,,236,0
,Market Development,"24,384,761","373,242,109","3,342,440","37,667,215",14,10,236,0
,Trade Development,-,"201,000,000",-,-,,,236,0
,. Investment Promotion,-,"145,000,000",-,"2,422,000",,2,236,0
,Sub-Total,"24,384,761","719,242,109","3,342,440","40,089,215",14,6,236,0
,Grand Total,"101,613,142","728,552,865","55,593,813","40,089,215",55,6,236,0
"Water, Sanitation, and Natural Resources",,,,,,,,236,0
,"Administration, planning and
support services","111,060,749",-,"93,566,451",-,84,,236,0
,Sub Total,"111,060,749",-,"93,566,451",-,84,,236,0
,Water resources management,-,"2,890,718,206",,"849,156,148",,29,236,0
,Sub-Total,-,"2,890,718,206",-,"849,156,148",,29,236,0
,Grand Total,"111,060,749","2,890,718,206","93,566,451","849,156,148",84,29,236,0
Tourism,,,,,,,,236,0
,"Sub-Programme 1.1: Tourism
promotion and marketing","50,856,734","40,102,989","11,546,624","19,459,254",23,49,236,0
,Sub Total,"50,856,734","40,102,989","11,546,624","19,459,254",23,49,236,0
,Grand Total,"50,856,734","40,102,989","11,546,624","19,459,254",23,49,236,0
Finance,"Administration, Planning and
Support Service","923,582,627","310,797,550","435,257,100","157,674,089",47,51,236,0
,"Budget Formulation, Coordi-
nation and Management","47,400,000",-,"23,922,310",-,51,,236,0
,Audit Services,"17,770,000",-,"454,457",-,3,,236,0
,Accounting Services,"61,850,000",-,"15,936,402",-,26,,236,0
,"Public Procurement and Dis-
posal Services","46,363,790",-,"381,181",-,0.8,,236,0
,Grand Total,"1,096,966,417","310,797,550","475,951,450","157,674,089",43,51,236,0
Agriculture,,,,,,,,236,0
,Sub-programme 1,"233,605,723","151,515,152","125,274,566",-,54,,236,0
,Sub Total,"233,605,723","151,515,152","125,274,566",-,54,,236,0
,Sub-programme 2,"23,991,850","182,580,856","10,302,537","174,113,702",43,95,236,0
,Sub-Total,"23,991,850","182,580,856","10,302,537","174,113,702",43,95,236,0
,Sub-programme 3,"1,661,000","2,500,000","775,000","998,920",47,40,236,0
,Sub-Total,"1,661,000","2,500,000","775,000","998,920",467,40,236,0
,Grand Total,"259,258,573","336,596,008","136,352,103","175,112,622",52,52,236,0
Blue Economy,,,,,,,,236,0
,Sub-programme 1,"19,011,800","51,435,949","2,895,719","28,877,910",15,56,236,0
,Sub Total,"19,011,800","51,435,949","2,895,719","28,877,910",15,56,236,0
,Sub-programme 2,"19,800,738","51,435,949","5,029,865","19,554,802",25,38,236,0
,Sub-Total,"19,800,738","51,435,949","5,029,865","19,554,802",25,38,236,0
,Grand Total,"38,812,538","102,871,898","7,925,584","48,432,712",20,47,236,0
