Programme,Sub-Programme,Gross Approved Estimates FY 2024/25,col_3,Expenditure,col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,313,1
"DEPARTMENT: COUNTY COORDINATION, ADMINISTRATION, ICT AND PUBLIC SERVICE",,,,,,,,313,1
"P3 General Adminis-
tration and Planning","Headquarters Admin-
istration Services –
0103014510","14,709,072",-,"9,018,699",-,61,0,313,1
,"ICT Infrastructure
and Connectivity –
0505014510","2,190,928",-,"228,900",-,10,,313,1
,"County Administration -
Laikipia East- 0701034510","850,000",-,"100,000",-,12,0,313,1
,"County Administra-
tion - Laikipia North –
0701044510","1,300,000",-,"40,000",-,3,0,313,1
,"Grants and Transfers to
Government entities –
0717014510","37,503,043","286,323.00","628,060",-,2,0,313,1
,"County Administra-
tion - Laikipia West –
0701054150","450,000",-,"50,000",-,11,0,313,1
,,Rec,Dev,Rec,Dev,Rec,Dev,314,0
,"County Administration -
Sports Promotion Services
– 902054510","5,705,100",,"5,211,700",,91,,314,0
,"County Administration -
Sports Promotion Services
- 0901054510",-,-,-,-,,0,314,0
Sub Total,,"62,708,143","286,323","15,277,359",-,24,,314,0
"General Administra-
tion and Planning","Compensation To Em-
ployees- 0701064510","3,596,255,593",,"2,242,711,458",-,62,0,314,0
Sub-Total,,"3,596,255,593",-,"2,242,711,458",-,62,,314,0
COUNTY ADMINISTRATION,,,,-,,,,314,0
"County Executive
Committee Support","Executive Support Ser-
vice- 0708014510","52,000,000",,"25,170,239",-,48,0,314,0
,"Legal Services -
0708024510","3,045,284",,"1,485,940",-,49,0,314,0
,"Intergovernmental & Do-
nor Liason – 0708034510","29,500,000",,"1,622,290",-,5,0,314,0
Sub-Total,,"84,545,284",-,"28,278,469",-,33,,314,0
"County Adminis-
tration","Public Participation -
0702054150","2,000,000",-,"667,500",-,33,0,314,0
,"County Services Delivery
and Result Report -
0702084510","3,100,000",-,-,-,0,0,314,0
,"Decentralised Services -
0701064510",-,-,-,-,,,314,0
