Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 31
March 2025",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,372,1
"Agriculture, Livestock and Fisheries",,,,,,,,372,1
"General Adminis-
tration & Support
Services","General Administration
& Support Services","183,998,598",-,"94,098,732",-,51,0,372,1
"Livestock Resources
Management and
Development","Livestock Resources
Management and Devel-
opment","78,250,000","105,823,301","23,667,800","57,823,301",30,55,372,1
"Food Security and Sus-
tainable Agriculture","Crop Management and
Development","62,900,000","427,399,967","43,754,100","80,916,025",70,19,372,1
"Irrigation Develop-
ment and Management","Irrigation Development
and Management","24,200,000","111,325,484","6,800,000","41,109,998",28,37,372,1
,Sub Total,"349,348,598","644,548,752","168,320,632","179,849,324",48,28,372,1
Land and Urban Development,,,,,,0,0,372,1
"General Adminis-
tration & Support
Services","General Administration
& Support Services","69,153,340",-,"40,279,763",-,58,0,372,1
"Land Use Planning and
Survey","Land Use Planning and
Survey","41,550,000","48,926,640","20,900,000","20,002,600",50,41,372,1
"Physical Planning,
housing, and urban
development","Physical Planning,
housing, and urban
development","4,200,000","528,208,000","2,155,800","253,388,205",51,48,372,1
"Solid Waste Manage-
ment",Solid Waste Management,"128,684,879",-,"88,948,360",-,69,0,372,1
,Sub-Total,"243,588,219","577,134,640","152,283,923","273,390,805",63,47,372,1
,,Rec,Dev,Rec,Dev,Rec,Dev,373,0
"Roads, Public Works and Transport",,,,,,0,0,373,0
"General Adminis-
tration & Support
Services","General Administration
& Support Services","156,225,616",-,"96,960,234",-,62,0,373,0
"Road And Air Trans-
port Infrastructure
Development","Road And Air Transport
Infrastructure Develop-
ment","127,491,417","876,327,815","89,003,187","349,686,800",70,40,373,0
"Public Works Manage-
ment","Public Works Manage-
ment","10,900,000","39,000,000","6,400,000","17,988,034",59,46,373,0
,Sub-Total,"294,617,033","915,327,815","192,363,421","367,674,834",65,40,373,0
Trade and Cooperative Development,,,,,,0,0,373,0
"General Administra-
tion and Planning","General Administration
and Planning","42,749,748",-,"27,393,402",-,64,0,373,0
"Cooperative Develop-
ment and Promotion","Cooperative Develop-
ment and Promotion","7,400,000","15,449,789","3,700,000","7,449,789",50,48,373,0
"Trade Development
and Promotion","Trade Development and
Promotion","10,400,000","397,000,000","8,500,000","5,152,174",82,1,373,0
,Sub-Total,"60,549,748","412,449,789","39,593,402","12,601,963",65,3,373,0
Health Services,,,,,,0,0,373,0
"General Administra-
tion and Planning","General Administration
and Planning","1,525,499,284",-,"938,547,603",-,62,0,373,0
"Preventive, Promotive
and Reproductive
Health Services","Preventive, Promotive
and Reproductive Health
Services","129,523,501","209,373,070","26,994,600","26,164,859",21,12,373,0
"Curative, Rehabili-
tative, and Referral
Services","Curative, Rehabilitative,
and Referral Services","510,425,547","282,708,633","310,809,214","108,056,027",61,38,373,0
,Sub-Total,"2,165,448,332","492,081,703","1,276,351,417","134,220,886",59,27,373,0
Education and Human Capital Development,,,,,,0,0,373,0
"General Administra-
tion and Planning","General Administration
and Planning","1,009,626,588",-,"681,388,052",-,67,0,373,0
"Early Childhood
Education","Early Childhood Edu-
cation","102,650,000","248,285,210","46,350,000","91,995,678",45,37,373,0
"Vocational and Techni-
cal Training Services","Vocational and Technical
Training Services","15,500,000","23,049,894","2,700,000","15,049,894",17,65,373,0
"Education Support
Services","Education Support
Services","4,500,000",-,"2,300,000",-,51,0,373,0
,Sub-Total,"1,132,276,588","271,335,104","732,738,052","107,045,572",65,39,373,0
County Executive Services,,,,,,0,0,373,0
