Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 31
March 2025",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,438,0
THE EXECUTIVE,,,,,,,,438,0
Programme 1,"General Administration and
Human Resource Planning
Services","154,760,063",0,"110,430,085",,71.36,,438,0
,"Governor’s and Deputy Gover-
nor’s Affairs","49,500,000","15,000,000","18,421,038",,37.21,0.00,438,0
,"Protocol, Hospitality and Com-
munication","23,000,000","20,000,000","9,997,745",,43.47,0.00,438,0
,"Governor’s Advisory Council
and special programs","10,000,000",0,"2,229,858",,22.30,0.00,438,0
,County Secretary’s Affairs,"9,000,000","2,000,000","2,471,994",,27.47,0.00,438,0
,"Cabinet affairs, Service delivery
Unit, Intergovernmental and
Public service Transformation","7,200,000",0,"3,592,247",,,,438,0
,Sub Total,"253,460,063","37,000,000","147,142,967",0,58.05,0.00,438,0
COUNTY ASSEMBLY,,,,,,,,438,0
"Human
resource man-
agement",Compensation to employees,"479,727,228","80,000,000","312,515,600","29,857,129",,0.00,438,0
,Use of goods and services,"190,436,943",,"111,449,230",,,0.00,438,0
Legal,Use of goods and services,"143,571,762",,"103,440,259",,,0.00,438,0
,,"813,735,933","80,000,000","527,405,089","29,857,129",,37.32,438,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,438,0
Programme 3,Administration Unit,"131,692,825","10,000,000","73,771,374",0,56.02,0.00,438,0
,,,,,,,,438,0
,Sub-Total,"131,692,825","10,000,000","73,771,374",0,56.02,0.00,438,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,438,0
Programme 4,Administration Unit,"731,605,778",0,"549,972,147","20,090,651",75.17,,438,0
,"Financial Management Ser-
vices- Accounting Unit","260,195,498","366,129,808","182,234,172","383,559,320",70.04,104.76,438,0
,Planning and Monitoring Unit,"111,806,607","23,000,000","83,660,085",,74.83,0.00,438,0
,Digital Transformation,"26,876,558","53,383,192","7,954,284","19,934,830",,,438,0
,Sub-Total,"1,130,484,441","442,513,000","823,820,687","423,584,801",72.87,95.72,438,0
ENVIRONMENT & GOVERNANCE,,,,,,,,438,0
Programme 5,"Administration, Planning and
Support Services","739,535,878",,"496,477,132","2,717,418",67.13,,438,0
,"Environment Compliance and
Enforcement","18,700,000","21,800,000","7,419,486","33,804,325",39.68,155.07,438,0
,Solid Waste Management,"19,660,000","169,000,000","14,857,672","100,280,427",75.57,59.34,438,0
,"Public Affairs and Empower-
ment Programs","108,750,000",,"2,099,138",,,,438,0
,"County Administration and
Serikali Mitaani","10,370,000","40,000,000","3,314,490",,,,438,0
,"Inspectorate, Enforcement and
Compliance","7,450,000","17,000,000","491,379",,,,438,0
,Sub-Total,"904,465,878","247,800,000","524,659,297","136,802,170",58.01,55.21,438,0
,,Rec,Dev,Rec,Dev,Rec,Dev,439,0
Education,,,,,,,,439,0
Programme 6,"General Administration, Plan-
ning and Support Services","343,676,025","44,000,000","225,315,644","5,938,264",65.56,13.50,439,0
,Early Childhood Education,"15,500,000","84,000,000",,"18,632,513",0.00,22.18,439,0
,"Vocational Training & Edu-
cation","3,000,000","12,000,000",,"2,775,303",0.00,23.13,439,0
,Child Care,"3,000,000","11,000,000","473,000",,15.77,0.00,439,0
,Elimu Fund,"499,200,000",,"169,500,000",,33.95,0.00,439,0
,,,,,,0.00,0.00,439,0
,Sub-Total,"864,376,025","151,000,000","395,288,644","27,346,080",45.73,18.11,439,0
HEALTH SERVICES,,,,,,,,439,0
Programme 7,Administration Unit,"3,285,636,744","178,374,932","2,243,175,507",,68.27,0.00,439,0
,"Preventive and Promotive
Health Services","157,680,000","27,000,000","6,086,247",,3.86,0.00,439,0
,"Curative/Clinical Health
Services","132,000,000","59,625,068","34,648,127","9,631,035",26.25,16.15,439,0
,Special Programs,"12,000,000",0,,0,0.00,,439,0
,"Coast General Teaching and
Referral Hospital","650,000,000","335,000,000","71,847,213",,11.05,0.00,439,0
,Sub-Total,"4,237,316,744","600,000,000","2,355,757,094","9,631,035",55.60,1.61,439,0
"WATER, NATURAL RESOURCES & CLIMATE CHANGE RESILIENCE",,,,,,,,439,0
Programme 8,Administration unit,"170,042,057","1,000,000,000","105,166,012","234,539,000",61.85,23.45,439,0
,Natural Resources Management,"7,443,830","2,000,000","3,135,523","466,898",42.12,23.34,439,0
,"Sanitation Services and Man-
agement","7,700,000",0,,,0.00,,439,0
,Water Supply and Management,"12,200,000",0,,,0.00,,439,0
,"Climate Change & Renewable
Energy","19,850,000","102,050,260","444,877",,2.24,0.00,439,0
,,,,,,,,439,0
,,,,,,,,439,0
,Sub-Total,"217,235,887","1,104,050,260","108,746,412","235,005,898",50.06,21.29,439,0
"PUBLIC SERVICE ADMINISTRATION, YOUTH, GENDER, SOCIAL SERVICES & SPORTS",,,,,,,,439,0
Programme 9,"Administration, planning, and
support services","692,517,956",0,"524,266,404",,75.70,,439,0
,"Human Resource Management
& Development","54,300,000",0,"5,065,300",,9.33,0.00,439,0
,Public Service Reforms,"45,700,000",0,,,0.00,,439,0
,"Youth Affairs & Sports Devel-
opment","13,400,000","270,000,000","3,146,208","75,473,768",23.48,27.95,439,0
,"Gender, PWD Integration and
Social Services","15,600,000",0,"3,173,202","431,661",20.34,,439,0
,,,,,,,,439,0
,,,,,,,,439,0
,Sub-Total,"821,517,956","270,000,000","535,651,114","75,905,429",65.20,28.11,439,0
"TOURISM, CULTURE & TRADE",,,,,,,,439,0
Programme 10,"General Administration, Plan-
ning & support services","335,649,661",0,"225,639,510",,67.22,0.00,439,0
,"Trade Development and Mar-
kets/ Consumer Protection","13,555,000","239,500,000","7,322,559","48,225,927",54.02,20.14,439,0
,E-Licensing & Services,"1,470,000",0,"500,000",,34.01,,439,0
,"Tourism Marketing and Product
Development","78,885,000",0,"1,289,181","1,756,821",1.63,,439,0
,Cultural Affairs,"8,900,000",0,"5,113,683",,57.46,0.00,439,0
