Municipal Development Program,10109410 Solid Waste Management,-,-_1,col_4,col_5,0.0,0.0_1,page_number,table_index
,101104010 Infrastructure Development,-,-,,,0.0,0.0,451,2
,Urban Management,"1,950,000","45,371,824","805,000",-,41.3,0.0,451,2
,102074010 Urban Development and Support,-,-,,,0.0,0.0,451,2
,109024010 Other Municipalities,-,-,,,0.0,0.0,451,2
,703014010 Revenue Automation,-,-,,,0.0,0.0,451,2
,"706014010 General Administration Planning and Support
Services","57,357,233",-,"39,281,516",,68.5,0.0,451,2
"Public Works and Infrastructure
development",Infrastructure improvement,-,-,,,0.0,0.0,451,2
Sub Total,,"59,307,233","45,371,824","40,086,516",-,67.6,0.0,451,2
Kenol Municipality,,,,,,0.0,0.0,451,2
General Administration and Planning,General Administration and Planning,"23,476,200",-,"896,000",,3.8,0.0,451,2
,Infrastructure Improvement,-,"5,000,000",,,0.0,0.0,451,2
,Urban Development Grant,-,"35,371,824",,,0.0,0.0,451,2
Sub Total,,"23,476,200","40,371,824","896,000",-,3.8,0.0,451,2
Kangari Municipality,,,,,,0.0,0.0,451,2
General Administration and Planning,General Administration and Planning,"23,000,000",,"500,000",,2.2,0.0,451,2
,Infrastructure Improvement,-,"10,000,000",,,0.0,0.0,451,2
,Urban Development Grant,-,-,,,0.0,0.0,451,2
Sub Total,,"23,000,000","10,000,000","500,000",-,2.2,0.0,451,2
Devolution and External Linkages,,,,,,0.0,0.0,451,2
General Administration and Planning,General Administration and Planning,"51,000,000",-,"1,379,400",-,2.7,0.0,451,2
,Infrastructure Improvement,,,-,-,0.0,0.0,451,2
Sub Total,,"51,000,000",-,"1,379,400",-,2.7,0.0,451,2
County Assembly,,,,,,0.0,0.0,451,2
Legislation and representation,Legislation and representation,"362,105,165.00",-,"232,344,855",,64.2,0.0,451,2
Oversight,Oversight,"180,893,193.00",-,"119,161,068",,65.9,0.0,451,2
"Administration, planning, and support","Administration, planning, and support","282,816,476.00","40,000,000.00","150,253,793",,53.1,0.0,451,2
Sub Total,,"825,814,834","40,000,000","501,759,716",-,60.8,0.0,451,2
Grand Total,,"7,525,454,362","3,218,196,723","4,439,874,188","1,045,791,460",59.0,32.5,451,2
,,,,,,,,451,2
