Dept,Prog,Sub Program,"Gross Approved Estimates FY
2024/25",col_4,"Actual Expenditure as of 31
March 2025",col_6,"Absorption Rate
(%)",col_8,page_number,table_index
,,,Rec.,Dev.,Rec.,Dev.,Rec.,Dev.,610,1
,,,,,,,,,610,1
Office of the Governor & Deputy Governor,,,"152,585,700",-,"71,407,169",-,47,-,610,1
,County Government Advisory Services,,"53,750,800",-,"28,357,574",-,53,-,610,1
,Communication & Strategy,,"10,700,000",-,"2,281,180",-,21,-,610,1
,,"Public Sector Advisory Services
(Legal & Economic Advisors)","43,050,800",-,"26,076,394",-,61,-,610,1
County Leadership & Coordination of MDAs,,,"5,280,000",-,"2,246,500",-,43,-,610,1
,,"Coord of CMAs (Office of County
Secretary)","5,280,000",-,"2,246,500",-,43,-,610,1
,"Gen. Admin., Planning & Support Services",,"93,554,900",-,"40,803,095",-,44,-,610,1
,,"Coord & Supervisory Services
(Deputy Governor’s Office)","28,920,000",-,"7,703,600",-,27,-,610,1
,,,Rec.,Dev.,Rec.,Dev.,Rec.,Dev.,611,0
,,"Management of County Affairs
(Office of the Governor)","64,634,900",-,"33,099,495",-,51,-,611,0
"Roads, Infrastructure, Public Works & Urban Dev.",,,"293,360,000","897,756,034","135,644,251","236,369,803",46,26,611,0
,Chuka Municipality Dev. Programme,,"14,000,000",-,"8,500,000",-,61,-,611,0
,,"Chuka Municipality Admin. &
Management","14,000,000",-,"8,500,000",-,61,-,611,0
,Gen. Admin. Planning & Support Services,,"33,900,400","4,000,000","32,201,264",-,95,-,611,0
,,Gen. Admin. Services,"33,900,400","4,000,000","32,201,264",-,95,-,611,0
,Kathwana Municipality Dev. Program,,"11,550,000",-,"9,580,199",-,83,-,611,0
,,Kathwana Urban Area Support,"11,550,000",-,"9,580,199",-,83,-,611,0
,Public Works & Housing Services,,"3,785,000","30,000,000","2,071,500","448,400",55,1,611,0
,,Public Works Services,"3,785,000","30,000,000","2,071,500","448,400",55,1,611,0
,Roads Transport,,"161,724,600","659,810,687","75,132,278","221,461,924",46,34,611,0
,,"Rural Roads Improvement & Main-
tenance Services","161,724,600","659,810,687","75,132,278","221,461,924",46,34,611,0
,Urban Dev. & Admin.,,"68,400,000","203,945,347","8,159,010","14,459,479",12,7,611,0
,,Urban Administrative Services,"68,400,000","203,945,347","8,159,010","14,459,479",12,7,611,0
Medical Services,,,"1,833,357,022","134,000,000","1,204,615,257","37,241,837",66%,28,611,0
,Curative & Rehabilitative Services,,"159,639,528",-,"107,659,826",-,67,-,611,0
,,Medical Supplies,"159,639,528",-,"107,659,826",-,67,-,611,0
,Gen. Admin. Planning & Support Services,,"1,628,771,894","134,000,000","1,068,959,423","37,241,837",66,28,611,0
