Programme,Sub-Programme,Approved Budget FY 2024/25,col_3,"Actual Nine Months Expendi-
ture FY 2024/25",col_5,Absorption %,col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",623,1
"Agriculture, Livestock",,"249,215,280","441,064,718","144,433,554","8,994,670",58.0,2,623,1
Crop Development,,-,"441,064,718",-,"8,994,670",,2,623,1
,Crop Diversification,,"321,099,639",,"3,000,000",,0.9,623,1
,"Post-harvest management
and value addition",,"119,965,079",,"5,994,670",,5,623,1
"Administrative And
Support Services",,"249,215,280",-,"144,433,554",-,58.0,,623,1
,"Administrative And Support
Services","249,215,280",,"144,433,554",,58.0,,623,1
"Trade, Commerce and
Industry",,"44,619,504","92,280,000","35,867,676","25,000,000",80.4,27.1,623,1
"Medium and small
Enterprises",,-,"92,280,000",-,"25,000,000",,27.1,623,1
,"Medium and small Enter-
prises",,"92,280,000",,"25,000,000",,27.1,623,1
"Administrative And
Support Services",,"44,619,504",-,"35,867,676",-,80.4,-,623,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",624,0
,"Administrative And Support
Services","44,619,504",,"35,867,676",,80.4,-,624,0
"Water, Environment and
Natural Resources",,"69,511,861","478,039,329","55,684,223","51,441,919",80.1,10.8,624,0
"Environment manage-
ment and protection",,-,"478,039,329",-,"51,441,919",,10.8,624,0
,Waste Management,,"478,039,329",,"51,441,919",,10.8,624,0
"Administrative And
Support Services",,"69,511,861",-,"55,684,223",-,80.1,-,624,0
,"Administrative And Support
Services","69,511,861",,"55,684,223",,80.1,-,624,0
Public Works,,"107,894,296","103,427,938","95,035,829",-,88.1,-,624,0
"Road Construction and
Road Maintenance",,-,"103,427,938",-,-,,-,624,0
,Maintenance of Roads,,"103,427,938",,-,,-,624,0
"Administrative And
Support Services",,"107,894,296",-,"95,035,829",-,88.1,-,624,0
,"Administrative And Support
Services","107,894,296",,"95,035,829",,88.1,-,624,0
