Program,Sub Program,Revised Gross Approved Estimates,col_3,Actual Expenditure,col_5,Absorption rate (%),col_7,page_number,table_index
,,Rec (KShs),Dev (KShs),Rec (KShs),Dev (KShs),"Rec
(KShs)","Dev
(KShs)",667,1
"Administration,
Planning and
Support Service","Administrative
Service
Research and Devel-
opment
Formulation of Poli-
cies, Regulations and
Legal Framework","279,980,413.00","172,015,152.00","179,374,401.80",-,64.07,-,667,1
,,"277,054,512.00","172,015,152.00","177,889,401.80",-,64.21,-,667,1
,,"2,925,901.00",-,"1,485,000.00",-,50.75,-,667,1
,,-,-,-,-,-,-,667,1
"Livestock De-
velopment and
Management","Veterinary Services
and Extension
Livestock Extension
Value Chain Devel-
opment","6,834,500.00","8,000,000.00","3,889,687.00","2,910,000.00",56.91,36.38,667,1
,,"5,348,500.00","4,500,000.00","3,289,687.00","2,910,000.00",61.51,64.67,667,1
,,"1,236,000.00","3,500,000.00","350,000.00",-,28.32,-,667,1
,,"250,000.00",-,"250,000.00",-,100.00,,667,1
"Fisheries De-
velopment and
Management","Promotion of Fish
Farming","2,396,000.00","3,500,000.00","680,000.00",-,28.38,-,667,1
,,"2,396,000.00","3,500,000.00","680,000.00",-,28.38,-,667,1
"Crop Devel-
opment and
Management",,"3,890,000.00","10,918,919.00","1,332,259.00",-,34.25,-,667,1
,"Crop Extension
Farm Input Subsidy","550,000.00",,"111,900.00",-,20.35,-,667,1
,,"500,000.00","10,918,919.00",-,-,0.00,-,667,1
,,Rec (KShs),Dev (KShs),Rec (KShs),Dev (KShs),"Rec
(KShs)","Dev
(KShs)",668,0
,"Cash Crop Produc-
tion and Development","1,340,000.00",-,"720,360.00",-,53.76,-,668,0
,"Food Security Ini-
tiatives","1,500,000.00",-,"499,999.00",-,33.33,-,668,0
"Cooperatives
Development",,"2,999,000.00","2,000,000.00","1,374,010.00",-,45.82,-,668,0
,"Cooperative Develop-
ment Services","2,999,000.00","2,000,000.00","1,374,010.00",-,45.82,-,668,0
