Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,679,0
County Executive,,,,,,,,679,0
"Coordination
and Supervisory
Services","Coordination and
Supervisory Services","603,931,889.00",-,"396,553,300.00",-,65.7%,0.0%,679,0
Sub Total,,"603,931,889.00",-,"396,553,300",-,65.7%,0.0%,679,0
Finance and Economic Planning,,,,,,,,679,0
"Public Finance
Management","Budget Management
Services","19,844,600.00",-,"15,127,532",-,76.2%,0.0%,679,0
,"County Accounting
Services","541,627,103.00",-,"327,223,275",-,60.4%,0.0%,679,0
,Financial Reporting,"4,664,350.00",-,"3,162,480",-,67.8%,0.0%,679,0
,"County Revenue Col-
lection and Resource
Mobilisation","32,825,100.00",-,"24,439,295",-,74.5%,0.0%,679,0
,"Internal Audit Man-
agement Services","9,712,261.00",-,"7,144,548",-,73.6%,0.0%,679,0
,"County Supply Chain
Management","72,301,800.00",-,"59,043,968",-,81.7%,0.0%,679,0
"Economic Plan-
ning Services","County Integrated De-
velopment Planning","26,549,480.00",-,"19,366,508",-,72.9%,0.0%,679,0
Sub-Total,,"707,524,694.00",-,"455,507,606",-,64.4%,0.0%,679,0
"Roads, Transport and Public Works",,,,,,,,679,0
"County Roads
and Transport
Management","Construction of Coun-
ty Roads","1,400,000.00","109,320,000.00","924,092","109,286,848",66.0%,100.0%,679,0
,"maintenance and Re-
habilitation of county
roads","141,150,000.00","504,017,318.00","87,753,600","67,951,828",62.2%,13.5%,679,0
,"County Transport
Services","92,100,000.00",-,"70,982,776",-,77.1%,0.0%,679,0
Sub-Total,,"234,650,000.00","613,337,318.00","159,660,468","177,238,676",68.0%,28.9%,679,0
Water Resources Development,,,,,,,,679,0
Water Services,"Water Supplies Over-
haul and Maintenance
Services","305,481,750.00","1,079,688,641.00","221,325,345","101,210,668.00",72.5%,9.4%,679,0
,"Infrastructure devel-
opment services","16,474,250.00","273,582,180.00","7,948,027.00","137,940,761.00",48.2%,50.4%,679,0
Sub-Total,,"321,956,000.00","1,353,270,821.00","229,273,372","239,151,429",71.2%,17.7%,679,0
,,Rec,Dev,Rec,Dev,Rec,Dev,680,0
"Energy, Environment and Natural Resources",,,,,,,,680,0
"Energy develop-
ment services","Energy development
services","3,940,000.00","23,308,800.00","3,642,958","23,308,800",92.5%,100.0%,680,0
"Environmental
Conservation
Services",Climate Change,"14,296,482.00","418,832,580.00","3,318,660","135,462,849",23.2%,32.3%,680,0
,"Environmental Con-
servation Services","7,200,000.00","12,322,300.00",6298295,"9,890,184",87.5%,80.3%,680,0
"Natural
Resource Man-
agement","Natural Resource
Management","1,700,000.00","3,500,000.00","838,940",,49.3%,0.0%,680,0
"General
Administration
and Support
Services","General Adminis-
tration and Support
Services","70,000,000.02",-,"16,658,451",-,23.8%,0.0%,680,0
Sub-Total,,"97,136,482.02","457,963,680.00","30,757,304","168,661,833",31.7%,36.8%,680,0
"Public Health, Medical Services and Sanitation",,,,,,,,680,0
"Curative,
rehabilitative
and Emergency
services","Curative and rehabili-
tative services","994,827,710.00","694,399,599.00","591,412,150","409,444,139",59.4%,59.0%,680,0
,"Emergency Referral
Services","44,578,510.00",-,"28,136,369",-,63.1%,0.0%,680,0
"General
Administration
and Support
Services","General Adminis-
tration and Support
Services","1,810,678,358.00",-,"1,230,315,192",-,67.9%,0.0%,680,0
Public Health,"Reproductive, Ma-
ternal, Neonatal, and
Child Health","16,343,892.00","1,000,000.00","16,149,208","998,000",98.8%,99.8%,680,0
,Primary Health Care,"162,474,500.00","97,331,030.00","52,342,725","47,399,431",32.2%,48.7%,680,0
,Sanitation,"11,756,022.00",,"6,699,044",-,57.0%,0.0%,680,0
,Special Programme,"7,000,000.00",,"5,491,700",-,78.5%,0.0%,680,0
,Health Research,"2,636,000.00",,"2,575,500",-,97.7%,0.0%,680,0
Sub-Total,,"3,050,294,992.00","792,730,629.00","1,933,121,888","457,841,570",63.4%,57.8%,680,0
"Education, Youth, Gender and Social Services",,,,,,,,680,0
"Sports pro-
motion and
development","Sports promotion and
development","33,353,212.00",-,"16,452,138",,49.3%,0.0%,680,0
"Early Child-
hood Education
Development
Services","Early Childhood Ed-
ucation Development
Services","544,489,852.00","155,404,229.00","263,139,713","25,533,189",48.3%,16.4%,680,0
"Social Services,
Culture, Heri-
tage and Library
Services","Promotion of Social
Service, Culture and
Heritage Services","111,711,231.00","4,000,000.00","80,923,826",-,72.4%,0.0%,680,0
,"Child Protection
Services","22,300,000.00",-,"2,299,400",-,10.3%,0.0%,680,0
"Gender and
Women’s Em-
powerment","Gender and Women’s
Empowerment","30,919,279.00","11,956,500.00","10,254,924","11,872,500",33.2%,99.3%,680,0
"Vocational
Training Ser-
vices","Infrastructural devel-
opment","60,967,486.00","7,000,000.00","26,781,310","4,500,000",43.9%,64.3%,680,0
Sub Total,,"803,741,060.00","178,360,729.00","399,851,311","41,905,689",49.7%,23.5%,680,0
"Agriculture, Livestock, and Fisheries Development",,,,,,,,680,0
"Livestock
Management
Services","Livestock Production
Services","57,650,034.00","6,000,000.00","3,983,185","1,499,196",6.9%,25.0%,680,0
,Veterinary Services,"76,865,680.00","4,500,000.00","22,313,300",-,29.0%,0.0%,680,0
"Food Produc-
tion Services","Food Production
Services","62,443,017.00","395,406,842.00","16,496,972","26,401,066",26.4%,6.7%,680,0
,,Rec,Dev,Rec,Dev,Rec,Dev,681,0
"Irrigation
Management
Services","Irrigation Manage-
ment Services","15,648,704.00","31,129,900.00","3,059,000","1,104,464",19.5%,3.5%,681,0
"Alternative
Livelihood
Management","Alternative Livelihood
Management","39,213,323.00",-,"12,226,681",-,31.2%,0.0%,681,0
Sub-Total,,"251,820,758.00","437,036,742.00","58,079,138","29,004,726",23.1%,6.6%,681,0
