Programme,Revised Gross Approved Estimates,col_2,Actual Expenditure,col_4,"Absorption Rate
(%)",col_6,page_number,table_index
,(Kshs.),,(Kshs.),,,,693,0
,Rec,Dev,Rec,Dev,Rec,Dev,693,0
County Executive,,,,,,,693,0
"SP 1 General Administra-
tion, Planning and Support
Services","374,293,244","36,664,500","232,713,886","12,427,756",62,34,693,0
"SP 2 County Public Service
Board","23,217,120",-,"16,694,734",-,72,-,693,0
"SP 3 County Executive
Affairs","38,368,871",-,"11,383,195",-,30,-,693,0
"SP 4 Liaison and Intergov-
ernmental Service","11,842,615",-,"7,254,577",-,61,-,693,0
TOTAL,"447,721,850","36,664,500","268,046,392","12,427,756",60,34,693,0
Finance and Economic Planning,,,,,,,693,0
"SP 1 General Administra-
tion, Planning and Support
Services","214,024,383","21,072,917","134,458,845","1,062,432",63,5,693,0
"SP 2 Treasury Accounting
Services","12,959,823",-,"7,296,640",-,56,-,693,0
"SP 3 Supply Chain
Management services","7,988,000",-,"5,450,000",-,68,-,693,0
SP 4 Resource Mobilisation,"14,270,000",-,"10,271,780",-,72,-,693,0
SP 5 Internal Audit Services,"7,743,600",-,"5,942,285",-,77,-,693,0
"SP 6 Budget Formulation
Services","12,274,000",-,"8,981,203",-,73,-,693,0
SP 7 Economic Planning,"10,879,832",-,"7,146,600",-,66,-,693,0
"SP 8 Monitoring and
Evaluation","12,959,823",-,"9,000,000",-,69,-,693,0
TOTAL,"293,099,461","21,072,917","188,547,353","1,062,432.40",64,-,693,0
"Roads, Public Works, Transport and Infrastructure",,,,,,,693,0
"SP 1 General Administra-
tion, Planning and Support
Services","92,512,656",-,"79,858,931",-,86,-,693,0
SP 2 Road Transport,"15,784,320","65,685,517","11,428,363","7,180,265",72,11,693,0
SP 3 Public Works,"2,908,000",-,"1,348,921",-,46,-,693,0
SP 5 Ward Specific Projects,0,"217,301,338",-,"70,716,512",-,33,693,0
TOTAL,"111,204,976","282,986,855","92,636,214","77,896,778",83,28,693,0
Health and Sanitation,,,,,,,693,0
"SP 1 General Administra-
tion, Planning and Support
Services","1,734,697,987",-,"1,287,850,979","6,968,643",74,-,693,0
"SP 2 Preventive Health
Services","89,125,304",-,"69,269,695",-,78,-,693,0
"SP 3 Curative Health Ser-
vices","83,052,028","136,333,696","52,016,632",-,63,-,693,0
"SP 4 Kacheliba Sub county
hospital","14,200,000",-,"4,191,104",-,30,-,693,0
"SP 5 Sigor Sub county
hospital","14,200,000",-,"2,972,850",-,21,-,693,0
"SP 6 Chepareria Sub county
hospital","14,200,000",-,"2,041,083",-,14,-,693,0
,(Kshs.),,(Kshs.),,,,694,0
,Rec,Dev,Rec,Dev,Rec,Dev,694,0
"SP 7 Facility Improvement
Fund","104,800,000","23,000,000","21,027,000",-,20,-,694,0
SP 8 Ward Specific,-,"97,995,107",-,"18,870,997",-,19,694,0
TOTAL,"2,054,275,319","257,328,803","1,439,369,343","25,839,640",70,10,694,0
Education and Technical Training,,,,,,,694,0
"SP 1 General Administra-
tion, Planning and Support
Services","426,985,689","190,000,000","359,932,060","17,352,950",84,9,694,0
SP 2 ECD Services,"37,043,851",-,"3,840,291",-,10,-,694,0
"SP 3 Youth Vocational
Training","17,305,408","1,210,000","16,455,648",-,95,-,694,0
SP 4 Bursary Fund,"360,400,000",-,"3,448,000",-,1,-,694,0
SP 5 Ward specific,-,"197,258,899",-,"11,737,824",-,6,694,0
TOTAL,"841,734,948","388,468,899","383,675,999","29,090,774",46,7,694,0
Agriculture and Irrigation,,,,,,,694,0
"SP 1 General Administra-
tion, Planning and Support
Services","80,728,866",-,"65,040,819",-,81,-,694,0
"SP 2 Crop Development and
Management","4,070,529","364,101,923","2,582,725","54,999,013",63,15,694,0
"SP 3 Cash Crop Production
(Special Programs","5,000,000","124,000,000","1,000,000","19,497,254",20,16,694,0
SP 4 Ward specific,-,"52,899,488",-,"18,819,264",-,36,694,0
TOTAL,"89,799,395","541,001,411","68,623,544","93,315,531",76,17,694,0
Pastoral Economy,,,,,,,694,0
"SP 1 General Administra-
tion, Planning and Support
Services","93,178,690",-,"42,656,641",-,46,-,694,0
"SP 2 Livestock Production
and Range Management","10,800,000","29,106,748","4,299,760","27,045,875",40,93,694,0
"SP 3 Livestock Disease Man-
agement","7,550,000",-,"7,400,410",-,98,-,694,0
