county,year,quarter,ordinary_osr_target,fif_aia_target,total_revenue_target,osr_actual_realised,fif_aia_actual,actual_revenue,performance_percent
baringo,2014_15,01,,,255800000.0,,,72859999.0,28.48318960125098
bomet,2014_15,01,,,239046286.0,,,36431865.0,15.240506602139806
bungoma,2014_15,01,,,1075035502.0,,,75811736.0,7.052021617793977
busia,2014_15,01,,,324945073.0,,,72432967.0,22.290834057360826
elgeyo marakwet,2014_15,01,,,132023379.0,,,23059797.0,17.466449635408893
embu,2014_15,01,,,748000000.0,,,81315514.0,10.871058021390374
garissa,2014_15,01,,,700000000.0,,,26077833.0,3.7254047142857143
homa bay,2014_15,01,,,153687573.0,,,31889274.0,20.749416089744617
isiolo,2014_15,01,,,452699367.0,,,49903138.0,11.023460962780627
kajiado,2014_15,01,,,959045150.0,,,112293534.0,11.70888920088903
kakamega,2014_15,01,,,903537623.0,,,144832562.0,16.029499858469094
kericho,2014_15,01,,,383435490.0,,,67326982.0,17.55888115625395
kiambu,2014_15,01,,,3263234585.0,,,407222159.0,12.479095461658329
kilifi,2014_15,01,,,1000000000.0,,,103040581.0,10.3040581
kirinyaga,2014_15,01,,,422454650.0,,,49515000.0,11.720784704346372
kisii,2014_15,01,,,630000000.0,,,64732629.0,10.275020476190475
kisumu,2014_15,01,,,1500000000.0,,,179913944.0,11.994262933333333
kitui,2014_15,01,,,650000000.0,,,72108100.0,11.093553846153846
kwale,2014_15,01,,,500000000.0,,,56613666.0,11.3227332
laikipia,2014_15,01,,,400000000.0,,,51378961.0,12.844740250000001
lamu,2014_15,01,,,65740000.0,,,5008154.0,7.618122908427137
machakos,2014_15,01,,,2850000000.0,,,353464417.0,12.402260245614036
makueni,2014_15,01,,,230000000.0,,,51802993.0,22.523040434782608
mandera,2014_15,01,,,251285781.0,,,18993910.0,7.558688726601686
marsabit,2014_15,01,,,48400000.0,,,22888544.0,47.29038016528926
meru,2014_15,01,,,588038730.0,,,106009947.0,18.02771511325453
migori,2014_15,01,,,500000000.0,,,86593618.0,17.3187236
mombasa,2014_15,01,,,5121608017.0,,,319999583.0,6.248029562938729
muranga,2014_15,01,,,800000000.0,,,107394856.0,13.424357
nairobi city,2014_15,01,,,13323722061.0,,,1781747512.0,13.372746022790217
nakuru,2014_15,01,,,2755924489.0,,,461938285.0,16.761645206310295
nandi,2014_15,01,,,456070000.0,,,99558564.0,21.829667375622165
narok,2014_15,01,,,3366157146.0,,,725955853.0,21.566309043612307
nyamira,2014_15,01,,,219053554.0,,,23244966.0,10.611544791462274
nyandarua,2014_15,01,,,200000000.0,,,26862669.0,13.4313345
nyeri,2014_15,01,,,1343926804.0,,,89680222.0,6.6729989857394045
samburu,2014_15,01,,,406550140.0,,,90365678.0,22.227437432440684
siaya,2014_15,01,,,301530027.0,,,36095500.0,11.970781271478478
taita taveta,2014_15,01,,,521830636.0,,,56016258.0,10.73456676085227
tana river,2014_15,01,,,120000000.0,,,5331796.0,4.443163333333333
tharaka nithi,2014_15,01,,,250000000.0,,,30794708.0,12.3178832
trans nzoia,2014_15,01,,,385000000.0,,,34696804.0,9.012156883116882
turkana,2014_15,01,,,110000000.0,,,34258055.0,31.143686363636363
uasin gishu,2014_15,01,,,890000000.0,,,180863186.0,20.32170629213483
vihiga,2014_15,01,,,377743491.0,,,25585989.0,6.7733765397958905
wajir,2014_15,01,,,105136917.0,,,20757750.0,19.743540701312366
west pokot,2014_15,01,,,96197480.0,,,22314108.0,23.196146094471498
baringo,2014_15,02,,,255800000.0,,,117642677.0,45.9901004691165
bomet,2014_15,02,,,239046286.0,,,61923865.0,25.90455013385985
bungoma,2014_15,02,,,1075035502.0,,,147820416.0,13.75028226742227
busia,2014_15,02,,,324945073.0,,,135638421.0,41.74195341623167
elgeyo marakwet,2014_15,02,,,132023379.0,,,46182656.0,34.980665053270606
embu,2014_15,02,,,748000000.0,,,149859098.0,20.034638770053476
garissa,2014_15,02,,,700000000.0,,,68579445.0,9.797063571428572
homa bay,2014_15,02,,,153687573.0,,,64995711.0,42.290804475128255
isiolo,2014_15,02,,,452699367.0,,,79621869.0,17.588243943800347
kajiado,2014_15,02,,,959045150.0,,,236416534.0,24.65124128931782
kakamega,2014_15,02,,,903537623.0,,,247733811.0,27.418206469084687
kericho,2014_15,02,,,383435490.0,,,135721684.0,35.39622375591785
kiambu,2014_15,02,,,3263234585.0,,,783181878.0,24.00017092243462
kilifi,2014_15,02,,,1000000000.0,,,209816593.0,20.9816593
kirinyaga,2014_15,02,,,422454650.0,,,114296751.0,27.055389495653557
kisii,2014_15,02,,,630000000.0,,,127795001.0,20.284920793650794
kisumu,2014_15,02,,,1500000000.0,,,442915437.0,29.527695799999996
kitui,2014_15,02,,,650000000.0,,,135576657.0,20.85794723076923
kwale,2014_15,02,,,500000000.0,,,96624199.0,19.3248398
laikipia,2014_15,02,,,400000000.0,,,100823006.0,25.2057515
lamu,2014_15,02,,,65740000.0,,,14677817.0,22.32707179799209
machakos,2014_15,02,,,2850000000.0,,,614459797.0,21.559992877192983
makueni,2014_15,02,,,230000000.0,,,86789395.0,37.73451956521739
mandera,2014_15,02,,,251285781.0,,,37908824.0,15.085940736137394
marsabit,2014_15,02,,,48400000.0,,,42301616.0,87.40003305785125
meru,2014_15,02,,,588038730.0,,,196331657.0,33.38753843645639
migori,2014_15,02,,,500000000.0,,,140244529.0,28.0489058
mombasa,2014_15,02,,,5121608017.0,,,738828416.0,14.425711876965769
muranga,2014_15,02,,,800000000.0,,,207439286.0,25.92991075
nairobi city,2014_15,02,,,13323722061.0,,,4323283867.0,32.44801900855263
nakuru,2014_15,02,,,2755924489.0,,,895574847.0,32.49634924957481
nandi,2014_15,02,,,456070000.0,,,181615826.0,39.82191900366172
narok,2014_15,02,,,3366157146.0,,,1215679912.0,36.11477002624761
nyamira,2014_15,02,,,219053554.0,,,50976102.0,23.27106822471367
nyandarua,2014_15,02,,,200000000.0,,,51875916.0,25.937958
nyeri,2014_15,02,,,1343926804.0,,,268144538.0,19.952317135271603
samburu,2014_15,02,,,406550140.0,,,120644481.0,29.67517881066281
siaya,2014_15,02,,,301530027.0,,,60737313.0,20.143039684734283
taita taveta,2014_15,02,,,521830636.0,,,92680109.0,17.760572608466017
tana river,2014_15,02,,,120000000.0,,,8912841.0,7.4273675
tharaka nithi,2014_15,02,,,250000000.0,,,57709984.0,23.0839936
trans nzoia,2014_15,02,,,385000000.0,,,62059347.0,16.11931090909091
