Additional formulation (Across multiple indications),32
Additional indications (Across different formulations and strengths),35
Additional strengths / size,67
"Additions - (Includes FDCs but excludes additional formulation, indication, strength/size)",179
Amendments (Includes changes in footnotes and descriptions and merged items),113
Change in LOU,60
Deletions - (Includes deletions from subsections),68
Reclassification,16
Title / subtitle change including new subtitles / titles / categories,22
Net increase from 2019,264
