#,Name of Medicine,Dose-form,Strength  / Size,LOU
7.5.4 Antipneumocystosis & Antitoxoplasmosis Medicines,,,,
7.5.4.1,Cotrimoxazole(Sulfamethoxazole +Trimethoprim),Injection,96mg/mL (5mL amp),4.0
,,Oral liquid,240mg/5mL [c],4.0
,,Tablet (scored),800mg + 160mg,4.0
7.5.4.2,Pyrimethamine184,Tablet,25mg,4.0
7.5.4.3,Sulfadiazine185,Tablet,500mg,4.0
7.5.5 Antitrypanosomal medicines,,,,
7.5.5.1 Human African Trypanosomiasis,,,,
7.5.5.1.1 Medicines for the treatment of 1st stage Human African trypanosomiasis,,,,
7.5.5.1.1.1,Pentamidine isethionate186,PFI,200mg (as isetionate) vial,4.0
7.5.5.1.1.2,Suramin sodium187,PFI,1g vial,4.0
7.5.5.1.2 Medicines for the treatment of 2nd stage Human African trypanosomiasis,,,,
7.5.5.1.2.1,Eflornithine188,Injection,200mg (as HCl)/mL in 100mL bottle,4.0
7.5.5.1.2.2,Melarsoprol,Injection,"3.6% solution (180mg),5mL amp",4.0
7.5.5.1.2.3,Nifurtimox189,Tablet,120mg,4.0
7.6 Medicines for ectoparasitic infections190,,,,
7.6.1,Ivermectin,Tablet (scored),3mg,3.0
8  ANTIMIGRAINE MEDICINES,,,,
8.1 For treatment of Acute Attack,,,,
8.1.1,Acetylsalicylic acid (Aspirin),Tablet,300mg,2.0
