#,Name of Medicine,Dose-form,Strength  / Size,LOU
19.7 Medicines used for Ascites and GI bleeding,,,,
19.7.1,Propranolol,Tablet,20mg,4.0
,,,40mg,4.0
19.7.2,Spironolactone,Tablet,25mg,4.0
,,,100mg,4.0
20  MEDICINES for ENDOCRINE DISORDERS,,,,
20.1 Adrenal Hormones & Synthetic Substitutes,,,,
20.1.1,Fludrocortisone389,Tablet,100 micrograms (asacetate),4.0
20.1.2,Hydrocortisone390,Tablet,5mg,4.0
,,,20mg,4.0
,,Injection,100mg/vial,2.0
20.2 Androgens,,,,
20.2.1,Testosterone,Gel391,1%,4.0
,,Injection (oily)392,250mg (as enanthate)/1mLamp,4.0
20.3 Oestrogens,,,,
20.3.1,Conjugated Oestrogens,Tablet393,300 micrograms,4.0
,,Cream (Vaginal)394,0.625mg/g (30g),4.0
20.3.2,Estradiol395,Transdermal patch,0.1mg/day,4.0
20.4 Progestogens,,,,
20.4.1,Medroxyprogesterone396,Tablet,5mg (as acetate),4.0
