#,Name of Medicine,Dose-form,Strength  / Size,LOU
25.7 Medicines for sleep disorders,,,,
25.7.1,Melatonin509,Tablet (dispersible),4mg,2.0
,,,3mg,2.0
25.7.2,Zolpidem510,Tablet,10mg,4.0
26  MEDICINES acting on the RESPIRATORY TRACT,,,,
26.1 Antiasthmatic medicines and medicines for chronic obstructive pulmonary disease,,,,
26.1.1,Budesonide,Inhalation (aerosol),100 micrograms/dose (200dose),4.0
,,,200 micrograms/dose(200 dose),4.0
26.1.2,Budesonide + Formoterol,Metered dose inhaler,100 micrograms + 6mg/metered dose (120 dose),4.0
,,,200 micrograms + 6mg/metered dose (120 dose),4.0
,,Dry powder inhaler,80 micrograms +   4.5mcg/metered dose (120 dose),4.0
,,,160 micrograms + 4.5mcg/metered dose (120 dose),4.0
26.1.3,Epinephrine (adrenaline),Injection,1mg/1mL amp511,2.0
26.1.4,Ipratropium bromide,Inhalation (aerosol),20 micrograms/metereddose (200 dose),4.0
,,Nebuliser solution,500 micrograms/2mL unitdose vial (isotonic),4.0
26.1.5,Montelukast,Tablet (chewable),5mg (as sodium salt)512,4.0
,,Tablet,10mg (as sodium salt),4.0
26.1.6,Salbutamol,Nebuliser solution,5mg/mL (as sulphate),2.0
26.1.7,Salbutamol +Beclomethasone513,Inhalation (aerosol),100 micrograms + 50micrograms,3.0
26.1.8,Salbutamol + Ipratropium,Nebuliser solution,Salbutamol 2.5mg assulphate + Ipratropium500 micrograms asbromidein 2.5mL Amp,3.0
